resolution_class,n,share
EXACT_RESOLVED,1260826,0.9294
CENSORED_LOWER_BOUND,37060,0.0273
AMBIGUOUS_INTERVAL,33934,0.025
NO_ACTIVE_TARGET,24780,0.0183
