risk_ATR,has_1h,has_day,cluster_size
0.25,0.0761892550326965,0.9557892037440697,2.246
0.5,0.07861966604823747,0.9566159554730983,2.2537
0.75,0.08412066678202688,0.9569475687835266,2.2815
1.0,0.08992718446601941,0.9581715210355987,2.3113
1.5,0.10258235319647585,0.9597239703137884,2.375
2.0,0.11395877357362147,0.9618675491407839,2.4305
3.0,0.13302298516147804,0.9640602269421007,2.5285
