scope_combination,n,share
CONTIG_SESSION,256370,0.4704
CONTIG_SESSION|TRADING_DAY,60928,0.1118
15m|1h|5m|CONTIG_SESSION|TRADING_DAY|TRADING_WEEK,51298,0.0941
5m|CONTIG_SESSION|TRADING_DAY,44635,0.0819
5m|CONTIG_SESSION,27638,0.0507
15m|5m|CONTIG_SESSION|TRADING_DAY,20869,0.0383
15m|5m|CONTIG_SESSION|TRADING_DAY|TRADING_WEEK,20390,0.0374
5m,15971,0.0293
CONTIG_SESSION|TRADING_DAY|TRADING_WEEK,9193,0.0169
5m|CONTIG_SESSION|TRADING_DAY|TRADING_WEEK,8746,0.016
TRADING_DAY,7311,0.0134
15m|CONTIG_SESSION,3705,0.0068
15m|1h|CONTIG_SESSION|TRADING_DAY|TRADING_WEEK,2541,0.0047
15m|1h|5m|CONTIG_SESSION|TRADING_DAY,1858,0.0034
1h|5m|CONTIG_SESSION|TRADING_DAY|TRADING_WEEK,1845,0.0034
15m|5m|CONTIG_SESSION,1803,0.0033
TRADING_WEEK,1776,0.0033
15m,1693,0.0031
15m|CONTIG_SESSION|TRADING_DAY,1661,0.003
1h|5m|CONTIG_SESSION|TRADING_DAY,1304,0.0024
