scope,bin,mean_count,pct_nonzero
5m,"(-inf,-4]",255.7941,0.9714
5m,"(-4,-2]",8.7187,0.9057
5m,"(-2,-1]",4.293,0.8236
5m,"(-1,-0.5]",2.1992,0.6935
5m,"(-0.5,0]",1.8971,0.6651
5m,"(0,0.5]",2.4648,0.7336
5m,"(0.5,1]",2.0678,0.6788
5m,"(1,2]",4.1124,0.8055
5m,"(2,4]",8.12,0.8828
5m,"(4,+inf)",119.3641,0.9294
15m,"(-inf,-4]",75.1726,0.9542
15m,"(-4,-2]",2.5419,0.7258
15m,"(-2,-1]",1.2542,0.5688
15m,"(-1,-0.5]",0.6448,0.3978
15m,"(-0.5,0]",0.5622,0.3602
15m,"(0,0.5]",0.7421,0.4408
15m,"(0.5,1]",0.5991,0.3787
15m,"(1,2]",1.1866,0.5509
15m,"(2,4]",2.3231,0.7099
15m,"(4,+inf)",35.5757,0.9087
1h,"(-inf,-4]",20.3745,0.909
1h,"(-4,-2]",0.6873,0.4011
1h,"(-2,-1]",0.3383,0.2487
1h,"(-1,-0.5]",0.1816,0.1506
1h,"(-0.5,0]",0.1536,0.1325
1h,"(0,0.5]",0.209,0.1704
1h,"(0.5,1]",0.1618,0.1381
1h,"(1,2]",0.3206,0.2435
1h,"(2,4]",0.637,0.3852
1h,"(4,+inf)",9.9763,0.8515
CONTIG_SESSION,"(-inf,-4]",947.4871,0.9762
CONTIG_SESSION,"(-4,-2]",34.9818,0.9739
CONTIG_SESSION,"(-2,-1]",17.1752,0.9537
CONTIG_SESSION,"(-1,-0.5]",8.6483,0.9118
CONTIG_SESSION,"(-0.5,0]",7.3251,0.902
CONTIG_SESSION,"(0,0.5]",9.7435,0.9284
CONTIG_SESSION,"(0.5,1]",8.174,0.8994
CONTIG_SESSION,"(1,2]",16.4937,0.9372
CONTIG_SESSION,"(2,4]",32.4181,0.9497
CONTIG_SESSION,"(4,+inf)",474.8303,0.9398
TRADING_DAY,"(-inf,-4]",233.0746,0.9729
TRADING_DAY,"(-4,-2]",8.5765,0.9109
TRADING_DAY,"(-2,-1]",4.2633,0.8268
TRADING_DAY,"(-1,-0.5]",2.1765,0.7002
TRADING_DAY,"(-0.5,0]",1.8631,0.6713
TRADING_DAY,"(0,0.5]",2.4618,0.7435
TRADING_DAY,"(0.5,1]",2.0626,0.6876
TRADING_DAY,"(1,2]",4.081,0.8153
TRADING_DAY,"(2,4]",7.9772,0.8949
TRADING_DAY,"(4,+inf)",119.8062,0.9352
TRADING_WEEK,"(-inf,-4]",46.7993,0.9581
TRADING_WEEK,"(-4,-2]",1.7241,0.6434
TRADING_WEEK,"(-2,-1]",0.8556,0.4656
TRADING_WEEK,"(-1,-0.5]",0.437,0.3068
TRADING_WEEK,"(-0.5,0]",0.3809,0.2774
TRADING_WEEK,"(0,0.5]",0.5121,0.3472
TRADING_WEEK,"(0.5,1]",0.411,0.2948
TRADING_WEEK,"(1,2]",0.8232,0.4574
TRADING_WEEK,"(2,4]",1.6036,0.6253
TRADING_WEEK,"(4,+inf)",25.6017,0.9132
ALL,nearest_above_R,0.1852,0.9826
ALL,nearest_below_R,0.1852,0.9916
ALL,nearest_ahead_R,0.1923,0.9715
ALL,nearest_behind_R,0.1923,0.9999
