instrument_a,instrument_b,overlap_rows,ret1_pearson,ret1_spearman,rv1h_pearson,rv1h_spearman
AG,CU,2766,0.6684531629545819,0.5923348856199037,0.7049448698154933,0.6694265531711501
AG,AL,2766,0.4438980468455847,0.3995784197935321,0.5019956923547755,0.5318336958935466
AG,SN,2766,0.7013433807082156,0.6517807735470947,0.7218672104805393,0.6918619094616995
AG,I,2054,0.10920699524577547,0.14968899996439552,0.1838726277776707,0.2246561454227637
AG,SC,3300,-0.31910980880171885,-0.24986554086772297,0.3478870174561595,0.509070176473595
AG,M,2054,0.047264099398614944,0.03814729691942821,0.04166917021928386,0.16317325762357202
AG,CF,2054,0.18105645380406724,0.1886865661260475,0.03604906546736959,0.2830487023766799
CU,AL,3300,0.5495217902444255,0.5677944714739142,0.4695806788955181,0.5767241187408407
CU,SN,3300,0.6984422110789569,0.6445985475639834,0.7726394517470633,0.7092184616529182
CU,I,2460,0.12681136173888052,0.1606276113110272,0.08470732590542397,0.25036962726322604
CU,SC,2766,-0.19625711987644054,-0.1160733818571302,0.24581341289832656,0.32631444448017993
CU,M,2460,-0.013891999544898736,0.053058808787712596,0.03405479673468032,0.1328608658516252
CU,CF,2460,0.1940759914139194,0.212698558494424,0.04942266764079813,0.23694692242918688
AL,SN,3300,0.5108474105340378,0.47639478418564485,0.4226151527333958,0.5950443511602627
AL,I,2460,0.18042975163812808,0.19139760012128307,0.1270723968485555,0.28767405525248585
AL,SC,2766,0.05454203047589593,0.01305252965753115,0.1699598506077509,0.30144232699328777
AL,M,2460,0.024059480872886178,0.05332322748222764,0.016157096280420037,0.1411879244541855
AL,CF,2460,0.21128746530612721,0.22625213129751082,0.09616111355890583,0.2889334187802654
SN,I,2460,0.1304246389597976,0.1466864070170272,0.07189740998447407,0.2022733859275119
SN,SC,2766,-0.1822008472931239,-0.13415966081307992,0.230360472153393,0.30874843989671547
SN,M,2460,-0.01835943962143795,0.033759982101517226,0.02289560970785468,0.03637802416091124
SN,CF,2460,0.17659372527498038,0.19188856962815232,0.03613928390279949,0.25020442838294643
I,SC,2054,0.00994187143098968,0.05341430367536474,0.23126150435655854,0.243514451899824
I,M,3300,0.05306986395683138,0.10494973705068739,0.6125099477298858,0.21447267842497852
I,CF,3300,0.13954729155394102,0.13741608794743104,0.14655477900216257,0.28215833487793657
SC,M,2054,0.1062288368560715,0.14562386740261135,0.18397456142566543,0.3006492339391253
SC,CF,2054,0.05650482601053694,0.16654265411069552,0.07167592887997976,0.21942849079574103
M,CF,3300,0.2602202340046834,0.2036975919589375,0.18880385684293455,0.22938494708577728
