instrument,horizon,feature_set,model,quantile,fold,train_rows,test_rows,pinball_loss,baseline_pinball_loss,pinball_skill,calibration,calibration_error
AG,4,F1_DIRECTION,linear_qr,0.1,0,1000,450,0.0022367331242470517,0.0022131635591266297,-0.010649716792609398,0.11555555555555555,0.015555555555555545
AG,4,F1_DIRECTION,linear_qr,0.5,0,1000,450,0.003936230394895552,0.0038965812717716643,-0.010175361517831272,0.5355555555555556,0.03555555555555556
AG,4,F1_DIRECTION,linear_qr,0.9,0,1000,450,0.0020139694704644625,0.0019876491681571676,-0.013241925551528588,0.8688888888888889,-0.03111111111111109
AG,4,F1_DIRECTION,linear_qr,0.1,1,1450,450,0.0015947542823103137,0.001600511023573019,0.0035968145035664145,0.06,-0.04000000000000001
AG,4,F1_DIRECTION,linear_qr,0.5,1,1450,450,0.003053514490901386,0.0030266058746611806,-0.008890690547284308,0.5044444444444445,0.004444444444444473
AG,4,F1_DIRECTION,linear_qr,0.9,1,1450,450,0.0018359706612832163,0.001875722676738755,0.021192906578628046,0.8933333333333333,-0.00666666666666671
AG,4,F1_DIRECTION,linear_qr,0.1,2,1900,450,0.0016377034919946717,0.0016032818951619134,-0.021469460197005574,0.08444444444444445,-0.015555555555555559
AG,4,F1_DIRECTION,linear_qr,0.5,2,1900,450,0.0028671369274695215,0.0028605489099869834,-0.002303060597753648,0.49777777777777776,-0.0022222222222222365
AG,4,F1_DIRECTION,linear_qr,0.9,2,1900,450,0.0014633540457892177,0.001441514368876182,-0.015150509342520158,0.9022222222222223,0.0022222222222222365
AG,4,F1_DIRECTION,linear_qr,0.1,3,2350,450,0.001341518504752317,0.0013498345857777092,0.006160814897627431,0.04888888888888889,-0.051111111111111114
AG,4,F1_DIRECTION,linear_qr,0.5,3,2350,450,0.0026093479760278112,0.0025854804636983035,-0.00923136440774619,0.4288888888888889,-0.07111111111111112
AG,4,F1_DIRECTION,linear_qr,0.9,3,2350,450,0.0012448888750770204,0.0012546179649508802,0.007754623435701213,0.9044444444444445,0.004444444444444473
AG,4,F1_DIRECTION,linear_qr,0.1,4,2800,450,0.0016168626787542114,0.001627214706834306,0.006361808332124852,0.08222222222222222,-0.01777777777777778
AG,4,F1_DIRECTION,linear_qr,0.5,4,2800,450,0.0028917710371080983,0.002896338645773347,0.0015770285259683048,0.4288888888888889,-0.07111111111111112
AG,4,F1_DIRECTION,linear_qr,0.9,4,2800,450,0.0014989167929708737,0.0015010705420276313,0.0014348086891694534,0.9111111111111111,0.011111111111111072
AG,4,F1_DIRECTION,gbr_quantile,0.1,0,1000,450,0.0022243785870134066,0.0022131635591266297,-0.0050674193692230585,0.14666666666666667,0.04666666666666666
AG,4,F1_DIRECTION,gbr_quantile,0.5,0,1000,450,0.00399672548576641,0.0038965812717716643,-0.02570053259769778,0.5288888888888889,0.028888888888888853
AG,4,F1_DIRECTION,gbr_quantile,0.9,0,1000,450,0.0020033494705045695,0.0019876491681571676,-0.007898930353970934,0.8666666666666667,-0.033333333333333326
AG,4,F1_DIRECTION,gbr_quantile,0.1,1,1450,450,0.0014309547383232484,0.001600511023573019,0.10593884250247099,0.06444444444444444,-0.03555555555555556
AG,4,F1_DIRECTION,gbr_quantile,0.5,1,1450,450,0.003062027800928324,0.0030266058746611806,-0.011703514674208604,0.4955555555555556,-0.0044444444444444176
AG,4,F1_DIRECTION,gbr_quantile,0.9,1,1450,450,0.0018009511222766559,0.001875722676738755,0.039862798157402124,0.8844444444444445,-0.015555555555555545
AG,4,F1_DIRECTION,gbr_quantile,0.1,2,1900,450,0.0015264506666048344,0.0016032818951619134,0.047921222580337264,0.09333333333333334,-0.006666666666666668
AG,4,F1_DIRECTION,gbr_quantile,0.5,2,1900,450,0.0028672020194037825,0.0028605489099869834,-0.002325815648028584,0.4777777777777778,-0.0222222222222222
AG,4,F1_DIRECTION,gbr_quantile,0.9,2,1900,450,0.0014712481443723774,0.001441514368876182,-0.020626763172243656,0.9133333333333333,0.013333333333333308
AG,4,F1_DIRECTION,gbr_quantile,0.1,3,2350,450,0.0012603888128081017,0.0013498345857777092,0.06626424742115578,0.06,-0.04000000000000001
AG,4,F1_DIRECTION,gbr_quantile,0.5,3,2350,450,0.002628773136816947,0.0025854804636983035,-0.016744536934816923,0.44,-0.06
AG,4,F1_DIRECTION,gbr_quantile,0.9,3,2350,450,0.0011215204093216959,0.0012546179649508802,0.10608612290546571,0.9155555555555556,0.015555555555555545
AG,4,F1_DIRECTION,gbr_quantile,0.1,4,2800,450,0.0015645712372008298,0.001627214706834306,0.0384973595496485,0.07111111111111111,-0.028888888888888895
AG,4,F1_DIRECTION,gbr_quantile,0.5,4,2800,450,0.0028755641295725963,0.002896338645773347,0.007172682044990553,0.44,-0.06
AG,4,F1_DIRECTION,gbr_quantile,0.9,4,2800,450,0.0014158399430972603,0.0015010705420276313,0.056779875791341805,0.9111111111111111,0.011111111111111072
