group,horizon,quantile,feature,instrument_count,positive_instrument_share,instrument_sign_consistency,median_within_instrument_fold_sign_consistency
ALL_8,16,0.9,feat_5m_1h_rv,8,0.125,0.875,1.0
ALL_8,16,0.9,feat_5m_rv_rate_ratio_1h_4h,8,0.625,0.625,1.0
ALL_8,16,0.9,feat_time_after_long_gap,8,0.875,0.875,1.0
ALL_8,16,0.9,feat_time_bars_since_segment_start,8,0.375,0.625,1.0
HOLDOUT_7,4,0.1,feat_15m_location_32,7,0.2857142857142857,0.7142857142857143,1.0
HOLDOUT_7,4,0.1,feat_15m_oi_log_change_4,7,1.0,1.0,1.0
HOLDOUT_7,4,0.1,feat_15m_ret_1,7,0.5714285714285714,0.5714285714285714,0.6
HOLDOUT_7,4,0.1,feat_15m_ret_16,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,4,0.1,feat_15m_ret_4,7,0.14285714285714285,0.8571428571428571,0.8
HOLDOUT_7,4,0.1,feat_15m_ret_8,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,4,0.1,feat_15m_volume_ratio_32,7,0.2857142857142857,0.7142857142857143,1.0
HOLDOUT_7,4,0.1,feat_5m_1h_rv,7,0.14285714285714285,0.8571428571428571,1.0
HOLDOUT_7,4,0.1,feat_5m_rv_rate_ratio_1h_4h,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,4,0.1,feat_time_after_long_gap,7,0.7142857142857143,0.7142857142857143,1.0
HOLDOUT_7,4,0.1,feat_time_bars_since_segment_start,7,0.14285714285714285,0.8571428571428571,1.0
HOLDOUT_7,4,0.5,feat_15m_location_32,7,0.14285714285714285,0.8571428571428571,1.0
HOLDOUT_7,4,0.5,feat_15m_oi_log_change_4,7,1.0,1.0,1.0
HOLDOUT_7,4,0.5,feat_15m_ret_1,7,0.2857142857142857,0.7142857142857143,1.0
HOLDOUT_7,4,0.5,feat_15m_ret_16,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,4,0.5,feat_15m_ret_4,7,0.14285714285714285,0.8571428571428571,1.0
HOLDOUT_7,4,0.5,feat_15m_ret_8,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,4,0.5,feat_15m_volume_ratio_32,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,4,0.5,feat_5m_1h_rv,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,4,0.5,feat_5m_rv_rate_ratio_1h_4h,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,4,0.5,feat_time_after_long_gap,7,0.14285714285714285,0.8571428571428571,1.0
HOLDOUT_7,4,0.5,feat_time_bars_since_segment_start,7,0.7142857142857143,0.7142857142857143,1.0
HOLDOUT_7,4,0.9,feat_15m_location_32,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,4,0.9,feat_15m_oi_log_change_4,7,0.0,1.0,1.0
HOLDOUT_7,4,0.9,feat_15m_ret_1,7,0.42857142857142855,0.5714285714285714,0.8
HOLDOUT_7,4,0.9,feat_15m_ret_16,7,0.5714285714285714,0.5714285714285714,0.8
HOLDOUT_7,4,0.9,feat_15m_ret_4,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,4,0.9,feat_15m_ret_8,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,4,0.9,feat_15m_volume_ratio_32,7,0.8571428571428571,0.8571428571428571,1.0
HOLDOUT_7,4,0.9,feat_5m_1h_rv,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,4,0.9,feat_5m_rv_rate_ratio_1h_4h,7,0.0,1.0,1.0
HOLDOUT_7,4,0.9,feat_time_after_long_gap,7,0.2857142857142857,0.7142857142857143,1.0
HOLDOUT_7,4,0.9,feat_time_bars_since_segment_start,7,0.7142857142857143,0.7142857142857143,1.0
HOLDOUT_7,8,0.1,feat_15m_location_32,7,0.5714285714285714,0.5714285714285714,0.6
HOLDOUT_7,8,0.1,feat_15m_oi_log_change_4,7,0.8571428571428571,0.8571428571428571,1.0
HOLDOUT_7,8,0.1,feat_15m_ret_1,7,0.5714285714285714,0.5714285714285714,0.8
HOLDOUT_7,8,0.1,feat_15m_ret_16,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,8,0.1,feat_15m_ret_4,7,0.5714285714285714,0.5714285714285714,0.8
HOLDOUT_7,8,0.1,feat_15m_ret_8,7,0.7142857142857143,0.7142857142857143,0.8
HOLDOUT_7,8,0.1,feat_15m_volume_ratio_32,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,8,0.1,feat_5m_1h_rv,7,0.2857142857142857,0.7142857142857143,1.0
HOLDOUT_7,8,0.1,feat_5m_rv_rate_ratio_1h_4h,7,0.7142857142857143,0.7142857142857143,1.0
HOLDOUT_7,8,0.1,feat_time_after_long_gap,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,8,0.1,feat_time_bars_since_segment_start,7,0.14285714285714285,0.8571428571428571,1.0
HOLDOUT_7,8,0.5,feat_15m_location_32,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,8,0.5,feat_15m_oi_log_change_4,7,0.7142857142857143,0.7142857142857143,1.0
HOLDOUT_7,8,0.5,feat_15m_ret_1,7,0.0,1.0,1.0
HOLDOUT_7,8,0.5,feat_15m_ret_16,7,0.7142857142857143,0.7142857142857143,1.0
HOLDOUT_7,8,0.5,feat_15m_ret_4,7,0.2857142857142857,0.7142857142857143,1.0
HOLDOUT_7,8,0.5,feat_15m_ret_8,7,0.8571428571428571,0.8571428571428571,1.0
HOLDOUT_7,8,0.5,feat_15m_volume_ratio_32,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,8,0.5,feat_5m_1h_rv,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,8,0.5,feat_5m_rv_rate_ratio_1h_4h,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,8,0.5,feat_time_after_long_gap,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,8,0.5,feat_time_bars_since_segment_start,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,8,0.9,feat_15m_location_32,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,8,0.9,feat_15m_oi_log_change_4,7,0.2857142857142857,0.7142857142857143,0.8
HOLDOUT_7,8,0.9,feat_15m_ret_1,7,0.2857142857142857,0.7142857142857143,0.6
HOLDOUT_7,8,0.9,feat_15m_ret_16,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,8,0.9,feat_15m_ret_4,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,8,0.9,feat_15m_ret_8,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,8,0.9,feat_15m_volume_ratio_32,7,0.8571428571428571,0.8571428571428571,1.0
HOLDOUT_7,8,0.9,feat_5m_1h_rv,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,8,0.9,feat_5m_rv_rate_ratio_1h_4h,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,8,0.9,feat_time_after_long_gap,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,8,0.9,feat_time_bars_since_segment_start,7,0.7142857142857143,0.7142857142857143,1.0
HOLDOUT_7,16,0.1,feat_15m_location_32,7,0.2857142857142857,0.7142857142857143,1.0
HOLDOUT_7,16,0.1,feat_15m_oi_log_change_4,7,0.8571428571428571,0.8571428571428571,1.0
HOLDOUT_7,16,0.1,feat_15m_ret_1,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,16,0.1,feat_15m_ret_16,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,16,0.1,feat_15m_ret_4,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,16,0.1,feat_15m_ret_8,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,16,0.1,feat_15m_volume_ratio_32,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,16,0.1,feat_5m_1h_rv,7,0.14285714285714285,0.8571428571428571,0.8
HOLDOUT_7,16,0.1,feat_5m_rv_rate_ratio_1h_4h,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,16,0.1,feat_time_after_long_gap,7,0.42857142857142855,0.5714285714285714,0.8
HOLDOUT_7,16,0.1,feat_time_bars_since_segment_start,7,0.42857142857142855,0.5714285714285714,0.8
HOLDOUT_7,16,0.5,feat_15m_location_32,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,16,0.5,feat_15m_oi_log_change_4,7,0.7142857142857143,0.7142857142857143,1.0
HOLDOUT_7,16,0.5,feat_15m_ret_1,7,0.14285714285714285,0.8571428571428571,0.8
HOLDOUT_7,16,0.5,feat_15m_ret_16,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,16,0.5,feat_15m_ret_4,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,16,0.5,feat_15m_ret_8,7,0.7142857142857143,0.7142857142857143,1.0
HOLDOUT_7,16,0.5,feat_15m_volume_ratio_32,7,0.2857142857142857,0.7142857142857143,1.0
HOLDOUT_7,16,0.5,feat_5m_1h_rv,7,0.14285714285714285,0.8571428571428571,1.0
HOLDOUT_7,16,0.5,feat_5m_rv_rate_ratio_1h_4h,7,0.7142857142857143,0.7142857142857143,1.0
HOLDOUT_7,16,0.5,feat_time_after_long_gap,7,0.7142857142857143,0.7142857142857143,1.0
HOLDOUT_7,16,0.5,feat_time_bars_since_segment_start,7,0.42857142857142855,0.5714285714285714,0.8
HOLDOUT_7,16,0.9,feat_15m_location_32,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,16,0.9,feat_15m_oi_log_change_4,7,0.2857142857142857,0.7142857142857143,1.0
HOLDOUT_7,16,0.9,feat_15m_ret_1,7,0.42857142857142855,0.5714285714285714,0.6
HOLDOUT_7,16,0.9,feat_15m_ret_16,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,16,0.9,feat_15m_ret_4,7,0.42857142857142855,0.5714285714285714,1.0
HOLDOUT_7,16,0.9,feat_15m_ret_8,7,0.2857142857142857,0.7142857142857143,1.0
HOLDOUT_7,16,0.9,feat_15m_volume_ratio_32,7,0.42857142857142855,0.5714285714285714,0.8
HOLDOUT_7,16,0.9,feat_5m_1h_rv,7,0.14285714285714285,0.8571428571428571,1.0
HOLDOUT_7,16,0.9,feat_5m_rv_rate_ratio_1h_4h,7,0.5714285714285714,0.5714285714285714,1.0
HOLDOUT_7,16,0.9,feat_time_after_long_gap,7,0.8571428571428571,0.8571428571428571,1.0
HOLDOUT_7,16,0.9,feat_time_bars_since_segment_start,7,0.42857142857142855,0.5714285714285714,1.0
METAL_HOLDOUT,4,0.1,feat_15m_location_32,4,0.0,1.0,1.0
METAL_HOLDOUT,4,0.1,feat_15m_oi_log_change_4,4,1.0,1.0,1.0
METAL_HOLDOUT,4,0.1,feat_15m_ret_1,4,0.5,0.5,0.6
METAL_HOLDOUT,4,0.1,feat_15m_ret_16,4,1.0,1.0,1.0
METAL_HOLDOUT,4,0.1,feat_15m_ret_4,4,0.25,0.75,0.8
METAL_HOLDOUT,4,0.1,feat_15m_ret_8,4,0.75,0.75,0.8
METAL_HOLDOUT,4,0.1,feat_15m_volume_ratio_32,4,0.25,0.75,1.0
METAL_HOLDOUT,4,0.1,feat_5m_1h_rv,4,0.25,0.75,0.9
METAL_HOLDOUT,4,0.1,feat_5m_rv_rate_ratio_1h_4h,4,0.5,0.5,0.8
METAL_HOLDOUT,4,0.1,feat_time_after_long_gap,4,0.5,0.5,1.0
METAL_HOLDOUT,4,0.1,feat_time_bars_since_segment_start,4,0.25,0.75,0.8
METAL_HOLDOUT,4,0.5,feat_15m_location_32,4,0.0,1.0,1.0
METAL_HOLDOUT,4,0.5,feat_15m_oi_log_change_4,4,1.0,1.0,1.0
METAL_HOLDOUT,4,0.5,feat_15m_ret_1,4,0.25,0.75,1.0
METAL_HOLDOUT,4,0.5,feat_15m_ret_16,4,1.0,1.0,1.0
METAL_HOLDOUT,4,0.5,feat_15m_ret_4,4,0.0,1.0,1.0
METAL_HOLDOUT,4,0.5,feat_15m_ret_8,4,0.5,0.5,0.9
METAL_HOLDOUT,4,0.5,feat_15m_volume_ratio_32,4,0.25,0.75,1.0
METAL_HOLDOUT,4,0.5,feat_5m_1h_rv,4,0.75,0.75,1.0
METAL_HOLDOUT,4,0.5,feat_5m_rv_rate_ratio_1h_4h,4,0.25,0.75,1.0
METAL_HOLDOUT,4,0.5,feat_time_after_long_gap,4,0.0,1.0,1.0
METAL_HOLDOUT,4,0.5,feat_time_bars_since_segment_start,4,0.5,0.5,1.0
METAL_HOLDOUT,4,0.9,feat_15m_location_32,4,0.25,0.75,1.0
METAL_HOLDOUT,4,0.9,feat_15m_oi_log_change_4,4,0.0,1.0,1.0
METAL_HOLDOUT,4,0.9,feat_15m_ret_1,4,0.5,0.5,0.8
METAL_HOLDOUT,4,0.9,feat_15m_ret_16,4,0.5,0.5,0.9
METAL_HOLDOUT,4,0.9,feat_15m_ret_4,4,0.25,0.75,1.0
METAL_HOLDOUT,4,0.9,feat_15m_ret_8,4,0.5,0.5,1.0
METAL_HOLDOUT,4,0.9,feat_15m_volume_ratio_32,4,0.75,0.75,1.0
METAL_HOLDOUT,4,0.9,feat_5m_1h_rv,4,0.5,0.5,0.8
METAL_HOLDOUT,4,0.9,feat_5m_rv_rate_ratio_1h_4h,4,0.0,1.0,1.0
METAL_HOLDOUT,4,0.9,feat_time_after_long_gap,4,0.5,0.5,1.0
METAL_HOLDOUT,4,0.9,feat_time_bars_since_segment_start,4,0.5,0.5,0.9
