instrument,horizon,model,from_feature_set,to_feature_set,delta_mean_pinball_skill,delta_tail_pinball_skill,delta_q10_pinball_skill,delta_q50_pinball_skill,delta_q90_pinball_skill,delta_interval_score_skill,delta_q50_decile_monotonicity,delta_width_path_range_monotonicity
AG,4,linear_qr,F1_DIRECTION,F2_ACTIVITY,-0.002681208830071983,-0.003408178640033843,-0.0018444827939891884,-0.001227269210148263,-0.004971874486078498,-0.0033764923416397252,-0.29944191337977133,-0.08484848484848506
AG,4,linear_qr,F2_ACTIVITY,F3_VOL,0.0020041128583547416,0.003356977528874816,0.00786712132926326,-0.0007016164826854077,-0.0011531662715136282,0.00344836983040242,0.6509570648949228,0.12121212121212122
AG,4,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,-0.001674869591020145,-0.00198997122489325,-0.0035429213271455096,-0.001044666323273935,-0.00043702112264099036,-0.0020214397745190738,-0.47272727272727266,0.0
AG,4,gbr_quantile,F2_ACTIVITY,F3_VOL,-9.729039006826229e-05,0.0009701908414231908,0.002444503011923338,-0.0022322528530511754,-0.0005041213290769564,0.0010000658938371654,0.27878787878787875,0.08484848484848473
AG,8,linear_qr,F1_DIRECTION,F2_ACTIVITY,-0.0012394316120466122,-0.0003437951787048643,-0.006098733678783885,-0.0030307044787301063,0.005411143321374157,-0.0004492563267264327,0.04848484848484849,-0.1454545454545454
AG,8,linear_qr,F2_ACTIVITY,F3_VOL,-0.007814681756244408,-0.010323379149861922,-0.015780986275462094,-0.0027972869690093827,-0.00486577202426175,-0.010865245008802482,0.13333333333333328,0.09696969696969693
AG,8,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,-0.0033844048603060744,-0.003268543091304421,-0.013852718366713312,-0.0036161283983093817,0.00731563218410447,-0.003462501597618961,0.206060606060606,0.25454545454545463
AG,8,gbr_quantile,F2_ACTIVITY,F3_VOL,-0.002532616875317399,-0.003255780370408301,-0.004382195724531135,-0.001086289885135594,-0.002129365016285467,-0.0032764223036615414,-0.1333333333333333,-0.06060606060606055
AG,16,linear_qr,F1_DIRECTION,F2_ACTIVITY,0.001666916626276974,0.0035333767440711705,-0.0022997826283506217,-0.0020660036093114176,0.009366536116492963,0.004122605459545126,-0.0121212121212122,-0.024242424242424176
AG,16,linear_qr,F2_ACTIVITY,F3_VOL,-0.0014897184516928785,-0.0007288073362998193,-0.00019502147044214713,-0.003011540682478997,-0.0012625932021574915,0.0014083309742434214,-0.048484848484848464,0.012121212121212088
AG,16,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,0.002913522170439202,0.007527890179682473,0.0052105576023586675,-0.006315213848047341,0.009845222757006278,0.007468578424270511,-0.1333333333333333,0.07272727272727286
AG,16,gbr_quantile,F2_ACTIVITY,F3_VOL,0.00020770949733199106,0.001681130319332258,0.010221833926375545,-0.0027391321466685437,-0.006859573287711029,0.0018997282574728658,0.08484848484848484,-0.01212121212121231
CU,4,linear_qr,F1_DIRECTION,F2_ACTIVITY,-0.0029256797340047784,-0.0033642173478997117,-0.0030258809857848235,-0.0020486045062149127,-0.0037025537100146,-0.0001648904612043811,-0.42948018339789423,0.2545454545454545
CU,4,linear_qr,F2_ACTIVITY,F3_VOL,0.0006673923171653193,0.0011568150505500974,-0.0032443530624073347,-0.000311453149604235,0.005557983163507529,0.0010473863559852248,-0.012270862382796968,-0.08484848484848462
CU,4,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,-0.003064342837891217,-0.0028544403461177037,0.00045486739718592073,-0.0034841478214382438,-0.006163748089421328,-0.00288058156436799,-0.11880802590133716,-0.16969696969696968
CU,4,gbr_quantile,F2_ACTIVITY,F3_VOL,0.0011263805744453625,0.0018355494225540947,-0.002909617003105547,-0.00029195712177210176,0.006580715848213736,0.0018730329208530572,-0.12474630231420669,0.20606060606060606
CU,8,linear_qr,F1_DIRECTION,F2_ACTIVITY,-0.01070834179086518,-0.012645086422908292,-0.014636553880265302,-0.006834852526778956,-0.010653618965551281,-0.006267259897015487,-0.060606060606060774,0.20606060606060594
CU,8,linear_qr,F2_ACTIVITY,F3_VOL,-0.003076066988464854,-0.004151176599673234,-0.005431115222223282,-0.0009258477660480935,-0.0028712379771231866,-0.004067398531283795,0.0,-0.08484848484848462
CU,8,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,-0.002844124796260135,-0.00617915654020551,-0.004730350713442855,0.003825938691630615,-0.007627962366968166,-0.0061606645224077106,0.08998662209936165,-0.03636363636363649
CU,8,gbr_quantile,F2_ACTIVITY,F3_VOL,0.000765769833200646,0.0008927142626937723,-0.00020445416670078487,0.0005118809742143959,0.0019898826920883295,0.000878710413628081,0.24242424242424232,-0.048484848484848464
CU,16,linear_qr,F1_DIRECTION,F2_ACTIVITY,-0.004094935802474367,-0.0044344729268783745,-0.003529191953140609,-0.003415861553666355,-0.00533975390061614,-0.002897926265504003,-0.15757575757575748,-0.37575757575757573
CU,16,linear_qr,F2_ACTIVITY,F3_VOL,-0.0009603004155349648,-0.001617479064240368,-0.005875111815299094,0.0003540568818758416,0.0026401536868183584,-0.0014897220820047075,-0.07272727272727275,0.21818181818181814
CU,16,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,-0.017813444232706366,-0.020447887292223854,-0.027758992987406028,-0.012544558113671389,-0.01313678159704168,-0.02046405255654027,0.37575757575757573,-0.16969696969696957
