instrument,horizon,feature_set,model,decile,n,mean_pred_width,median_abs_return,mean_abs_return,median_path_range,mean_path_range
AG,4,F1_DIRECTION,linear_qr,1,225,0.01688805920238378,0.0033273799877719,0.004864068630045606,0.008110231128610099,0.01028210891118111
AG,4,F1_DIRECTION,linear_qr,2,225,0.01816161597271165,0.0042262642147733,0.0063658753649269584,0.010093813169218799,0.0118197824684441
AG,4,F1_DIRECTION,linear_qr,3,225,0.018799995438679665,0.0033608865958039,0.0056113345716038,0.0085968360850085,0.011082405400249445
AG,4,F1_DIRECTION,linear_qr,4,225,0.019287988191744626,0.0036753691679109,0.005807508364327746,0.0086207430439071,0.01115638485773545
AG,4,F1_DIRECTION,linear_qr,5,225,0.019733272741484315,0.0033762568896238,0.005844719095296607,0.0099439242677678,0.011393162447697445
AG,4,F1_DIRECTION,linear_qr,6,225,0.020196743124076644,0.0042771937912878,0.00634777859211565,0.010180947921700299,0.011921740034438494
AG,4,F1_DIRECTION,linear_qr,7,225,0.02066197160255308,0.0040299047063586,0.006333424531311429,0.0099188986445811,0.01216737984033995
AG,4,F1_DIRECTION,linear_qr,8,225,0.021203079088054716,0.004389698354489,0.006382514768059185,0.0104208223349827,0.01259426009251548
AG,4,F1_DIRECTION,linear_qr,9,225,0.021881205944803344,0.0045649918158214,0.00641634656675054,0.0101850602828102,0.012248950584599664
AG,4,F1_DIRECTION,linear_qr,10,225,0.023640169907030613,0.005097356169782,0.007034081457565184,0.0120049460968232,0.014113920610850378
AG,4,F1_DIRECTION,gbr_quantile,1,225,0.009923645630971955,0.0022346378014163,0.0029382250827883686,0.0054886651850620995,0.0066771336529113795
AG,4,F1_DIRECTION,gbr_quantile,2,225,0.01159881088243407,0.0027507043595306,0.004216811051586772,0.0068577149400448,0.008476928004506374
AG,4,F1_DIRECTION,gbr_quantile,3,225,0.01341545961331515,0.0032766254898455,0.004230767483233808,0.0071739816646049,0.00878476019281236
AG,4,F1_DIRECTION,gbr_quantile,4,225,0.01804492892534767,0.0043153828774712,0.006049587933229918,0.01085925714335,0.012321689312067754
AG,4,F1_DIRECTION,gbr_quantile,5,225,0.020213423648188178,0.0042321904496044,0.006569669458270327,0.010940117437675902,0.013114943157885908
AG,4,F1_DIRECTION,gbr_quantile,6,225,0.02098852089182448,0.0048435884097179,0.0072274798099084235,0.0111115702977877,0.013338825341201515
AG,4,F1_DIRECTION,gbr_quantile,7,225,0.02178211570206834,0.0049273319695288,0.007734297192665706,0.011577045632744,0.013855869771990218
AG,4,F1_DIRECTION,gbr_quantile,8,225,0.022618379595082623,0.0044546810617628,0.006467719853888134,0.0102690388961884,0.01250100269671454
AG,4,F1_DIRECTION,gbr_quantile,9,225,0.023891448791007106,0.0053490365570911,0.007494370128913871,0.011914670252667799,0.013923384644642742
AG,4,F1_DIRECTION,gbr_quantile,10,225,0.028314009069782285,0.0067382861820544,0.008078723947517373,0.0135453844413491,0.015785558473318726
AG,4,F2_ACTIVITY,linear_qr,1,225,0.016544286784115642,0.0033574323223654,0.004849549095188781,0.0085938315821396,0.010414568076491895
AG,4,F2_ACTIVITY,linear_qr,2,225,0.01793162632727003,0.0040213601997812,0.0060719982759182955,0.0096503408038589,0.011467009787829713
AG,4,F2_ACTIVITY,linear_qr,3,225,0.018640586582534095,0.0036785553648595,0.00557035762659471,0.009480505993010601,0.011321045399395923
AG,4,F2_ACTIVITY,linear_qr,4,225,0.019197246774295646,0.003568736201276,0.005745275527285566,0.008590822911403,0.01096749219634843
AG,4,F2_ACTIVITY,linear_qr,5,225,0.019672239220765407,0.0033131692652578,0.006125109122375371,0.009512899643006001,0.011804198130570487
AG,4,F2_ACTIVITY,linear_qr,6,225,0.020201462733045877,0.0040108582729474,0.005775956712831897,0.0094380190648542,0.011316254896180513
AG,4,F2_ACTIVITY,linear_qr,7,225,0.020732928927225138,0.0042719660117956,0.006522504893397188,0.0105688648919132,0.012304803998912879
AG,4,F2_ACTIVITY,linear_qr,8,225,0.021364038719397106,0.0044268069340701,0.0072934456499137885,0.010535928638675699,0.013080877367160472
AG,4,F2_ACTIVITY,linear_qr,9,225,0.022043852907777276,0.0046642433420157,0.00638654724692627,0.0100247927431153,0.012278080060121321
AG,4,F2_ACTIVITY,linear_qr,10,225,0.023832767125175697,0.0050701718925677,0.006666907791570834,0.0118586834751617,0.013825765335039876
AG,4,F2_ACTIVITY,gbr_quantile,1,225,0.010146903189646856,0.0023310033864756,0.0032551060044293018,0.0058616814963316,0.007287708321031276
