group,horizon,model,from_feature_set,to_feature_set,instrument_count,median_delta_mean_pinball_skill,positive_share_delta_mean_pinball_skill,median_delta_tail_pinball_skill,positive_share_delta_tail_pinball_skill,median_delta_q10_pinball_skill,positive_share_delta_q10_pinball_skill,median_delta_q50_pinball_skill,positive_share_delta_q50_pinball_skill,median_delta_q90_pinball_skill,positive_share_delta_q90_pinball_skill,median_delta_interval_score_skill,positive_share_delta_interval_score_skill,median_delta_q50_decile_monotonicity,positive_share_delta_q50_decile_monotonicity,median_delta_width_path_range_monotonicity,positive_share_delta_width_path_range_monotonicity
ALL_8,4,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,8,-0.003145199565069627,0.125,-0.004426032474011327,0.125,-0.004859708030895693,0.125,-0.0022404611074764436,0.25,-0.005957058483838651,0.125,-0.004440717659342064,0.125,-0.06852259610586955,0.25,0.012121212121212144,0.5
ALL_8,4,gbr_quantile,F2_ACTIVITY,F3_VOL,8,0.0008410838181823572,0.625,0.002117735885496519,0.75,-0.000136424752424813,0.5,-0.0008167003070177481,0.125,0.003752599441058546,0.75,0.0021301220357108352,0.75,-0.06643113787470475,0.375,0.018181818181818188,0.625
ALL_8,4,linear_qr,F1_DIRECTION,F2_ACTIVITY,8,-0.002803444282038381,0.125,-0.0033861979939667775,0.125,-0.002435181889887006,0.0,-0.0013248511050317768,0.0,-0.0010885943770206907,0.375,-0.000430875788481333,0.375,-0.0020621510453570635,0.5,0.012121212121212088,0.5
ALL_8,4,linear_qr,F2_ACTIVITY,F3_VOL,8,-0.0004925335228814778,0.5,-0.0009934046043385547,0.5,-0.0003262398885932605,0.5,-0.0015586136561351882,0.25,0.0013571888724892567,0.5,0.000965572052121999,0.75,0.08949651983026356,0.625,0.0,0.375
ALL_8,8,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,8,-0.0008275162587250326,0.5,-0.0007038993248376646,0.5,0.001643410880076912,0.625,-0.002207391632751854,0.375,-0.004446641160284925,0.375,-0.0002635367797805821,0.5,0.005096215135207416,0.5,0.030303030303030276,0.5
ALL_8,8,gbr_quantile,F2_ACTIVITY,F3_VOL,8,0.001632131930051572,0.625,0.0013804103882308627,0.625,-0.00034012917701231604,0.375,6.832437816262082e-05,0.5,0.002005164154544603,0.625,0.0013066809818628178,0.625,0.1485678706777241,0.625,-0.0060606060606061,0.5
ALL_8,8,linear_qr,F1_DIRECTION,F2_ACTIVITY,8,-0.004033817484222452,0.0,-0.0051622034254158455,0.125,-0.007575872408351558,0.125,-0.0028812156046479354,0.125,-0.0006569910748720487,0.5,-0.0005366861697839731,0.375,0.03126526997403606,0.75,0.03030303030303028,0.625
ALL_8,8,linear_qr,F2_ACTIVITY,F3_VOL,8,-0.0035633385435724545,0.125,-0.005652559605875573,0.125,-0.006478728363185193,0.125,-0.0026182444255739012,0.25,-0.005756696889931079,0.25,-0.001958448352112452,0.375,-0.03030303030303033,0.375,0.06060606060606061,0.625
ALL_8,16,gbr_quantile,F1_DIRECTION,F2_ACTIVITY,8,-0.0007551855397631511,0.5,0.0003576478283520701,0.5,0.0007008055703952576,0.625,1.905392847378895e-05,0.5,0.00014752263893846873,0.5,0.0003554067117523818,0.5,-0.006060606060606072,0.5,-1.3877787807814457e-17,0.5
ALL_8,16,gbr_quantile,F2_ACTIVITY,F3_VOL,8,0.00379700521279754,0.875,0.005484486130798993,0.875,0.008305724289360938,0.75,0.00019875495634336104,0.5,0.002444729537810497,0.75,0.005461671224526676,0.875,-0.058885572464812325,0.25,0.0727272727272727,0.75
