instrument,horizon,feature_set,model,oos_rows,crossing_rate,ordered_share,interval_80_coverage_ordered,interval_score,baseline_interval_score,interval_score_skill,q50_spearman,q50_sign_accuracy,positive_interval_skill_fold_share,median_fold_interval_skill,q50_decile_monotonicity,q50_top_minus_bottom_median,width_abs_return_monotonicity,width_path_range_monotonicity,width_top_minus_bottom_path_range
AG,4,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.8177777777777778,0.032969343855286715,0.032909160982448386,-0.0018287574353665903,-0.04409776684703883,0.4928888888888889,0.6,0.0039976460399197,-0.5151515151515151,-3.979343461520005e-05,0.8424242424242423,0.8181818181818182,0.0038947149682131005
AG,4,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8111111111111111,0.03163930626304596,0.032909160982448386,0.03858666345458295,0.010359222323922904,0.5008888888888889,0.8,0.047270007943694736,-0.10303030303030303,-0.0020862599227355,0.9515151515151514,0.8787878787878788,0.008056719256287
AG,4,F2_ACTIVITY,linear_qr,2250,0.0,1.0,0.8168888888888889,0.03308046138531374,0.032909160982448386,-0.0052052497770063155,-0.04399938275857416,0.4888888888888889,0.6,0.002346991801912335,-0.8145934285312865,-0.0013735849160852,0.7818181818181817,0.7333333333333332,0.0032648518930221
AG,4,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8066666666666666,0.03170583015000193,0.032909160982448386,0.036565223680063874,-0.009716150423086814,0.4955555555555556,0.8,0.04429147705500369,-0.5757575757575757,-0.0016918711329834,0.8424242424242423,0.8787878787878788,0.0074253333334845
AG,4,F3_VOL,linear_qr,2250,0.0,1.0,0.8155555555555556,0.03296697842743801,0.032909160982448386,-0.0017568799466038953,-0.012875014647542468,0.49377777777777776,0.8,0.0046737355738341035,-0.16363636363636364,-0.0008373456633275,0.6484848484848483,0.8545454545454544,0.0026881010322923997
AG,4,F3_VOL,gbr_quantile,2250,0.0,1.0,0.7973333333333333,0.031672918820508586,0.032909160982448386,0.03756528957390104,-0.024648526540463525,0.49955555555555553,0.8,0.04768968862508938,-0.29696969696969694,-0.0009648877588514,0.9393939393939393,0.9636363636363635,0.007548811445322101
AG,8,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.8182222222222222,0.048872919955328276,0.048232145169491314,-0.013285222616270298,0.0083134320530757,0.5133333333333333,0.4,-0.012707685615321429,0.1515151515151515,-0.0008425287864397999,0.4787878787878787,0.7575757575757575,0.0038361197607416995
AG,8,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8106666666666666,0.047425260150932916,0.048232145169491314,0.016729196176594407,0.056131771751777304,0.5342222222222223,0.8,0.00731985335362928,0.4666666666666666,0.0020075914462723,0.7939393939393938,0.7212121212121211,0.007899612475031998
AG,8,F2_ACTIVITY,linear_qr,2250,0.0,1.0,0.8204444444444444,0.04889458855169725,0.048232145169491314,-0.01373447894299673,0.007177913800794708,0.5115555555555555,0.4,-0.009874150126242487,0.19999999999999998,-0.0014033301279692,0.4424242424242424,0.6121212121212121,0.0031063667780926
AG,8,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8022222222222222,0.04759226403063887,0.048232145169491314,0.013266694578975446,0.029357405347570746,0.5137777777777778,0.6,0.007229806387238025,0.6727272727272726,0.0009171359260083,0.8909090909090909,0.9757575757575757,0.008906888426020916
AG,8,F3_VOL,linear_qr,2250,0.0008888888888888889,0.9991111111111111,0.8131672597864769,0.04943241558363613,0.04824558745046237,-0.024599723951799213,0.03245209776356777,0.5182222222222223,0.2,-0.01071967096068649,0.33333333333333326,0.0012679407833782002,0.24848484848484845,0.709090909090909,0.0036960232556470986
AG,8,F3_VOL,gbr_quantile,2250,0.0,1.0,0.8066666666666666,0.04775029290682563,0.048232145169491314,0.009990272275313905,0.04586798398295744,0.5128888888888888,0.8,0.013246085200448232,0.5393939393939393,0.0024987246663188997,0.7939393939393938,0.9151515151515152,0.0082417332039142
AG,16,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.8426666666666667,0.06801276009378508,0.06708733141252803,-0.01379438802784505,0.07429288648009438,0.5271111111111111,0.2,-0.008015220058619654,0.6848484848484848,0.006088146260544099,0.6727272727272726,0.8666666666666665,0.004010791465073899
AG,16,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8226666666666667,0.06779883022977114,0.06708733141252803,-0.01060556147133096,0.07102756661914486,0.504,0.4,-0.010790298654148378,0.406060606060606,0.006082061590524599,0.6606060606060605,0.8424242424242423,0.0020605933963292015
AG,16,F2_ACTIVITY,linear_qr,2250,0.00044444444444444447,0.9995555555555555,0.840373499333037,0.06772803244388736,0.06707925646055762,-0.009671782568299925,0.06426152496721574,0.516,0.4,-0.009188378867865055,0.6727272727272726,0.0070590371788399,0.5636363636363636,0.8424242424242423,0.0040320189801080035
AG,16,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8222222222222222,0.06729778323384165,0.06708733141252803,-0.0031369830470604487,0.037456291717033144,0.49644444444444447,0.6,0.0026929543115904453,0.2727272727272727,0.00414260119049,0.8060606060606059,0.9151515151515152,0.0068877413564414
AG,16,F3_VOL,linear_qr,2250,0.0013333333333333333,0.9986666666666667,0.8384512683578104,0.0676489639524153,0.06709453153881838,-0.008263451594056503,0.059813174301437504,0.5182222222222223,0.2,-0.011113927979032878,0.6242424242424242,0.0068670778477444,0.709090909090909,0.8545454545454544,0.0066415438520941
AG,16,F3_VOL,gbr_quantile,2250,0.0,1.0,0.8155555555555556,0.06717033553463883,0.06708733141252803,-0.001237254789587583,0.01244414678017782,0.5,0.4,-0.0005947396877508115,0.35757575757575755,0.0025790384030911,0.9030303030303028,0.9030303030303028,0.005152149251532501
CU,4,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.8471111111111111,0.010517147329960697,0.010414576961892559,-0.00984873110482054,0.029836407306893718,0.5106666666666667,0.0,-0.0060402211178907095,0.5215116512688716,9.286344437188386e-05,0.3696969696969697,0.6484848484848483,0.0002608273629821005
CU,4,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8368888888888889,0.010317745972368609,0.010414576961892559,0.009297640209320002,-0.01438073006149812,0.49777777777777776,0.8,0.017621566937575994,-0.42520767164689127,-0.00028444583157126,0.9515151515151514,0.9636363636363635,0.0024087853626003
CU,4,F2_ACTIVITY,linear_qr,2250,0.0017777777777777779,0.9982222222222222,0.8455031166518254,0.010523923347430917,0.010419585560750741,-0.010013621566024922,0.025115497006751312,0.5057777777777778,0.2,-0.00895769684972536,0.09203146787097731,0.0001944957703302,0.8424242424242423,0.9030303030303028,0.0005364868258475996
CU,4,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8346666666666667,0.010347746010765728,0.010414576961892559,0.006417058644952012,-0.043168622650076795,0.4951111111111111,0.8,0.013661062863780882,-0.5440156975482284,-0.0006555821351395,0.7696969696969697,0.7939393939393938,0.0022932364967800005
CU,4,F3_VOL,linear_qr,2250,0.0017777777777777779,0.9982222222222222,0.8459483526268923,0.010513010015679567,0.010419585560750741,-0.008966235210039697,0.020245310236803357,0.49822222222222223,0.2,-0.006478753706264273,0.07976060548818034,0.0003787228835828905,0.4787878787878787,0.8181818181818182,0.0009963616085896998
CU,4,F3_VOL,gbr_quantile,2250,0.0,1.0,0.8302222222222222,0.010328239165259346,0.010414576961892559,0.008290091565805069,-0.049378610175814935,0.49466666666666664,0.8,0.018189259063776775,-0.6687619998624351,-0.0004816168117294,0.9999999999999999,0.9999999999999999,0.0020945010906769004
CU,8,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.8648888888888889,0.015176533412342636,0.01509895637044743,-0.005137907547507314,0.07005206183860724,0.5168888888888888,0.4,-0.008948808773865835,0.8181818181818182,0.0009270868383585999,0.23636363636363633,0.6969696969696969,0.0016679621578092
CU,8,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8466666666666667,0.015127959231593512,0.01509895637044743,-0.0019208520400024742,0.02120308242494929,0.5111111111111111,0.6,0.013634669704311375,0.3039527718400323,0.00028680832809948166,0.8787878787878788,0.9393939393939393,0.0015216016451329003
CU,8,F2_ACTIVITY,linear_qr,2250,0.0017777777777777779,0.9982222222222222,0.8619768477292965,0.015277594233455009,0.015105315579963169,-0.011405167444522801,0.06156789693981094,0.5133333333333333,0.2,-0.011692095689996851,0.7575757575757575,0.0007565668001628,0.3696969696969697,0.9030303030303028,0.0013032594746736998
CU,8,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8448888888888889,0.015220978836430308,0.01509895637044743,-0.008081516562410185,0.06577864221675316,0.5293333333333333,0.6,0.00046592993857585974,0.3939393939393939,0.0009607093857714,0.32121212121212117,0.9030303030303028,0.0012894908298718994
CU,8,F3_VOL,linear_qr,2250,0.0035555555555555557,0.9964444444444445,0.8568242640499554,0.01534096102236805,0.015107213662268,-0.015472565975806596,0.0701757357015206,0.5262222222222223,0.2,-0.014453971234676066,0.7575757575757575,0.0008316130478117999,0.006060606060606061,0.8181818181818182,0.0014562387729295002
CU,8,F3_VOL,gbr_quantile,2250,0.0,1.0,0.8408888888888889,0.01520771122623268,0.01509895637044743,-0.007202806148782104,0.055413230424535255,0.5266666666666666,0.6,0.0027786284630706426,0.6363636363636362,0.0008484301665159,0.6848484848484848,0.8545454545454544,0.0012236933072408002
CU,16,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.8702222222222222,0.022392205100916517,0.022006064201515917,-0.017547022305515192,0.07992202869562677,0.5355555555555556,0.2,-0.0036237981909037487,0.7575757575757575,0.0014458546033113,0.29696969696969694,0.9515151515151514,0.0036478022233076
CU,16,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8591111111111112,0.02202716802137714,0.022006064201515917,-0.0009590001950356974,0.06479842590519863,0.5324444444444445,0.8,0.01163729908265354,0.4545454545454545,-6.478052552609992e-05,-0.07878787878787878,0.8666666666666665,0.0025537647186482998
CU,16,F2_ACTIVITY,linear_qr,2250,0.0026666666666666666,0.9973333333333333,0.8685383244206774,0.02246529504134365,0.022015195501533857,-0.020444948571019195,0.08185181368546303,0.5364444444444444,0.2,-0.011247062569491817,0.6,0.0018294092700541001,0.2121212121212121,0.5757575757575757,0.002033751581846599
CU,16,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8484444444444444,0.022477501275759558,0.022006064201515917,-0.021423052751575966,0.058271347410738916,0.5262222222222223,0.4,-0.006698142283283026,0.8303030303030302,0.0007652864265013318,-0.07878787878787878,0.6969696969696969,0.0005794061513183998
CU,16,F3_VOL,linear_qr,2250,0.0022222222222222222,0.9977777777777778,0.8708240534521158,0.02249643707956793,0.022013576528519714,-0.021934670653023902,0.08343142058608907,0.5342222222222223,0.2,-0.010955935196892419,0.5272727272727272,0.0018238110597947003,0.3696969696969697,0.7939393939393938,0.0033407933540301003
CU,16,F3_VOL,gbr_quantile,2250,0.0,1.0,0.8475555555555555,0.022446435262138808,0.022006064201515917,-0.020011350352806545,0.06761497791080506,0.5351111111111111,0.4,-0.00421426340802511,0.8181818181818182,0.0011499235548121276,0.1515151515151515,0.9030303030303028,0.0008906366612628997
AL,4,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.8435555555555555,0.010242512531937295,0.010227903285392597,-0.0014283715965093258,0.06316646784370598,0.5155555555555555,0.4,-0.0009020327090407676,0.34139437099945946,0.0006280749709241,0.5030303030303029,0.7575757575757575,0.0004364206005199995
AL,4,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8293333333333334,0.009902857129132522,0.010227903285392597,0.031780331431594866,0.045399304770438326,0.5173333333333333,1.0,0.03631691828541561,0.21885688981825283,0.00023102567442710001,0.9393939393939393,0.9151515151515152,0.0030755090575145002
AL,4,F2_ACTIVITY,linear_qr,2250,0.0013333333333333333,0.9986666666666667,0.8437917222963952,0.01024272018355202,0.010232257074598202,-0.0010225611883609709,0.052090436124560276,0.5128888888888888,0.4,-0.0018747988265315207,0.32515880772997563,0.00040734849120609997,0.8666666666666665,0.9757575757575757,0.0009556082070411001
AL,4,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8208888888888889,0.009988974830298113,0.010227903285392597,0.023360453108284607,0.042666864251180596,0.5093333333333333,1.0,0.014517297015711694,0.43146072564169846,0.0002091653339019,0.9393939393939393,0.9515151515151514,0.0028985983353507997
