instrument,horizon,feature_set,model,fold,crossing_rate,ordered_share,interval_80_coverage_ordered,interval_score,baseline_interval_score,interval_score_skill,q50_spearman,q50_sign_accuracy
AG,4,F1_DIRECTION,linear_qr,0,0.0,1.0,0.7533333333333333,0.04250702594711514,0.042008127272837974,-0.01187624173381674,-0.05918653291083031,0.4666666666666667
AG,4,F1_DIRECTION,linear_qr,1,0.0,1.0,0.8333333333333334,0.03430724943593529,0.034762337003117746,0.013091397368987012,-0.13145204442003985,0.47333333333333333
AG,4,F1_DIRECTION,linear_qr,2,0.0,1.0,0.8177777777777778,0.031010575377838894,0.030447962640380955,-0.018477845105858925,-0.020340709501446102,0.5377777777777778
AG,4,F1_DIRECTION,linear_qr,3,0.0,1.0,0.8555555555555555,0.025864073798293374,0.0260445255072859,0.0069285850088550704,-0.034527655125098825,0.4888888888888889
AG,4,F1_DIRECTION,linear_qr,4,0.0,1.0,0.8288888888888889,0.03115779471725085,0.031282852488619374,0.0039976460399197,0.06798934210339619,0.49777777777777776
AG,4,F1_DIRECTION,gbr_quantile,0,0.0,1.0,0.72,0.04227728057517977,0.042008127272837974,-0.006407172131089656,-0.03396883289343014,0.45111111111111113
AG,4,F1_DIRECTION,gbr_quantile,1,0.0,1.0,0.82,0.03231905860599905,0.034762337003117746,0.07028521692599576,-0.006949896462009648,0.5488888888888889
AG,4,F1_DIRECTION,gbr_quantile,2,0.0,1.0,0.82,0.02997698810977212,0.030447962640380955,0.015468178812864553,0.08449674926779066,0.5111111111111111
AG,4,F1_DIRECTION,gbr_quantile,3,0.0,1.0,0.8555555555555555,0.023819092221297977,0.0260445255072859,0.0854472578264236,-0.04938166417156541,0.4911111111111111
AG,4,F1_DIRECTION,gbr_quantile,4,0.0,1.0,0.84,0.029804111802980905,0.031282852488619374,0.047270007943694736,0.06311541672064531,0.5022222222222222
AG,4,F2_ACTIVITY,linear_qr,0,0.0,1.0,0.7533333333333333,0.042456080502388784,0.042008127272837974,-0.010663489630028167,-0.052118514235247757,0.48
AG,4,F2_ACTIVITY,linear_qr,1,0.0,1.0,0.8333333333333334,0.03401883207773782,0.034762337003117746,0.021388231904927446,-0.0742617025026199,0.48
AG,4,F2_ACTIVITY,linear_qr,2,0.0,1.0,0.8088888888888889,0.03178822605455947,0.030447962640380955,-0.04401816403968595,-0.08655720110551987,0.5222222222222223
AG,4,F2_ACTIVITY,linear_qr,3,0.0,1.0,0.8555555555555555,0.025983399219435602,0.0260445255072859,0.002346991801912335,-0.06078491277649858,0.48
AG,4,F2_ACTIVITY,linear_qr,4,0.0,1.0,0.8333333333333334,0.03115576907244702,0.031282852488619374,0.004062398600593875,0.08224778335523583,0.4822222222222222
AG,4,F2_ACTIVITY,gbr_quantile,0,0.0,1.0,0.7066666666666667,0.04265238272598211,0.042008127272837974,-0.015336447848764312,-0.0654633134753448,0.4577777777777778
AG,4,F2_ACTIVITY,gbr_quantile,1,0.0,1.0,0.8222222222222222,0.032149960701638516,0.034762337003117746,0.07514961670283937,0.016745894497974114,0.5488888888888889
AG,4,F2_ACTIVITY,gbr_quantile,2,0.0,1.0,0.8155555555555556,0.030006248873157434,0.030447962640380955,0.014507169902977624,0.010175196290720244,0.4888888888888889
AG,4,F2_ACTIVITY,gbr_quantile,3,0.0,1.0,0.86,0.02382326970382698,0.0260445255072859,0.0852868601056882,-0.012781565689945453,0.5044444444444445
AG,4,F2_ACTIVITY,gbr_quantile,4,0.0,1.0,0.8288888888888889,0.029897288745404624,0.031282852488619374,0.04429147705500369,0.03599939357715259,0.4777777777777778
AG,4,F3_VOL,linear_qr,0,0.0,1.0,0.7511111111111111,0.04189250044872467,0.042008127272837974,0.0027524869976307542,0.05487968022491243,0.4888888888888889
AG,4,F3_VOL,linear_qr,1,0.0,1.0,0.8355555555555556,0.033837265362525834,0.034762337003117746,0.02661131904074643,-0.058284207437541535,0.4888888888888889
AG,4,F3_VOL,linear_qr,2,0.0,1.0,0.8088888888888889,0.0320522329677009,0.030447962640380955,-0.05268892195736985,-0.09554173930077021,0.5022222222222222
AG,4,F3_VOL,linear_qr,3,0.0,1.0,0.8533333333333334,0.025916248650146308,0.0260445255072859,0.004925290618318479,-0.06329080251945703,0.48
AG,4,F3_VOL,linear_qr,4,0.0,1.0,0.8288888888888889,0.03113664470809231,0.031282852488619374,0.0046737355738341035,0.08327310532473763,0.5088888888888888
AG,4,F3_VOL,gbr_quantile,0,0.0,1.0,0.7,0.04245403651701977,0.042008127272837974,-0.010614832727144918,-0.017702215537450713,0.47333333333333333
AG,4,F3_VOL,gbr_quantile,1,0.0,1.0,0.8111111111111111,0.032539961167859344,0.034762337003117746,0.06393056471028069,-0.028592339668914918,0.5311111111111111
AG,4,F3_VOL,gbr_quantile,2,0.0,1.0,0.8,0.02965651873759958,0.030447962640380955,0.025993328753357692,-0.03210143129948526,0.5155555555555555
AG,4,F3_VOL,gbr_quantile,3,0.0,1.0,0.8488888888888889,0.023923094685931706,0.0260445255072859,0.08145400156208371,-0.05228755802994397,0.4888888888888889
AG,4,F3_VOL,gbr_quantile,4,0.0,1.0,0.8266666666666667,0.029790982994132513,0.031282852488619374,0.04768968862508938,0.037060873775226315,0.4888888888888889
AG,8,F1_DIRECTION,linear_qr,0,0.0,1.0,0.7533333333333333,0.06145947596414958,0.06068826852716812,-0.012707685615321429,-0.034505849411602035,0.5244444444444445
AG,8,F1_DIRECTION,linear_qr,1,0.0,1.0,0.8244444444444444,0.05382217984259237,0.054511358567647425,0.01264284624643508,0.11398515923486574,0.5577777777777778
AG,8,F1_DIRECTION,linear_qr,2,0.0,1.0,0.8,0.045034058761149715,0.042538333943069793,-0.05867001799882465,-0.032933100904202,0.5044444444444445
AG,8,F1_DIRECTION,linear_qr,3,0.0,1.0,0.8688888888888889,0.038796417227621866,0.039191024601760105,0.010068820046121418,-0.07306511801704371,0.4533333333333333
AG,8,F1_DIRECTION,linear_qr,4,0.0,1.0,0.8444444444444444,0.04525246798112784,0.044231740207811135,-0.023076816976250303,0.09101918198773,0.5266666666666666
AG,8,F1_DIRECTION,gbr_quantile,0,0.0,1.0,0.7444444444444445,0.06033229152109509,0.06068826852716812,0.005865664233173362,0.021565407617334997,0.5133333333333333
AG,8,F1_DIRECTION,gbr_quantile,1,0.0,1.0,0.7977777777777778,0.05225280818857635,0.054511358567647425,0.04143265620995784,0.1229613476888083,0.56
AG,8,F1_DIRECTION,gbr_quantile,2,0.0,1.0,0.8022222222222222,0.044866243713866175,0.042538333943069793,-0.05472498697085526,0.03175772270531205,0.5444444444444444
