instrument,horizon,quantile,fold,feature,coefficient
AG,4,0.1,0,feat_15m_ret_1,0.00010547931926447679
AG,4,0.1,0,feat_15m_ret_4,5.869220974384529e-05
AG,4,0.1,0,feat_15m_ret_8,-0.0008284481926759227
AG,4,0.1,0,feat_15m_ret_16,0.0004541167830609792
AG,4,0.1,0,feat_15m_location_32,0.0019353358551031092
AG,4,0.1,0,feat_time_bars_since_segment_start,-0.00016394731757588362
AG,4,0.1,0,feat_time_after_long_gap,-0.0015765158257073672
AG,4,0.1,0,feat_15m_volume_ratio_32,0.00035746927666348044
AG,4,0.1,0,feat_15m_oi_log_change_4,-0.00038106723311828793
AG,4,0.1,0,feat_5m_1h_rv,-0.0010302163992253212
AG,4,0.1,0,feat_5m_rv_rate_ratio_1h_4h,-0.0003439611148635387
AG,4,0.5,0,feat_15m_ret_1,0.00039940922521604236
AG,4,0.5,0,feat_15m_ret_4,-0.0008159231159760174
AG,4,0.5,0,feat_15m_ret_8,0.0004551159292362493
AG,4,0.5,0,feat_15m_ret_16,8.802679564851975e-05
AG,4,0.5,0,feat_15m_location_32,-3.86506467589149e-05
AG,4,0.5,0,feat_time_bars_since_segment_start,0.00027802636520785697
AG,4,0.5,0,feat_time_after_long_gap,-0.0006019514621541886
AG,4,0.5,0,feat_15m_volume_ratio_32,0.00014997863752171792
AG,4,0.5,0,feat_15m_oi_log_change_4,-0.0004319384211877375
AG,4,0.5,0,feat_5m_1h_rv,-1.7539128730416944e-05
AG,4,0.5,0,feat_5m_rv_rate_ratio_1h_4h,-0.0006512993551003045
AG,4,0.9,0,feat_15m_ret_1,-0.000777712835465452
AG,4,0.9,0,feat_15m_ret_4,-0.0004460404950198654
AG,4,0.9,0,feat_15m_ret_8,0.0005015747920464923
AG,4,0.9,0,feat_15m_ret_16,0.0006053409887879696
AG,4,0.9,0,feat_15m_location_32,0.000503384985091239
AG,4,0.9,0,feat_time_bars_since_segment_start,-0.0005900100963171018
AG,4,0.9,0,feat_time_after_long_gap,-0.00029896386065889275
AG,4,0.9,0,feat_15m_volume_ratio_32,0.00016105110295487024
AG,4,0.9,0,feat_15m_oi_log_change_4,-0.000751166834946608
AG,4,0.9,0,feat_5m_1h_rv,0.0001573382727703715
AG,4,0.9,0,feat_5m_rv_rate_ratio_1h_4h,-0.000862481002923435
AG,4,0.1,1,feat_15m_ret_1,0.00016854473311146213
AG,4,0.1,1,feat_15m_ret_4,-0.0003543211447309382
AG,4,0.1,1,feat_15m_ret_8,0.00041549367808683594
AG,4,0.1,1,feat_15m_ret_16,0.0012099522057989155
AG,4,0.1,1,feat_15m_location_32,0.0006632218022320153
AG,4,0.1,1,feat_time_bars_since_segment_start,-0.0008918540932157835
AG,4,0.1,1,feat_time_after_long_gap,-0.0008812626583187158
AG,4,0.1,1,feat_15m_volume_ratio_32,0.00016439414234561647
AG,4,0.1,1,feat_15m_oi_log_change_4,-0.0004328641567308497
AG,4,0.1,1,feat_5m_1h_rv,0.00024614753161223877
AG,4,0.1,1,feat_5m_rv_rate_ratio_1h_4h,-0.0016261323644691029
AG,4,0.5,1,feat_15m_ret_1,0.00015632322809617697
AG,4,0.5,1,feat_15m_ret_4,-0.0007141433486575802
AG,4,0.5,1,feat_15m_ret_8,0.0005831753489529955
AG,4,0.5,1,feat_15m_ret_16,0.0004131568611393997
AG,4,0.5,1,feat_15m_location_32,-0.00026741477755633426
AG,4,0.5,1,feat_time_bars_since_segment_start,-0.0001135118224428993
AG,4,0.5,1,feat_time_after_long_gap,-0.0005453272278427681
AG,4,0.5,1,feat_15m_volume_ratio_32,0.00033822377444571954
AG,4,0.5,1,feat_15m_oi_log_change_4,-0.00043271718378601847
AG,4,0.5,1,feat_5m_1h_rv,0.00011860528778301997
AG,4,0.5,1,feat_5m_rv_rate_ratio_1h_4h,-0.0009692718815148702
AG,4,0.9,1,feat_15m_ret_1,-0.0010265942733352791
AG,4,0.9,1,feat_15m_ret_4,0.0007747894863141134
AG,4,0.9,1,feat_15m_ret_8,-1.5604794317863205e-05
AG,4,0.9,1,feat_15m_ret_16,-0.0007375348905673956
AG,4,0.9,1,feat_15m_location_32,0.0010966775714965308
AG,4,0.9,1,feat_time_bars_since_segment_start,-0.0012215109901136116
AG,4,0.9,1,feat_time_after_long_gap,-0.00045935231790747547
AG,4,0.9,1,feat_15m_volume_ratio_32,-0.0003636546155657412
