instrument,horizon,quantile,feature,mean_coefficient,positive_fold_share,fold_sign_consistency
AG,4,0.1,feat_15m_location_32,0.0011930368930254186,1.0,1.0
AG,4,0.1,feat_15m_oi_log_change_4,-0.0003616145539846628,0.0,1.0
AG,4,0.1,feat_15m_ret_1,4.311181302099559e-05,0.8,0.8
AG,4,0.1,feat_15m_ret_16,0.0005462800073856775,0.8,0.8
AG,4,0.1,feat_15m_ret_4,-0.0003674024669773761,0.2,0.8
AG,4,0.1,feat_15m_ret_8,0.0002524145206822308,0.8,0.8
AG,4,0.1,feat_15m_volume_ratio_32,0.00026713031424644275,0.8,0.8
AG,4,0.1,feat_5m_1h_rv,-0.0004059820100796757,0.2,0.8
AG,4,0.1,feat_5m_rv_rate_ratio_1h_4h,-0.0010277145467489713,0.0,1.0
AG,4,0.1,feat_time_after_long_gap,-0.0007241111790539209,0.0,1.0
AG,4,0.1,feat_time_bars_since_segment_start,-0.0007767932646015831,0.0,1.0
AG,4,0.5,feat_15m_location_32,2.501918177514973e-05,0.4,0.6
AG,4,0.5,feat_15m_oi_log_change_4,-0.0004045038808140618,0.0,1.0
AG,4,0.5,feat_15m_ret_1,0.00018581624841315598,1.0,1.0
AG,4,0.5,feat_15m_ret_16,-0.00019427898589360264,0.4,0.6
AG,4,0.5,feat_15m_ret_4,-0.0005676120158651761,0.0,1.0
AG,4,0.5,feat_15m_ret_8,0.0006421034276578262,1.0,1.0
AG,4,0.5,feat_15m_volume_ratio_32,0.0002869158555261887,1.0,1.0
AG,4,0.5,feat_5m_1h_rv,6.032128791871776e-05,0.6,0.6
AG,4,0.5,feat_5m_rv_rate_ratio_1h_4h,-0.0006543648163802286,0.0,1.0
AG,4,0.5,feat_time_after_long_gap,-0.0005008050408872553,0.0,1.0
AG,4,0.5,feat_time_bars_since_segment_start,-0.00010287783333050372,0.2,0.8
AG,4,0.9,feat_15m_location_32,0.0011385921877269608,1.0,1.0
AG,4,0.9,feat_15m_oi_log_change_4,-0.0005272494076248972,0.4,0.6
AG,4,0.9,feat_15m_ret_1,-0.0007022295209298615,0.0,1.0
AG,4,0.9,feat_15m_ret_16,-0.0012675956467480033,0.2,0.8
AG,4,0.9,feat_15m_ret_4,0.00037333351889150333,0.8,0.8
AG,4,0.9,feat_15m_ret_8,0.000520332830776962,0.8,0.8
AG,4,0.9,feat_15m_volume_ratio_32,-0.0004256500804321769,0.2,0.8
AG,4,0.9,feat_5m_1h_rv,0.0006679433726601109,1.0,1.0
AG,4,0.9,feat_5m_rv_rate_ratio_1h_4h,-0.0007133879898424543,0.0,1.0
AG,4,0.9,feat_time_after_long_gap,-0.0003045443654803617,0.2,0.8
AG,4,0.9,feat_time_bars_since_segment_start,-0.0012775512936889924,0.0,1.0
AG,8,0.1,feat_15m_location_32,0.0015189029207923566,0.8,0.8
AG,8,0.1,feat_15m_oi_log_change_4,-0.00019137443950723889,0.2,0.8
AG,8,0.1,feat_15m_ret_1,-0.0002944244065927433,0.2,0.8
AG,8,0.1,feat_15m_ret_16,0.0035878033378327553,1.0,1.0
AG,8,0.1,feat_15m_ret_4,0.00012079531826790358,0.6,0.6
AG,8,0.1,feat_15m_ret_8,-0.0021819623816133407,0.0,1.0
AG,8,0.1,feat_15m_volume_ratio_32,0.0008183357343096101,0.6,0.6
AG,8,0.1,feat_5m_1h_rv,-0.00031042835072653057,0.6,0.6
