hypothesis,instrument_count,median_value,mean_value,positive_instrument_share,min_value,max_value
H1_H4_GBR_F1_Q10_SKILL,7,0.002467636067724377,0.011625243583897984,0.8571428571428571,-0.0035906743048172984,0.029368852070866147
H2_H4_GBR_F1_Q90_SKILL,7,0.01602058552257002,0.01811854338378747,0.7142857142857143,-0.002445843450185947,0.04846907326432692
H3_H4_GBR_F1_INTERVAL_SKILL,7,0.01286868962091492,0.014768787619074393,0.8571428571428571,-0.0003539188329915177,0.03392521085315148
H4_H4_GBR_F1_WIDTH_PATH_MONO,7,0.9636363636363635,0.9549783549783549,1.0,0.9151515151515152,0.9757575757575757
H5_H8_GBR_F1_Q10_SKILL,7,-0.010092086168588477,-0.004519649949391326,0.14285714285714285,-0.019088481349601283,0.03832774140151862
H6_H4_GBR_F2_TO_F3_TAIL_DELTA,7,0.002399922348438943,0.003443544092732929,0.7142857142857143,-0.0035909648288948715,0.017527678174600658
