horizon,split,group,candidate_n,paired_n,paired_weight,mean_follow_R,mean_fade_R,mean_delta_R,fade_better_rate,follow_better_rate,tie_rate
6,DISCOVERY,CLOSE_BEYOND,1027,931,421.8499639249639,-0.08311684872597483,0.0936516131124524,0.1767684618384273,0.4442083720258831,0.4011157821048821,0.15467584586923486
6,DISCOVERY,NON_CLOSE_BEYOND,13786,10394,7345.150036075036,-0.010619341439569299,0.014484687680721735,0.02510402912029103,0.4448085741256787,0.4509389604734665,0.10425246540085478
6,VALIDATION,CLOSE_BEYOND,441,400,190.42204184704184,-0.0034562587122354146,0.10563960160221225,0.10909586031444773,0.43424844828046755,0.43192600775334056,0.13382554396619192
6,VALIDATION,NON_CLOSE_BEYOND,6227,4758,3354.577958152958,-0.017001826392359917,-0.007869173468930207,0.009132652923429699,0.44915521692207117,0.44277853117115556,0.10806625190677327
12,DISCOVERY,CLOSE_BEYOND,1027,801,341.51424963924967,-0.03478135629170924,0.06865748033210975,0.103438836623819,0.40548402174975107,0.3750034198552305,0.21951255839501835
12,DISCOVERY,NON_CLOSE_BEYOND,13786,6896,4649.48575036075,0.01881699879766024,-0.0035288920865889956,-0.022345890884249233,0.3914403713206813,0.420789759018874,0.1877698696604448
12,VALIDATION,CLOSE_BEYOND,441,348,162.3887085137085,-0.11906721578726852,0.1367229511738252,0.25579016696109386,0.4306465855736474,0.34227481802944193,0.2270785963969108
12,VALIDATION,NON_CLOSE_BEYOND,6227,3169,2127.6112914862915,-0.008908362477058682,-0.019581738331999127,-0.01067337585494045,0.40443690407772404,0.40091992888460554,0.19464316703767046
24,DISCOVERY,CLOSE_BEYOND,1027,279,129.01111111111112,-0.059787169374359524,0.2547687948710621,0.3145559642454216,0.43722701379233975,0.32687599197805034,0.2358969942296098
24,DISCOVERY,NON_CLOSE_BEYOND,13786,2548,1758.9888888888888,0.03603209872257215,-0.016924702842712754,-0.05295680156528488,0.3571708313668658,0.3826986643661628,0.26013050426697154
24,VALIDATION,CLOSE_BEYOND,441,114,50.016269841269846,-0.1923627646266106,-0.024437512610332685,0.16792525201627798,0.3418887504859529,0.3043454114137462,0.35376583810030054
24,VALIDATION,NON_CLOSE_BEYOND,6227,1160,785.98373015873,0.00540792573377136,0.021669776176318892,0.016261850442547538,0.36968534527805863,0.3741949099273532,0.25611974479458816
