decision_time,fold,q10,q50,q90,width,width_percentile_train,actual_return,panel_index,quantile_crossed,top30_train,valid_until
2025-07-08 22:00:00,0,-0.001893288741483559,0.00014206369013624253,0.002261950334280757,0.0041552390757643165,0.3463276836158192,-0.0007557627264880296,3736,False,False,2025-07-08 22:15:00
2025-07-08 22:15:00,0,-0.0020713807888651727,0.00016355920057523502,0.002185336165633486,0.004256716954498659,0.37966101694915255,0.00025188917009622003,3737,False,False,2025-07-08 22:30:00
2025-07-08 22:30:00,0,-0.0015597502931880426,0.00014052964467969293,0.002041345569526553,0.0036010958627145954,0.19717514124293786,0.00025173064953420976,3738,False,False,2025-07-08 22:45:00
2025-07-08 22:45:00,0,-0.0018456472408030513,7.553423962927854e-05,0.001692172219412499,0.0035378194602155503,0.18700564971751413,0.000629366248983132,3739,False,False,2025-07-08 23:00:00
2025-07-08 23:00:00,0,-0.0012504176167449407,0.00018663323698450246,0.001842885401136561,0.0030933030178815018,0.10282485875706214,0.0015107644822371924,3740,False,False,2025-07-08 23:15:00
2025-07-08 23:15:00,0,-0.0013191537770906284,9.640956275706967e-05,0.0018217841559308625,0.0031409379330214907,0.11016949152542373,0.0010069226779023666,3741,False,False,2025-07-08 23:30:00
2025-07-08 23:30:00,0,-0.0009854875577803648,7.535899416379425e-05,0.0020101221036900097,0.0029956096614703748,0.08361581920903954,0.000251667297163749,3742,False,False,2025-07-08 23:45:00
2025-07-08 23:45:00,0,-0.0009698114257122327,0.00011654839255797194,0.002109235773003132,0.003079047198715365,0.09887005649717515,-0.00012584156563555382,3743,False,False,2025-07-09 00:00:00
2025-07-09 00:00:00,0,-0.0009558227761021461,1.2832156491070182e-05,0.0018975231009122073,0.0028533458770143537,0.0576271186440678,0.006770336793934462,3744,False,False,2025-07-09 00:15:00
2025-07-09 09:15:00,0,-0.0037342191112414587,-1.3597762313008559e-05,0.0036953556411979086,0.007429574752439367,0.9627118644067797,-0.00354341043998474,3749,False,True,2025-07-09 09:30:00
2025-07-09 13:45:00,0,-0.0025606905256898268,0.0004627546819105856,0.006996994402175535,0.009557684927865361,0.9898305084745763,-0.00012762427431134427,3758,False,True,2025-07-09 14:00:00
2025-07-09 14:00:00,0,-0.0028105688782242705,0.0002926102948844404,0.00275522065165953,0.0055657895298838,0.8045197740112995,-0.0007650134250454244,3759,False,True,2025-07-09 14:15:00
2025-07-09 21:15:00,0,-0.002379426478543683,-0.00026427775356527316,0.0019259320952947267,0.0043053585738384095,0.4016949152542373,-0.0007652085566594025,3764,False,False,2025-07-09 21:30:00
2025-07-09 21:30:00,0,-0.00220685067533853,0.00013033160709629516,0.0022653611113610567,0.004472211786699587,0.45932203389830506,-0.0011477397166341774,3765,False,False,2025-07-09 21:45:00
2025-07-09 21:45:00,0,-0.001751608669515338,0.0003488866006766261,0.002664371091003679,0.004415979760519017,0.4378531073446328,-0.0006386104055078334,3766,False,False,2025-07-09 22:00:00
2025-07-09 22:00:00,0,-0.001230640729950311,0.0003848879130024854,0.0023273654899621504,0.0035580062199124613,0.19096045197740114,-0.0010221030658570385,3767,False,False,2025-07-09 22:15:00
2025-07-09 22:15:00,0,-0.0013799168351608544,0.00011391238827016318,0.002097677750935634,0.0034775945860964887,0.17966101694915254,-0.0017877670449237826,3768,False,False,2025-07-09 22:30:00
2025-07-09 22:30:00,0,-0.0013308927212653647,0.00021286849123619173,0.001807986989455655,0.0031388797107210196,0.1096045197740113,-0.001660387379351036,3769,False,False,2025-07-09 22:45:00
2025-07-09 22:45:00,0,-0.0014070204761331437,0.00018920357698644984,0.0019443296544492266,0.0033513501305823703,0.1519774011299435,-0.00012777103447980664,3770,False,False,2025-07-09 23:00:00
2025-07-09 23:00:00,0,-0.0011337560437111355,0.0005855113070970597,0.0019158322824070905,0.003049588326118226,0.096045197740113,0.0008942830362848042,3771,False,False,2025-07-09 23:15:00
2025-07-09 23:15:00,0,-0.000598288920770131,0.00039726961303983695,0.0018745902328475433,0.0024728791536176744,0.014689265536723164,0.0010218419588845506,3772,False,False,2025-07-09 23:30:00
2025-07-09 23:30:00,0,-0.0005645979323877574,0.00039469218761604914,0.002019945109150741,0.0025845430415384982,0.021468926553672316,0.0011497925252648145,3773,False,False,2025-07-09 23:45:00
2025-07-09 23:45:00,0,-0.0005500461808938256,0.0003182329025892897,0.0017211099912021448,0.0022711561720959706,0.004519774011299435,0.0008939404209389323,3774,False,False,2025-07-10 00:00:00
2025-07-10 00:00:00,0,-0.0006766999230848273,0.00012384537355243628,0.001731895441198446,0.002408595364283273,0.0096045197740113,0.0002553626163006584,3775,False,False,2025-07-10 00:15:00
2025-07-10 09:15:00,0,-0.0020644733796237485,6.853441298751695e-05,0.0022937779274553806,0.004358251307079129,0.4175141242937853,0.0006382843134939975,3780,False,False,2025-07-10 09:30:00
2025-07-10 13:45:00,0,-0.0021725115176339377,0.00013972006339449495,0.0027607511209320063,0.004933262638565944,0.6519774011299435,0.0016553132957781713,3789,False,False,2025-07-10 14:00:00
2025-07-10 14:00:00,0,-0.002107627529688765,3.606821098743627e-05,0.0035433893478288387,0.005651016877517604,0.8209039548022599,0.0006363347335298641,3790,False,True,2025-07-10 14:15:00
