n_events,mean_signed_return,median_signed_return,win_rate,mean_mfe,mean_mae,instrument,horizon,strategy,opportunity
775,0.0003885125925092598,7.044734061278923e-05,0.5045161290322581,0.0028878847842666367,-0.0021874486557673357,NI,H15,FOLLOW,TOP30
1548,-0.00015469695793644052,0.00013883239727713326,0.5135658914728682,0.0017491893223572125,-0.0021656911852610127,NI,H15,FADE,ALL
775,-0.0003885125925092598,-7.044734061278923e-05,0.48,0.0021874486557673357,-0.0028878847842666367,NI,H15,FADE,TOP30
750,-3.057787588836991e-05,0.0,0.348,0.0005591823389092794,-0.0006039483520735721,RB,H5,FOLLOW,ALL
91,0.0001421689793288432,0.0,0.46153846153846156,0.0007874465212656832,-0.0005846234418580565,RB,H5,FOLLOW,TOP30
750,3.057787588836991e-05,0.0,0.432,0.0006039483520735721,-0.0005591823389092794,RB,H5,FADE,ALL
91,-0.0001421689793288432,0.0,0.3956043956043956,0.0005846234418580565,-0.0007874465212656832,RB,H5,FADE,TOP30
750,-7.827721600180334e-05,-0.0003083569291832955,0.37866666666666665,0.0009196742666950389,-0.0009716666353958847,RB,H15,FOLLOW,ALL
90,-7.263420814018762e-05,-0.00032203459079782615,0.35555555555555557,0.0011115414375618248,-0.000986733707486684,RB,H15,FOLLOW,TOP30
750,7.827721600180334e-05,0.0003083569291832955,0.5053333333333333,0.0009716666353958847,-0.0009196742666950389,RB,H15,FADE,ALL
90,7.263420814018762e-05,0.00032203459079782615,0.5333333333333333,0.000986733707486684,-0.0011115414375618248,RB,H15,FADE,TOP30
750,-8.516697179978502e-05,0.0,0.352,0.0009774696907594482,-0.001111306222874838,I,H5,FOLLOW,ALL
119,-0.00021964159581144838,0.0,0.31092436974789917,0.0010891793107199025,-0.0012075735532308077,I,H5,FOLLOW,TOP30
750,8.516697179978502e-05,0.0,0.43866666666666665,0.001111306222874838,-0.0009774696907594482,I,H5,FADE,ALL
119,0.00021964159581144838,0.0,0.4369747899159664,0.0012075735532308077,-0.0010891793107199025,I,H5,FADE,TOP30
750,-0.00018941473653452822,0.0,0.38,0.00163990199636793,-0.0017401870341990948,I,H15,FOLLOW,ALL
119,-0.0004980985068797394,-0.0006293266205160686,0.35294117647058826,0.0017878335367252658,-0.002036143515288942,I,H15,FOLLOW,TOP30
750,0.00018941473653452822,0.0,0.484,0.0017401870341990948,-0.00163990199636793,I,H15,FADE,ALL
119,0.0004980985068797394,0.0006293266205160686,0.5294117647058824,0.002036143515288942,-0.0017878335367252658,I,H15,FADE,TOP30
2361,2.172487235558331e-05,-0.00018856202119144072,0.43540872511647605,0.0018021689991270377,-0.0015858018495192255,SC,H5,FOLLOW,ALL
1409,-8.668802381212987e-07,-0.00018902548936017283,0.44286728176011353,0.002116003112552152,-0.0019140334213230469,SC,H5,FOLLOW,TOP30
2361,-2.172487235558331e-05,0.00018856202119144072,0.5184243964421855,0.0015858018495192255,-0.0018021689991270377,SC,H5,FADE,ALL
1409,8.668802381212987e-07,0.00018902548936017283,0.5223562810503903,0.0019140334213230469,-0.002116003112552152,SC,H5,FADE,TOP30
2359,0.0002546056160149356,-0.00017710466950837667,0.4552776600254345,0.0031069701822662075,-0.002616720756471998,SC,H15,FOLLOW,ALL
1408,0.00024799269923281715,-0.00017655901251606432,0.47230113636363635,0.003655142625182786,-0.003153739609016291,SC,H15,FOLLOW,TOP30
2359,-0.0002546056160149356,0.00017710466950837667,0.5082662144976685,0.002616720756471998,-0.0031069701822662075,SC,H15,FADE,ALL
1408,-0.00024799269923281715,0.00017655901251606432,0.5071022727272727,0.003153739609016291,-0.003655142625182786,SC,H15,FADE,TOP30
750,-1.6360368441618553e-05,-0.00028256589957353917,0.4106666666666667,0.001217277703405632,-0.0011087941500899474,RU,H5,FOLLOW,ALL
203,-7.88943789082005e-05,0.0,0.42857142857142855,0.0013504023150208522,-0.0012728038350497545,RU,H5,FOLLOW,TOP30
750,1.6360368441618553e-05,0.00028256589957353917,0.5173333333333333,0.0011087941500899474,-0.001217277703405632,RU,H5,FADE,ALL
203,7.88943789082005e-05,0.0,0.4975369458128079,0.0012728038350497545,-0.0013504023150208522,RU,H5,FADE,TOP30
750,2.6746090912107928e-05,-0.00028304577442223033,0.41733333333333333,0.0020222071398094,-0.0018055616589052565,RU,H15,FOLLOW,ALL
202,1.9449928444000764e-05,-0.0004517493167525144,0.41089108910891087,0.002265881689201986,-0.00207387119571894,RU,H15,FOLLOW,TOP30
750,-2.6746090912107928e-05,0.00028304577442223033,0.5093333333333333,0.0018055616589052565,-0.0020222071398094,RU,H15,FADE,ALL
202,-1.9449928444000764e-05,0.0004517493167525144,0.5346534653465347,0.00207387119571894,-0.002265881689201986,RU,H15,FADE,TOP30
750,-0.00015246017677427554,-0.0003475843311834259,0.3933333333333333,0.0017564780842558375,-0.0017759226351705042,MA,H5,FOLLOW,ALL
454,-9.849014185735286e-05,0.0,0.42951541850220265,0.0021519011984400815,-0.002097797977139472,MA,H5,FOLLOW,TOP30
750,0.00015246017677427554,0.0003475843311834259,0.5226666666666666,0.0017759226351705042,-0.0017564780842558375,MA,H5,FADE,ALL
454,9.849014185735286e-05,0.0,0.4889867841409692,0.002097797977139472,-0.0021519011984400815,MA,H5,FADE,TOP30
750,3.206799948650326e-06,-0.0003889865721049546,0.42933333333333334,0.0029662404778586443,-0.002885014125755943,MA,H15,FOLLOW,ALL
458,0.00012667070103163935,0.0,0.44759825327510916,0.0036597100563280525,-0.0033626091010580993,MA,H15,FOLLOW,TOP30
750,-3.206799948650326e-06,0.0003889865721049546,0.5173333333333333,0.002885014125755943,-0.0029662404778586443,MA,H15,FADE,ALL
