horizon,instrument,follow_all,follow_top30,same_sign,abs_top30_over_abs_all
H5,AG,4.960351277750846e-05,5.7313108778914226e-05,True,1.155424372474627
H5,AL,-1.8879771752840924e-05,-3.419819488600998e-05,True,1.8113668704441384
H5,AU,6.346473888907358e-06,-1.846617340928251e-06,False,0.29096740682860783
H5,CF,-0.00011014432623866025,-0.00015148155095825831,True,1.3753005239210254
H5,CU,-2.5431185173512267e-05,-1.1908058294576718e-05,True,0.468246278932105
H5,I,-8.516697179978502e-05,-0.00021964159581144838,True,2.578952715952384
H5,M,-6.400983174814752e-05,-4.604444139064891e-05,True,0.7193338806526013
H5,MA,-0.00015246017677427554,-9.849014185735286e-05,True,0.6460056868303811
H5,NI,6.0676011624770055e-05,0.00014462388412991948,True,2.383542983028502
H5,P,-3.8230686176372156e-05,2.3060405189316215e-05,False,0.6031909675839757
H5,RB,-3.057787588836991e-05,0.0001421689793288432,False,4.649406492408117
H5,RU,-1.6360368441618553e-05,-7.88943789082005e-05,True,4.822285901900476
H5,SC,2.172487235558331e-05,-8.668802381212987e-07,False,0.03990266014133104
H5,SN,9.095790113542839e-05,0.00012102802156867589,True,1.3305938101834816
H5,TA,-8.2156040497674e-06,1.460322388419895e-05,False,1.777498284756568
H15,AG,0.00028634346086682706,0.00037682834941625895,True,1.3160012348789536
H15,AL,4.380385491193648e-05,8.963284027831778e-05,True,2.0462317394732588
H15,AU,1.3986100408085839e-05,2.201114519549575e-06,True,0.15737870442416757
H15,CF,-0.0001233200601690975,-0.00019207511736895808,True,1.5575334260139808
H15,CU,4.016537209317021e-05,8.705563532675967e-05,True,2.167430018011279
H15,I,-0.00018941473653452822,-0.0004980985068797394,True,2.6296713411169583
H15,M,-0.000149512648534828,-0.000128541965820173,True,0.8597397358691713
H15,MA,3.206799948650326e-06,0.00012667070103163935,True,39.50064349486748
H15,NI,0.00015469695793644052,0.0003885125925092598,True,2.5114429862120677
H15,P,4.913997586228025e-05,0.00016525622194069403,True,3.3629690629249027
H15,RB,-7.827721600180334e-05,-7.263420814018762e-05,True,0.9279099452208972
H15,RU,2.6746090912107928e-05,1.9449928444000764e-05,True,0.727206371230475
H15,SC,0.0002546056160149356,0.00024799269923281715,True,0.9740268189694711
H15,SN,0.00029090178153812934,0.00044126501936906433,True,1.5168866121032671
H15,TA,-3.8555864336489906e-05,-0.00011698418455081655,True,3.0341475552385226
