group,horizon,features,stratum,learner,instrument_count,median_auc,positive_share_auc,median_brier_skill,positive_share_brier_skill,median_logloss_skill,positive_share_logloss_skill,median_return_spread,positive_share_return_spread,median_calibration_slope,positive_share_calibration_slope
ALL_8,H15,P0,ALL,gbr,8,0.5067651650165457,1.0,-0.0023337965377472347,0.0,-0.0017035269423707478,0.0,-3.109096200541656e-05,0.5,0.06394942353791283,0.75
ALL_8,H15,P0,ALL,logistic,8,0.5080757595876304,1.0,-0.0005089357427936481,0.125,-0.0005462945154781629,0.125,-2.3593814206737618e-05,0.375,0.06426802024078468,0.75
ALL_8,H15,P0,TOP20,gbr,8,0.5047709756569565,1.0,-0.00834986955704975,0.0,-0.00616481473819086,0.0,1.4026307641574254e-06,0.5,0.014995862836387694,0.625
ALL_8,H15,P0,TOP20,logistic,8,0.5039466265381276,1.0,-0.002378471515284919,0.125,-0.0023187950694039117,0.125,1.2066994893054346e-05,0.625,0.01857000342730441,0.625
ALL_8,H15,P0,TOP30,gbr,8,0.5091164700631632,1.0,-0.00508446735280621,0.0,-0.003804113364659578,0.0,1.921908549503442e-05,0.625,0.05278889005325228,0.75
ALL_8,H15,P0,TOP30,logistic,8,0.5043908887139806,1.0,-0.0021605173987371273,0.125,-0.001879691254381699,0.125,2.684215194809251e-05,0.625,0.042416659828918256,0.75
ALL_8,H15,P0,TOP50,gbr,8,0.509437678264045,1.0,-0.003390905962417756,0.0,-0.0025317442530029544,0.0,3.324857431030974e-05,0.625,0.06609759381548633,0.75
ALL_8,H15,P0,TOP50,logistic,8,0.5104226291081102,1.0,-0.0010985640899908722,0.125,-0.0008120697736704319,0.125,-6.007033068281837e-06,0.5,0.04971528602023646,0.75
ALL_8,H15,P1,ALL,gbr,8,0.5130609143953355,1.0,-0.002958466455433517,0.0,-0.0021824734709211535,0.0,-7.359833281215256e-05,0.375,0.07042047836805423,0.875
ALL_8,H15,P1,ALL,logistic,8,0.5108023263554762,1.0,-0.001207784282938884,0.25,-0.0009153820361188503,0.25,-7.001874857808688e-05,0.375,0.05014224965214985,0.875
ALL_8,H15,P1,TOP20,gbr,8,0.5087614748771969,1.0,-0.016733765085878982,0.125,-0.012575693235610474,0.125,-3.609260364706375e-05,0.375,0.017638173510905093,0.75
ALL_8,H15,P1,TOP20,logistic,8,0.5050960510104301,1.0,-0.008141822755287853,0.125,-0.0069952428664300514,0.125,-6.188820650412867e-05,0.25,0.002074401301148758,0.625
ALL_8,H15,P1,TOP30,gbr,8,0.5111815697513804,1.0,-0.01032876604736821,0.125,-0.00783963409103694,0.125,-0.00013652859368231912,0.375,0.028246085305708026,0.75
ALL_8,H15,P1,TOP30,logistic,8,0.5077167198168082,1.0,-0.005236891396546373,0.125,-0.003958952191978615,0.125,-0.00011604681474259446,0.25,0.018274176832564402,0.75
ALL_8,H15,P1,TOP50,gbr,8,0.5068038131180632,1.0,-0.006531830909473624,0.125,-0.004982376239567876,0.125,-0.00013387727637356799,0.375,0.028654924782452497,0.75
ALL_8,H15,P1,TOP50,logistic,8,0.508552599856973,1.0,-0.003523862736949601,0.125,-0.002625730021123096,0.125,-6.914321989372984e-05,0.375,0.022477092208638846,0.75
