instrument,horizon,features,stratum,learner,offset,mod,n,auc,brier_skill,return_spread
AG,H15,P2,TOP30,logistic,0,3,4032,0.5054457011785177,-0.006896846780197752,-0.0005896936612507504
AG,H15,P2,TOP30,logistic,1,3,3437,0.5025043867511965,-0.005066705075067013,0.00028874686643490824
AG,H15,P2,TOP30,logistic,2,3,3437,0.5094976169504696,-0.0049573112448138,-0.00013528508335166586
AG,H15,P2,TOP30,gbr,0,3,4032,0.5026427667483984,-0.007392042835441481,-2.729234570580301e-05
AG,H15,P2,TOP30,gbr,1,3,3437,0.49990476132270734,-0.0068519384116640936,-0.0001734871541724893
AG,H15,P2,TOP30,gbr,2,3,3437,0.5099910767017157,-0.005716535893164565,-0.0002115172715133282
AG,H30,P2,TOP30,logistic,0,6,1745,0.4951314714274758,-0.00987702984404426,-0.0006185230079511741
AG,H30,P2,TOP30,logistic,1,6,1430,0.49283937269787653,-0.00949951877566857,-0.000129362808924455
AG,H30,P2,TOP30,logistic,2,6,1430,0.5199475524132366,-0.0031358528384157758,0.0008636930659378218
AG,H30,P2,TOP30,logistic,3,6,1737,0.5268140019062528,-0.0020080283700043555,0.0003500249722708167
AG,H30,P2,TOP30,logistic,4,6,1411,0.5081322933671927,-0.006050904598041473,0.00012397352446175808
AG,H30,P2,TOP30,logistic,5,6,1412,0.5082608844159315,-0.006333012520603587,-4.208836454739208e-05
AG,H30,P2,TOP30,gbr,0,6,1745,0.4984602385869895,-0.011382150949177827,-0.0008078138915774277
AG,H30,P2,TOP30,gbr,1,6,1430,0.49534988330318086,-0.012077414333870884,-5.996329957784431e-06
AG,H30,P2,TOP30,gbr,2,6,1430,0.5299316336284818,-0.0057322923907745515,2.1967537003420723e-05
AG,H30,P2,TOP30,gbr,3,6,1737,0.5122834832244427,-0.00907168719203777,-0.001226672021375937
AG,H30,P2,TOP30,gbr,4,6,1411,0.5352802466896427,0.0010294949673276266,0.0001803494721938917
AG,H30,P2,TOP30,gbr,5,6,1412,0.5270329732151647,-0.00048737337670723413,0.0005110585986086434
CU,H15,P2,TOP30,logistic,0,3,2149,0.5189775958937366,-0.0036644657825937177,0.0002501944406146664
CU,H15,P2,TOP30,logistic,1,3,1723,0.5140865954922894,-0.0028214589043007443,0.00013575375929482776
CU,H15,P2,TOP30,logistic,2,3,1724,0.5139859716282845,-0.004664663756271725,0.00046914793289214217
CU,H15,P2,TOP30,gbr,0,3,2149,0.5162343067212318,-0.006377033613514271,0.00020850973167494815
CU,H15,P2,TOP30,gbr,1,3,1723,0.5116817642618354,-0.009884786261840306,-3.5770202676694294e-05
CU,H15,P2,TOP30,gbr,2,3,1724,0.5139348223167138,-0.004891943354133899,0.00018557288384733533
CU,H30,P2,TOP30,logistic,0,6,873,0.5339336343589205,0.0034265067011103323,0.0007171582469457759
CU,H30,P2,TOP30,logistic,1,6,673,0.5592090094883391,0.009960837490876173,0.0009614905294588309
CU,H30,P2,TOP30,logistic,2,6,673,0.5312080299710186,0.0021349243734583023,0.001221159335453829
CU,H30,P2,TOP30,logistic,3,6,876,0.5293574824824825,0.001557930913131944,0.00037947080395754493
CU,H30,P2,TOP30,logistic,4,6,660,0.5157163977630649,-0.0051813733323748945,-7.598592386148795e-05
CU,H30,P2,TOP30,logistic,5,6,660,0.5250277780328562,-0.00590022044055849,0.0005967835583666422
CU,H30,P2,TOP30,gbr,0,6,873,0.5185498267352725,-0.004665367585989788,0.0003891971520775428
CU,H30,P2,TOP30,gbr,1,6,673,0.5413762525494369,0.002423848255319827,0.0003238119624742597
CU,H30,P2,TOP30,gbr,2,6,673,0.5094101222874108,-0.009890323959903746,0.0008511772592564592
CU,H30,P2,TOP30,gbr,3,6,876,0.5082817192192192,-0.009938862645321844,0.00024190008163338383
CU,H30,P2,TOP30,gbr,4,6,660,0.5118871614982691,-0.010934570256672771,0.00017670892180314746
CU,H30,P2,TOP30,gbr,5,6,660,0.5390591281829952,0.0008667692950367067,0.0007849913535788674
AL,H15,P2,TOP30,logistic,0,3,2314,0.5238052407507345,-0.01695554208357386,0.0001595809389629406
AL,H15,P2,TOP30,logistic,1,3,1778,0.5122860424459262,-0.023750549596168735,-5.325617844492764e-05
AL,H15,P2,TOP30,logistic,2,3,1779,0.49609788359788365,-0.030030144763355526,-0.0002221867693011178
AL,H15,P2,TOP30,gbr,0,3,2314,0.5382251753912575,-0.006868693265879466,6.258315883991317e-06
AL,H15,P2,TOP30,gbr,1,3,1778,0.501782556106684,-0.027648352743572024,-0.00013517244545533232
AL,H15,P2,TOP30,gbr,2,3,1779,0.5158965455840456,-0.018185376901265204,-0.00018085396942708936
AL,H30,P2,TOP30,logistic,0,6,969,0.5101823449216087,-0.015287292237945005,-0.0001310967025000994
AL,H30,P2,TOP30,logistic,1,6,695,0.48951118475559235,-0.020199619005653036,-0.00029631431213951345
AL,H30,P2,TOP30,logistic,2,6,695,0.49118595068784476,-0.018861688543001964,0.00013126961902324615
AL,H30,P2,TOP30,logistic,3,6,977,0.4816532699728696,-0.021978080508701314,-0.00030905080516160753
AL,H30,P2,TOP30,logistic,4,6,685,0.4835370948215595,-0.03251362747295716,-0.0006513188443775663
AL,H30,P2,TOP30,logistic,5,6,685,0.4848484848484848,-0.022653704189924184,-0.0003708137311405097
AL,H30,P2,TOP30,gbr,0,6,969,0.5164259543285618,-0.02267797846997799,-0.00022837197238738464
AL,H30,P2,TOP30,gbr,1,6,695,0.4782145816072908,-0.03652131240014711,-0.0011632524475448823
AL,H30,P2,TOP30,gbr,2,6,695,0.4838215258855586,-0.03057891139413549,-0.0005565051209296313
AL,H30,P2,TOP30,gbr,3,6,977,0.5067404748664543,-0.015735888056508385,1.4171690307331036e-05
AL,H30,P2,TOP30,gbr,4,6,685,0.515934318890992,-0.014415183070660476,-0.0007557347221198945
AL,H30,P2,TOP30,gbr,5,6,685,0.4981999044499045,-0.021348185542374942,-0.00022169081408236223
SN,H15,P2,TOP30,logistic,0,3,2622,0.5198555956678701,-0.018867177693410397,0.00019573827841175406
SN,H15,P2,TOP30,logistic,1,3,2118,0.49681492313728287,-0.021679413847024875,-0.0006033729903176395
SN,H15,P2,TOP30,logistic,2,3,2119,0.4977131362372138,-0.014845204041202376,-0.0004463207272654387
SN,H15,P2,TOP30,gbr,0,3,2622,0.5147512469028073,-0.016246540597578685,5.429563569603399e-05
SN,H15,P2,TOP30,gbr,1,3,2118,0.4828102150729393,-0.024350735950930513,-0.0003973263269336151
SN,H15,P2,TOP30,gbr,2,3,2119,0.49399820756918944,-0.02094189225193066,-0.0006826173507867557
SN,H30,P2,TOP30,logistic,0,6,1061,0.5069748096324893,-0.04124666690498824,-0.0003279744304439164
SN,H30,P2,TOP30,logistic,1,6,819,0.5192730882388117,-0.02738490030328644,-0.0012331923908335263
SN,H30,P2,TOP30,logistic,2,6,819,0.511054898638571,-0.02167164090871254,-0.0007019059555787326
SN,H30,P2,TOP30,logistic,3,6,1079,0.5408575772234124,-0.013812775423968082,0.0008617147828460319
SN,H30,P2,TOP30,logistic,4,6,815,0.49939753229226913,-0.027684600320564856,-0.000605754234390208
SN,H30,P2,TOP30,logistic,5,6,815,0.48327944795637695,-0.037367156722328154,-0.0011508983111031266
SN,H30,P2,TOP30,gbr,0,6,1061,0.5138091987856295,-0.02961732374145365,-0.00013699210484850608
SN,H30,P2,TOP30,gbr,1,6,819,0.52782727772861,-0.018503231895401928,-0.001107707248581896
SN,H30,P2,TOP30,gbr,2,6,819,0.49844587096851173,-0.03383458100318726,-0.0012250656180236587
SN,H30,P2,TOP30,gbr,3,6,1079,0.5312642526432174,-0.01240370867458207,9.478141497877001e-05
SN,H30,P2,TOP30,gbr,4,6,815,0.5206556053595528,-0.017598204419971175,0.0003812976054177112
SN,H30,P2,TOP30,gbr,5,6,815,0.5120367466100468,-0.022214770728194777,-0.00023270448387430298
I,H15,P2,TOP30,logistic,0,3,532,0.5837746363808773,0.014025289710433153,0.0009562024259145545
I,H15,P2,TOP30,logistic,1,3,320,0.5067248273355143,-0.006990358316961043,0.0005361524861352551
I,H15,P2,TOP30,logistic,2,3,320,0.4685443748996951,-0.00966566306783112,0.0001100662359851956
I,H15,P2,TOP30,gbr,0,3,532,0.5519132857747239,0.014600945012417932,0.0010492171978987472
I,H15,P2,TOP30,gbr,1,3,320,0.5407730522234339,-0.014073567337419268,0.00027029395459318706
I,H15,P2,TOP30,gbr,2,3,320,0.5201011073663938,-0.009155063910761818,0.00019483406538547965
I,H30,P2,TOP30,logistic,0,6,173,0.544244105409154,-0.007731340098623418,0.0020432531501795533
I,H30,P2,TOP30,logistic,1,6,93,0.4277511961722488,-0.04415685356033383,-0.0004226064187765668
I,H30,P2,TOP30,logistic,2,6,93,0.4336989032901296,-0.06435079708100422,-0.002211276345368914
I,H30,P2,TOP30,logistic,3,6,177,0.543612453032743,-0.004502570045634924,-0.00010605370162348256
I,H30,P2,TOP30,logistic,4,6,79,0.5477124183006535,0.019492154777998816,0.001489205218142553
I,H30,P2,TOP30,logistic,5,6,79,0.5476190476190477,-0.03680914110753841,0.0018196101164426604
I,H30,P2,TOP30,gbr,0,6,173,0.5583217753120666,-7.161095268792828e-05,0.000707233319858374
I,H30,P2,TOP30,gbr,1,6,93,0.5253588516746411,-0.02217086904516008,0.0007905814498297209
I,H30,P2,TOP30,gbr,2,6,93,0.5099700897308076,-0.06705512479774267,-0.0017156073197085863
I,H30,P2,TOP30,gbr,3,6,177,0.49141170155662905,-0.051848233758479134,0.0001490468075850466
I,H30,P2,TOP30,gbr,4,6,79,0.5535947712418301,0.018555082725617233,0.0002780512831931925
I,H30,P2,TOP30,gbr,5,6,79,0.4789115646258504,-0.09964441938983093,0.0001642316994789339
