instrument,horizon,features,stratum,learner,offset,mod,n,auc,brier_skill,return_spread
SC,H15,P2,TOP30,logistic,0,3,3012,0.5104301772828045,-0.010747856373418685,-0.0003426562988815123
SC,H15,P2,TOP30,logistic,1,3,3318,0.5046484951389462,-0.007147532297063552,-0.000370897907205599
SC,H15,P2,TOP30,logistic,2,3,2853,0.5028395492498144,-0.006335982506962656,-0.0001985258901473104
SC,H15,P2,TOP30,gbr,0,3,3012,0.5213284898348716,-0.006871550039622587,-0.0002483584485900295
SC,H15,P2,TOP30,gbr,1,3,3318,0.5098278419914969,-0.006443185412523977,0.00011841202650504393
SC,H15,P2,TOP30,gbr,2,3,2853,0.5030086051414615,-0.012508108109330784,-0.0005484052913563397
SC,H30,P2,TOP30,logistic,0,6,1247,0.5203237567750153,-0.004592350819111912,-0.00016304097943114826
SC,H30,P2,TOP30,logistic,1,6,1383,0.5295173163794545,1.2828112267437852e-05,0.00021228992368324708
SC,H30,P2,TOP30,logistic,2,6,1160,0.4826830363648801,-0.005981315167605361,-0.000984699497313084
SC,H30,P2,TOP30,logistic,3,6,1224,0.49186289614145084,-0.00853579619316891,-0.000733323112352777
SC,H30,P2,TOP30,logistic,4,6,1378,0.48585967130214924,-0.011131586710726449,-0.0007173872466365752
SC,H30,P2,TOP30,logistic,5,6,1163,0.48500296033155715,-0.011536096848473454,-0.0016918915392113588
SC,H30,P2,TOP30,gbr,0,6,1247,0.5144937626024311,-0.013630693734195454,-0.0007724373605340382
SC,H30,P2,TOP30,gbr,1,6,1383,0.534650535385645,-0.002781389838881543,0.00038598302348322985
SC,H30,P2,TOP30,gbr,2,6,1160,0.5051809618982188,-0.00828645664082539,-0.00021656836585099828
SC,H30,P2,TOP30,gbr,3,6,1224,0.49157185616751087,-0.014470469438975453,-0.0004842200747329231
SC,H30,P2,TOP30,gbr,4,6,1378,0.48467867678044674,-0.018175470792918702,-0.0016073535500053212
SC,H30,P2,TOP30,gbr,5,6,1163,0.47261693309650676,-0.021313198063417138,-0.0014688040672685937
M,H15,P2,TOP30,logistic,0,3,900,0.49588352414136383,-0.016153076937556854,-6.231216417757539e-05
M,H15,P2,TOP30,logistic,1,3,511,0.48319911135795607,-0.01443397527534196,2.9603545728674708e-05
M,H15,P2,TOP30,logistic,2,3,511,0.46476022741317513,-0.029316895845541202,-0.0001186426820177982
M,H15,P2,TOP30,gbr,0,3,900,0.4871801891488303,-0.02372417839545693,2.0818418902325398e-05
M,H15,P2,TOP30,gbr,1,3,511,0.4549122157425407,-0.03533008841476848,-0.0003285513526903796
M,H15,P2,TOP30,gbr,2,3,511,0.4352212334692869,-0.042330891000209814,-0.0006757827534700201
M,H30,P2,TOP30,logistic,0,6,299,0.5260159684219969,-0.020755832714786315,0.00010925952088250608
M,H30,P2,TOP30,logistic,1,6,162,0.5416156670746635,-0.004886339673474849,0.0004030161157449121
M,H30,P2,TOP30,logistic,2,6,162,0.5172256097560975,-0.02094184339769467,0.00012535237917739772
M,H30,P2,TOP30,logistic,3,6,305,0.49313649313649316,-0.02726591054579197,-0.00047906289983234984
M,H30,P2,TOP30,logistic,4,6,166,0.38198983297022515,-0.08661515315447743,-0.0013521034484555864
M,H30,P2,TOP30,logistic,5,6,166,0.42506931270976217,-0.07668035727407951,0.00018732342020840795
M,H30,P2,TOP30,gbr,0,6,299,0.5562931730510451,-0.0008838763822400786,0.000134506914541103
M,H30,P2,TOP30,gbr,1,6,162,0.559516523867809,0.0027222084374426414,0.0003079088483122553
M,H30,P2,TOP30,gbr,2,6,162,0.530030487804878,-0.012270250596301047,0.00019663384208488998
M,H30,P2,TOP30,gbr,3,6,305,0.44992661659328326,-0.05330557232606692,-0.0009277126792096525
M,H30,P2,TOP30,gbr,4,6,166,0.429920116194626,-0.07550804816517998,-2.9731941814900716e-05
M,H30,P2,TOP30,gbr,5,6,166,0.4633007441996206,-0.06938157508571807,0.00038308225835318393
CF,H15,P2,TOP30,logistic,0,3,1483,0.5288223551423898,-0.006116675344765454,0.00035112821094113796
CF,H15,P2,TOP30,logistic,1,3,961,0.5485532402346995,0.003459547925699469,0.0003179304878341794
CF,H15,P2,TOP30,logistic,2,3,961,0.5351869014519617,-0.0013816479405968085,0.00022315352951578942
CF,H15,P2,TOP30,gbr,0,3,1483,0.5256732766621978,-0.015356979159421025,0.00015998037220115848
CF,H15,P2,TOP30,gbr,1,3,961,0.5412691611504123,-0.004456151046958512,4.769491315509324e-05
CF,H15,P2,TOP30,gbr,2,3,961,0.5560660223310826,0.0015674328255603776,0.0002777346264733779
CF,H30,P2,TOP30,logistic,0,6,533,0.5019420248464943,-0.022109881759562633,-0.00015646286624733605
CF,H30,P2,TOP30,logistic,1,6,313,0.5655656482246078,0.009190814412161408,0.0008107490140456072
CF,H30,P2,TOP30,logistic,2,6,313,0.569172932330827,0.018656353987538843,0.0009648152303523005
CF,H30,P2,TOP30,logistic,3,6,553,0.5336702546600157,-0.022006079554695024,-0.0002723458508765981
CF,H30,P2,TOP30,logistic,4,6,324,0.5056586518309645,-0.03042414843536201,-0.00036820348001353516
CF,H30,P2,TOP30,logistic,5,6,324,0.5540939597315436,0.011345060869879853,0.00012538011310928493
CF,H30,P2,TOP30,gbr,0,6,533,0.517720976724261,-0.030264400576179407,-0.00012697676950257882
CF,H30,P2,TOP30,gbr,1,6,313,0.5530553261767135,-0.0036663552748188444,0.0007141118900785087
CF,H30,P2,TOP30,gbr,2,6,313,0.5523391812865497,0.0061504750578792455,0.0004614715234081659
CF,H30,P2,TOP30,gbr,3,6,553,0.5450577579417171,-0.016804937918178275,-7.129450022388937e-05
CF,H30,P2,TOP30,gbr,4,6,324,0.5207483900468697,-0.0357471525729991,-0.0004332825722423686
CF,H30,P2,TOP30,gbr,5,6,324,0.6096644295302014,0.027149507880828816,0.00020985375215460615
