instrument,grid_rows,H5_valid,H5_pct,H15_valid,H15_pct,H30_valid,H30_pct,feat_r5_pct,feat_r15_pct,feat_r30_pct,feat_efficiency_30m_pct
AG,31152,31152,100.0,28890,92.739,25497,81.847,100.0,92.745,81.863,78.236
CU,26151,26151,100.0,23889,91.35,20496,78.376,100.0,91.358,78.395,74.074
AL,26151,26151,100.0,23889,91.35,20496,78.376,100.0,91.358,78.395,74.074
SN,26151,26151,100.0,23889,91.35,20496,78.376,100.0,91.358,78.395,74.074
I,19479,19479,100.0,17215,88.377,13821,70.953,100.0,88.387,70.969,65.162
SC,31153,31153,100.0,28887,92.726,25491,81.825,100.0,92.733,81.841,78.211
M,19479,19479,100.0,17215,88.377,13821,70.953,100.0,88.387,70.969,65.162
CF,19479,19479,100.0,17215,88.377,13821,70.953,100.0,88.387,70.969,65.162
