column,role,family,causal_feature
meta_base_bar_index,METADATA,metadata,False
meta_base_bar_time,METADATA,metadata,False
meta_decision_time,METADATA,metadata,False
meta_entry_bar_index,METADATA,metadata,False
feat_15m_ret_1,FEATURE,15m_price_activity,True
feat_15m_ret_2,FEATURE,15m_price_activity,True
feat_15m_ret_4,FEATURE,15m_price_activity,True
feat_15m_ret_8,FEATURE,15m_price_activity,True
feat_15m_ret_16,FEATURE,15m_price_activity,True
feat_15m_ret_32,FEATURE,15m_price_activity,True
feat_15m_range_pct,FEATURE,15m_price_activity,True
feat_15m_body_pct,FEATURE,15m_price_activity,True
feat_15m_bar_close_location,FEATURE,15m_price_activity,True
feat_15m_location_16,FEATURE,15m_price_activity,True
feat_15m_vs_mean_16,FEATURE,15m_price_activity,True
feat_15m_location_32,FEATURE,15m_price_activity,True
feat_15m_vs_mean_32,FEATURE,15m_price_activity,True
feat_15m_location_64,FEATURE,15m_price_activity,True
feat_15m_vs_mean_64,FEATURE,15m_price_activity,True
feat_15m_volume_ratio_32,FEATURE,15m_price_activity,True
feat_15m_oi_log_change_1,FEATURE,15m_price_activity,True
feat_15m_oi_log_change_4,FEATURE,15m_price_activity,True
feat_15m_oi_log_change_16,FEATURE,15m_price_activity,True
feat_time_tod_sin,FEATURE,time_session,True
feat_time_tod_cos,FEATURE,time_session,True
feat_time_dow_sin,FEATURE,time_session,True
feat_time_dow_cos,FEATURE,time_session,True
feat_time_decision_gap_minutes,FEATURE,time_session,True
feat_time_after_long_gap,FEATURE,time_session,True
feat_time_bars_since_segment_start,FEATURE,time_session,True
meta_feature_last_5m_time,METADATA,metadata,False
feat_5m_1h_bpv_continuous,FEATURE,5m_realized_state,True
feat_5m_1h_gap_sq,FEATURE,5m_realized_state,True
feat_5m_1h_jump_share,FEATURE,5m_realized_state,True
feat_5m_1h_jump_var,FEATURE,5m_realized_state,True
feat_5m_1h_log_volume_mean,FEATURE,5m_realized_state,True
feat_5m_1h_max_abs_return,FEATURE,5m_realized_state,True
feat_5m_1h_neg_semivar_share,FEATURE,5m_realized_state,True
feat_5m_1h_oi_log_change,FEATURE,5m_realized_state,True
feat_5m_1h_positive_return_share,FEATURE,5m_realized_state,True
feat_5m_1h_realized_vol,FEATURE,5m_realized_state,True
feat_5m_1h_ret_sum,FEATURE,5m_realized_state,True
feat_5m_1h_rsv_neg,FEATURE,5m_realized_state,True
feat_5m_1h_rsv_pos,FEATURE,5m_realized_state,True
feat_5m_1h_rv,FEATURE,5m_realized_state,True
feat_5m_1h_rv_continuous,FEATURE,5m_realized_state,True
feat_5m_1h_signed_semivariance,FEATURE,5m_realized_state,True
feat_5m_1h_volume_cv,FEATURE,5m_realized_state,True
feat_5m_2h_bpv_continuous,FEATURE,5m_realized_state,True
feat_5m_2h_gap_sq,FEATURE,5m_realized_state,True
feat_5m_2h_jump_share,FEATURE,5m_realized_state,True
feat_5m_2h_jump_var,FEATURE,5m_realized_state,True
feat_5m_2h_log_volume_mean,FEATURE,5m_realized_state,True
feat_5m_2h_max_abs_return,FEATURE,5m_realized_state,True
feat_5m_2h_neg_semivar_share,FEATURE,5m_realized_state,True
feat_5m_2h_oi_log_change,FEATURE,5m_realized_state,True
