contact_id,symbol,cluster
RU|RU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-04-27 21:00:00|17285.0|1,RU,-1
TA|TA|CONFIRMED_SWING_HIGH|15m|2025-11-18 11:15:00|4736.0|1,TA,-1
RB|RB|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-11-21 09:00:00|3054.0|3,RB,6
AU|AU|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-05-22 21:00:00|779.7999877929688|1,AU,-1
P|P|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-09-18 13:30:00|9334.0009765625|1,P,-1
AG|AG|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-01-16 13:30:00|7852.0|1,AG,-1
SC|SC|CONFIRMED_SWING_HIGH|5m|2026-08-07 23:35:00|536.5999755859375|1,SC,-1
P|P|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-06-05 10:30:00|8112.0|6,P,-1
SC|SC|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-07-23 21:00:00|565.2999877929688|1,SC,-1
RU|RU|PREV_TRADING_DAY_LOW|TRADING_DAY|2025-03-11 21:00:00|16925.0|1,RU,7
AL|AL|CONFIRMED_SWING_LOW|15m|2026-05-25 09:45:00|24285.0|3,AL,-1
M|M|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-01-07 10:30:00|2654.0|1,M,-1
RU|RU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-09-01 09:00:00|15975.0009765625|2,RU,-1
AU|AU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-04-02 09:00:00|1065.239990234375|1,AU,-1
SC|SC|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-07-24 21:00:00|588.5|1,SC,-1
M|M|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-02-27 10:30:00|2881.0|1,M,-1
AL|AL|PREV_TRADING_DAY_HIGH|TRADING_DAY|2025-04-08 21:00:00|19905.0|1,AL,-1
P|P|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-06-30 13:30:00|9284.0009765625|1,P,-1
TA|TA|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2026-05-12 09:00:00|6396.0|1,TA,-1
AL|AL|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-02-13 13:30:00|20530.0|1,AL,-1
RB|RB|PREV_TRADING_DAY_LOW|TRADING_DAY|2026-01-05 09:00:00|3115.0|4,RB,-1
NI|NI|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-03-31 09:00:00|130850.0|1,NI,-1
NI|NI|CANONICAL_EQL|5m|2026-06-11 22:00:00|133420.0|1,NI,-1
MA|MA|PREV_TRADING_DAY_HIGH|TRADING_DAY|2025-01-06 21:00:00|2659.0|1,MA,2
AG|AG|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2026-04-09 09:00:00|19087.0|1,AG,5
NI|NI|CONFIRMED_SWING_HIGH|15m|2026-01-09 11:30:00|149560.0|1,NI,-1
I|I|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-09-22 10:30:00|818.0|2,I,-1
TA|TA|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-11-21 21:00:00|4644.0|2,TA,7
CU|CU|PREV_CONTIG_SESSION_HIGH|CONTIG_SESSION|2025-09-03 13:30:00|80360.0|2,CU,-1
TA|TA|PREV_CONTIG_SESSION_LOW|CONTIG_SESSION|2025-07-15 09:00:00|4720.0|1,TA,-1
