cluster,cross_count,boundary_occupancy,boundary_touch_bars,total_variation_atr,net_move_atr,path_efficiency,amplitude_atr,outward_mfe_atr,inward_mae_atr,dc_pivots_0p10,dc_pivots_0p20,dc_pivots_0p40,dc_pivots_0p80,dc_pivots_1p20,fp_out_0.25,fp_out_0.50,fp_out_1.00,fp_in_0.25,fp_in_0.50,fp_in_1.00,persistent_escape,post_escape_efficiency,retracement_ratio
-1,1.9020234291799787,0.03355425985090522,6.263045793397231,14.509506336528222,-0.1190226837060703,0.18143556975505856,4.799940202342919,3.029659957401491,-2.7472323748668797,14.947816826411076,12.69542066027689,8.73961661341853,4.9366347177848775,3.1719914802981894,1.4241214057507987,2.3594249201277955,3.534877529286475,1.716986155484558,2.472843450479233,3.8889776357827475,0.6464323748668797,0.13235674491213664,1.0194339735401086
0,2.272727272727273,0.02673181818181818,7.2727272727272725,11.292281818181818,-2.5184818181818183,0.23233181818181817,3.6371772727272726,1.4228454545454545,-3.0824954545454544,14.590909090909092,11.363636363636363,8.090909090909092,4.5,2.4545454545454546,0.0,-0.045454545454545456,-0.3181818181818182,2.0,2.090909090909091,3.5454545454545454,0.13636363636363635,0.017355371900826446,0.13522727272727272
1,1.411764705882353,0.00864705882352941,4.117647058823529,10.366735294117646,-2.1150882352941176,0.20681176470588236,3.1148882352941176,0.679564705882353,-3.1179823529411768,16.11764705882353,13.117647058823529,7.647058823529412,3.2941176470588234,2.1176470588235294,0.0,-0.23529411764705882,-0.8823529411764706,1.0,1.1764705882352942,3.1176470588235294,0.0,0.0,0.0
2,0.0,0.0,0.4166666666666667,9.468275,-2.1660666666666666,0.22896249999999999,3.0507041666666663,-0.3029458333333333,-4.0721750000000005,13.708333333333334,11.833333333333334,6.666666666666667,3.1666666666666665,2.125,-1.0,-1.0,-1.0,0.0,0.0,0.375,0.0,0.0,0.0
3,0.8235294117647058,0.00864705882352941,2.764705882352941,18.4076,5.291635294117647,0.30515882352941176,6.892505882352942,7.1227647058823536,-0.8696764705882353,15.294117647058824,13.352941176470589,10.411764705882353,6.117647058823529,3.176470588235294,1.0,1.2941176470588236,2.5294117647058822,0.0,0.058823529411764705,-0.7647058823529411,1.0,0.25009897620353677,0.09061899269511725
4,0.0,0.0,0.06666666666666667,9.254346666666667,2.23814,0.24917999999999998,2.8344733333333334,4.657613333333333,0.72648,15.133333333333333,11.6,5.866666666666666,2.6666666666666665,1.9333333333333333,0.0,0.0,0.06666666666666667,-1.0,-1.0,-1.0,1.0,0.24493095542574234,0.030128410495382982
5,0.0,0.0,0.3142857142857143,17.093962857142856,4.4221257142857135,0.2740142857142857,6.440840000000001,8.401031428571429,0.48001714285714286,15.914285714285715,13.371428571428572,9.285714285714286,5.514285714285714,3.6,0.0,0.0,0.08571428571428572,-1.0,-1.0,-1.0,1.0,0.27289341643362086,0.15960948557397747
6,2.1607142857142856,0.03307857142857143,6.607142857142857,12.894269642857143,0.9860053571428571,0.13591607142857143,3.9579142857142857,2.368276785714286,-2.4911142857142856,14.267857142857142,11.767857142857142,7.982142857142857,4.571428571428571,3.232142857142857,14.875,15.482142857142858,12.642857142857142,0.0,0.07142857142857142,1.1785714285714286,0.5535714285714286,0.1342651019070062,0.4614115218280223
7,2.111111111111111,0.032669444444444445,6.75,13.078175,1.6735111111111112,0.15139166666666667,4.383913888888888,2.512408333333333,-2.8836583333333334,14.555555555555555,11.805555555555555,8.13888888888889,4.777777777777778,3.2222222222222223,21.055555555555557,21.63888888888889,17.416666666666668,0.0,0.05555555555555555,1.25,0.5555555555555556,0.1873668527981999,0.3809603061942743
8,1.6363636363636365,0.021386363636363634,5.454545454545454,14.956204545454545,2.3290136363636367,0.18414545454545453,4.926095454545455,2.298627272727273,-3.6893454545454545,16.045454545454547,14.045454545454545,9.772727272727273,5.045454545454546,3.1818181818181817,27.454545454545453,27.863636363636363,26.272727272727273,0.0,0.0,1.9545454545454546,0.5454545454545454,0.2071695513121659,0.07816257816257817
