cluster,room_up_atr,room_down_atr,field_width_atr,field_position,n_active_levels,liq_intensity_up_0p5,liq_intensity_up_1p0,liq_intensity_up_2p0,liq_intensity_up_4p0,liq_intensity_dn_0p5,liq_intensity_dn_1p0,liq_intensity_dn_2p0,liq_intensity_dn_4p0,liq_imbalance_0p5,liq_imbalance_1p0,liq_imbalance_2p0,liq_imbalance_4p0
-1,2.6106580740746677,59.49827502239588,62.33989206845357,0.9171039589368428,195.27050053248135,0.336577044633788,0.8314666573564499,2.0344565684581335,4.907802121320024,0.284047499535072,0.7226718848645751,1.791429668486477,4.21837312031523,0.05497003661041552,0.05454356042217289,0.058126245035256215,0.07283060070180923
0,2.7486347289143107,53.5026924597153,56.23255469272757,0.9244183908617866,191.5,0.33508411128257426,0.9650195781188341,2.257095454220094,5.205434155163381,0.5023449755916867,1.030157516592087,2.137241722517319,4.556945426349702,-0.0660205113612284,-0.018858237171377454,0.03945472768993947,0.11452465790489284
1,2.3790743980212232,56.14352591999723,58.36274816409731,0.9208035174176754,239.76470588235293,0.16944235149441456,0.573670422794614,1.7364181692659553,4.729660916130294,0.17359719590545752,0.5610464736120898,1.6161654539210133,4.171147741495917,0.04381342908621752,0.07511524518223554,0.11161830144339764,0.12276145648660469
2,2.291215517010274,53.53602717000809,55.768265673290976,0.8968726649063281,221.70833333333334,0.27266204894241425,0.7150322962404688,1.8173503314435575,4.599592687150643,0.2631271569650755,0.6701354906730005,1.6114747696292933,3.7758621349913333,0.1737728201358716,0.12797970080837237,0.13034195097296583,0.15470936216984574
3,3.0347834691425093,77.03846443776067,80.07324790690318,0.9257556502762768,199.0,0.21297491910069494,0.610105724221484,1.5727784070224335,4.137292420759859,0.280013220542763,0.6858596881719958,1.589426762011355,3.794150454612976,-0.04628866534390298,-0.021040063272469166,0.01028698184033626,0.061476550490349925
4,2.217845110446519,33.83607896114013,35.960376715860335,0.8687123127301533,177.8,0.2105191470435494,0.6373229887647593,1.9335854676950732,5.262111284477165,0.17944525790933466,0.7460914864254151,2.1221789355279905,5.084602017300598,-0.005846939060026668,0.005792403952719379,0.0062531025524035855,0.04219008574342813
5,2.383311034032859,90.9838385539611,92.66240978101223,0.9162919337922794,215.37142857142857,0.260836919905451,0.7881924354648625,1.9820328281688135,4.6763595137581575,0.2376231430962272,0.6911897983836689,1.7876025435853649,4.059763619903793,-0.014302735842975322,-0.010586134053046306,-0.010806514596498912,0.004495164063358922
6,2.035902185803066,47.676333542255165,48.8941171527351,0.9205134950917738,196.83928571428572,0.42973346548386154,1.1739351244564098,2.871968765706449,6.379733640286183,0.18451406597991446,0.5871333734144485,1.880917872991416,4.934949605215208,0.13757464569607047,0.12809707006791407,0.10841208510743154,0.09446454935441233
7,2.033438592691933,50.0023297289989,52.03576832169084,0.9165814551615031,196.66666666666666,0.31505596311928835,0.7938825039158677,1.9750833190126005,4.860448988631312,0.4329184143292464,0.9822721748359073,2.0940301377510044,4.41007976409021,0.021788194081400807,0.0018835490761256288,0.025608909332847346,0.07003081941672132
8,3.232700980886629,58.6212099555996,61.85391093648623,0.9022629506158105,152.4090909090909,0.36959038581952586,0.9923505168341422,2.295242815560643,4.664744271066217,0.280534461387873,0.653909668860051,1.5585325030677104,3.6364459947335495,0.07364238760029235,0.11664175730160667,0.12085287976400566,0.08998595755918712
