event_id,symbol,trigger_time,timeframe,object_type,structure_class,bias,object_price_center,source_index,confirmed_index,age_bars,zone_low,zone_high,canonical_bar_low,canonical_bar_high,canonical_endpoints_swapped,relation,distance_pct
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,5m,EQL,equal,0,3068.0,15786,15798,8887,3068.0,3068.0,,,,above,0.06523157208088715
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,5m,EQL,equal,0,3065.0,24543,24556,129,3065.0,3065.0,,,,below,0.03261578604044357
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,15m,current_internal_high,internal,0,3082.0,8210,8215,12,3082.0,3082.0,,,,above,0.5218525766470972
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,15m,current_internal_low,internal,0,3065.0,8209,8214,13,3065.0,3065.0,,,,below,0.03261578604044357
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,15m,current_swing_high,swing,0,3195.0,7936,7986,241,3195.0,3195.0,,,,above,4.207436399217221
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,15m,current_swing_low,swing,0,3151.0,7896,7946,281,3151.0,3151.0,,,,above,2.772341813437704
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,15m,EQH,equal,0,3066.0,4369,4384,3843,3066.0,3066.0,,,,overlap,0.0
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,15m,active_bear_internal_ob,internal,-1,3077.0,8211,8218,9,3073.0,3081.0,3073.0,3081.0,False,above,0.228310502283105
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,15m,active_bear_internal_ob,internal,-1,3087.0,8168,8177,50,3084.0,3090.0,3084.0,3090.0,False,above,0.5870841487279843
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,15m,active_bull_swing_ob,swing,1,3056.5,6316,6423,1804,3051.0,3062.0,3051.0,3062.0,False,below,0.1304631441617743
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,15m,active_bull_swing_ob,swing,1,3054.0,6295,6307,1920,3048.0,3060.0,3048.0,3060.0,False,below,0.19569471624266144
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,15m,EQL,equal,0,3072.0,6391,6398,1829,3072.0,3072.0,,,,above,0.19569471624266144
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,15m,EQL,equal,0,3065.0,8184,8194,33,3065.0,3065.0,,,,below,0.03261578604044357
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,1h,current_internal_high,internal,0,3090.0,2490,2495,12,3090.0,3090.0,,,,above,0.7827788649706457
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,1h,current_internal_low,internal,0,3076.0,2487,2492,15,3076.0,3076.0,,,,above,0.32615786040443573
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,1h,current_swing_high,swing,0,3195.0,2419,2469,38,3195.0,3195.0,,,,above,4.207436399217221
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,1h,current_swing_low,swing,0,3136.0,2327,2377,130,3136.0,3136.0,,,,above,2.28310502283105
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,1h,active_bull_internal_ob,internal,1,3063.0,1931,1937,570,3057.0,3069.0,3057.0,3069.0,False,overlap,0.0
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,1h,active_bear_internal_ob,internal,-1,3084.5,2490,2493,14,3079.0,3090.0,3079.0,3090.0,False,above,0.42400521852576645
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,1h,active_bull_internal_ob,internal,1,3027.0,1901,1906,601,3022.0,3032.0,3022.0,3032.0,False,below,1.1089367253750815
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,1h,active_bull_internal_ob,internal,1,2983.0,811,819,1688,2977.0,2989.0,2977.0,2989.0,False,below,2.5114155251141552
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,1h,active_bull_internal_ob,internal,1,2959.5,792,795,1712,2953.0,2966.0,2953.0,2966.0,False,below,3.2615786040443573
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,1h,EQH,equal,0,3067.0,1877,1884,623,3067.0,3067.0,,,,above,0.03261578604044357
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,1h,EQL,equal,0,3064.0,1940,1955,552,3064.0,3064.0,,,,below,0.06523157208088715
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,4h,current_internal_high,internal,0,3195.0,1035,1040,32,3195.0,3195.0,,,,above,4.207436399217221
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,4h,current_internal_low,internal,0,3151.0,1030,1035,37,3151.0,3151.0,,,,above,2.772341813437704
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,4h,current_swing_high,swing,0,3298.0,960,1010,62,3298.0,3298.0,,,,above,7.566862361382909
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,4h,current_swing_low,swing,0,3083.0,907,957,115,3083.0,3083.0,,,,above,0.5544683626875407
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,4h,active_bull_internal_ob,internal,1,3067.5,824,838,234,3051.0,3084.0,3051.0,3084.0,False,overlap,0.0
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,4h,active_bear_internal_ob,internal,-1,3184.0,1035,1043,29,3173.0,3195.0,3173.0,3195.0,False,above,3.489889106327462
RB:1h:1:1:1931:1937:13,RB,2026-07-03 10:40:00,4h,active_bull_internal_ob,internal,1,2983.5,347,350,722,2977.0,2990.0,2977.0,2990.0,False,below,2.4787997390737115
