horizon,feature_set,model,feature,importance_kind,fold_count,mean_value,median_value,mean_abs_value,positive_share,sign_consistency
2,stats_15m,elastic,feat_15m__close_location_20,coefficient,9,0.05551029314306869,0.05854690084540395,0.05551029314306869,1.0,1.0
2,stats_15m,elastic,feat_15m__log_ret_10,coefficient,9,-0.04686968499444906,-0.03948469984819737,0.04686968499444906,0.0,1.0
2,stats_15m,elastic,feat_15m__close_vs_sma_20,coefficient,9,0.004296318523822398,-0.021917855679340466,0.04401385679189898,0.4444444444444444,0.5555555555555556
2,stats_15m,elastic,feat_15m__close_location_50,coefficient,9,0.04345118110336418,0.04255184177144549,0.04345118110336418,1.0,1.0
2,stats_15m,elastic,feat_15m__range_pct,coefficient,9,-0.02870519150361695,-0.035985484950938895,0.0335599762224937,0.2222222222222222,0.7777777777777778
2,stats_15m,elastic,feat_15m__log_ret_20,coefficient,9,0.011262988204522463,0.02189221044966819,0.02794267053096809,0.7777777777777778,0.7777777777777778
2,stats_15m,elastic,feat_15m__lower_wick_pct,coefficient,9,-0.025751425110909103,-0.02126363202674967,0.026148439064965407,0.1111111111111111,0.8888888888888888
2,stats_15m,elastic,feat_15m__realized_vol_20,coefficient,9,-0.00558480721408474,0.011643293208513948,0.024584053298486914,0.7777777777777778,0.7777777777777778
2,stats_15m,elastic,feat_15m__atr14_pct,coefficient,9,0.012995793359484352,0.00041198780474498365,0.024283372398218164,0.5555555555555556,0.5555555555555556
2,stats_15m,elastic,feat_15m__close_vs_sma_50,coefficient,9,-0.022692945780830948,-0.020716484295655462,0.022692945780830948,0.0,1.0
2,stats_15m,elastic,feat_time__dow_sin,coefficient,9,-0.021473924668211658,-0.01809934841103836,0.021473924668211658,0.0,1.0
2,stats_15m,elastic,feat_time__tod_sin,coefficient,9,0.021147631164749874,0.014312523526082022,0.021147631164749874,1.0,1.0
2,stats_15m,elastic,feat_time__tod_cos,coefficient,9,0.017493171229074112,0.019856332578260614,0.017493171229074112,1.0,1.0
2,stats_15m,elastic,feat_15m__log_ret_5,coefficient,9,-0.01609782088211397,-0.010763500092395777,0.01609782088211397,0.0,1.0
2,stats_15m,elastic,feat_15m__gap_log_ret_1,coefficient,9,0.015412461079513063,0.013089374011485445,0.015412461079513063,1.0,1.0
