horizon,feature_set,model,decile,rows,mean_raw_return,median_raw_return,positive_rate,mean_prediction
2,stats_15m,ridge,1,648,0.0005817459617796183,0.0008641893434317186,0.5632716049382716,-0.2242500241584009
2,stats_15m,ridge,2,647,9.935056245739693e-05,0.00019021653039005094,0.5131375579598145,-0.08236644943071739
2,stats_15m,ridge,3,648,-0.0005324956386783998,0.0001646501847307436,0.5077160493827161,-0.042230033308769316
2,stats_15m,ridge,4,647,0.0004195953211874514,0.00014179369041846435,0.5100463678516228,-0.012057789001601838
2,stats_15m,ridge,5,648,-0.00014482845456074828,-6.519992928789217e-05,0.48919753086419754,0.014094313851623293
2,stats_15m,ridge,6,647,-0.00026823411589353094,4.5978068469401704e-05,0.500772797527048,0.04184556802925958
2,stats_15m,ridge,7,647,-0.000727257347208475,0.00016323421425364307,0.5239567233384853,0.07132419383509658
2,stats_15m,ridge,8,648,0.00023764998757505986,0.0001885110314603114,0.5200617283950617,0.10267160765802116
2,stats_15m,ridge,9,647,0.0001576761366234452,-0.00022559613875087613,0.4853168469860896,0.1423394840885233
2,stats_15m,ridge,10,648,9.679987524773051e-05,0.0003708570120063725,0.5216049382716049,0.2515713195848054
2,stats_15m,elastic,1,648,0.0006266881384034831,0.0009005841553461649,0.5648148148148148,-0.2240566188085317
2,stats_15m,elastic,2,647,-9.997244335746067e-05,0.00016073294256264425,0.5100463678516228,-0.08205479815523983
2,stats_15m,elastic,3,648,-0.000366862456331769,0.0002524229286446082,0.5123456790123457,-0.041960824649318884
2,stats_15m,elastic,4,647,0.0004023696614297606,0.00011933174238495245,0.508500772797527,-0.011877019184567674
2,stats_15m,elastic,5,648,-0.00015946107270595964,-6.519992928789217e-05,0.48919753086419754,0.014194312916926747
2,stats_15m,elastic,6,647,-0.0005344797459358195,0.0,0.49613601236476046,0.04183138738282833
2,stats_15m,elastic,7,647,-0.00046770829393375586,0.00019631580732495238,0.5255023183925811,0.0712421980698784
2,stats_15m,elastic,8,648,0.00027610560717301967,0.00019768929476228644,0.5231481481481481,0.10259344247322541
2,stats_15m,elastic,9,647,0.00017772792241589497,-0.00022559613875087613,0.48377125193199383,0.14221956556628612
2,stats_15m,elastic,10,648,6.528140122316121e-05,0.0003708570120063725,0.5216049382716049,0.25150513579686506
2,stats_15m,rf,1,648,-0.0002471716071228743,0.0004004812312280861,0.5277777777777778,-0.19897845052335378
2,stats_15m,rf,2,647,0.00011123581013962557,0.00043094161408149833,0.5425038639876353,-0.07474101552484311
2,stats_15m,rf,3,648,2.1517239272924557e-05,0.0002760506460875137,0.5185185185185185,-0.03118736286550744
2,stats_15m,rf,4,647,0.000246820709807482,0.00024175027314638016,0.5224111282843895,-0.0066180698998699935
2,stats_15m,rf,5,648,-0.0002880930116829622,0.0,0.4984567901234568,0.01540353491321416
2,stats_15m,rf,6,647,-0.00016944601390239921,0.00023860653895122096,0.527047913446677,0.0362862221121559
2,stats_15m,rf,7,647,-0.00027884771375512774,0.0,0.4884080370942813,0.058648478128573274
2,stats_15m,rf,8,648,-0.00011503563457508216,-2.7606769186816433e-05,0.4799382716049383,0.0853518693825
2,stats_15m,rf,9,647,-0.00047067494408024077,7.936822893964745e-05,0.5038639876352395,0.11826449841188098
2,stats_15m,rf,10,648,0.001109323931729195,0.00037034458840627216,0.5262345679012346,0.21462713161231398
2,stats_15m,hgb,1,648,-4.1707084839222174e-05,0.0008514261970565288,0.5493827160493827,-0.44915273561632163
2,stats_15m,hgb,2,647,0.00034088267421479557,0.0002768293825928632,0.5146831530139103,-0.1803521330287213
2,stats_15m,hgb,3,648,-0.0003062781400834978,0.00035126115516668946,0.5339506172839507,-0.08600716456397078
2,stats_15m,hgb,4,647,-5.272124657017112e-05,0.0,0.4884080370942813,-0.03191848319262798
2,stats_15m,hgb,5,648,3.1650765143408458e-06,0.00013663776666533045,0.5108024691358025,0.006357238869543689
2,stats_15m,hgb,6,647,0.0003477767546718046,0.00016073294256264425,0.517774343122102,0.04111834878187259
2,stats_15m,hgb,7,647,-0.0001736133885035831,0.00011933174238495245,0.508500772797527,0.07959368645541438
2,stats_15m,hgb,8,648,-0.00035363571197867045,8.452548810571181e-05,0.5030864197530864,0.13151691692535233
2,stats_15m,hgb,9,647,-0.00017712280605825317,0.0,0.4899536321483771,0.21782930076699428
2,stats_15m,hgb,10,648,0.0003341883701598266,0.0003574334715823194,0.5185185185185185,0.46425131815509535
2,stats_15m_1h,ridge,1,648,0.0008473394441005959,0.001355280333909613,0.5817901234567902,-0.29525666360542707
2,stats_15m_1h,ridge,2,647,-1.44527437163077e-05,0.00028561228326957937,0.5208655332302936,-0.11528638875417796
2,stats_15m_1h,ridge,3,648,-0.000589327629362156,-6.176233886117806e-05,0.48148148148148145,-0.06318834871806606
2,stats_15m_1h,ridge,4,647,0.0001943673815159079,0.0003620096747832129,0.5208655332302936,-0.024994448222402932
2,stats_15m_1h,ridge,5,648,0.00021717105183923565,0.0002152366142716973,0.5246913580246914,0.008467672172180633
2,stats_15m_1h,ridge,6,647,-0.0001620482223857751,-0.0001631010958572242,0.48377125193199383,0.04241092644532917
2,stats_15m_1h,ridge,7,647,-0.00031729721659810633,-0.0001389274800789197,0.4806800618238022,0.0780961886328084
2,stats_15m_1h,ridge,8,648,0.00029212235356813356,0.00027124787261098137,0.5370370370370371,0.11913487628037606
2,stats_15m_1h,ridge,9,647,-0.000278743068025163,-0.00016681958500609464,0.482225656877898,0.1753148839544346
2,stats_15m_1h,ridge,10,648,-0.00026952922355863077,0.000387003224683394,0.5216049382716049,0.4017851774905101
2,stats_15m_1h,elastic,1,648,0.0008210955692396882,0.001372173006770503,0.5817901234567902,-0.29524925669162505
