symbol,tf,n_bars,checked,mismatches,causal
AG,5m,44451,40,0,True
AG,15m,14817,40,0,True
AG,1h,4411,40,0,True
CU,5m,37323,40,0,True
CU,15m,12441,40,0,True
CU,1h,3619,40,0,True
M,5m,27819,40,0,True
M,15m,9273,40,0,True
M,1h,2827,40,0,True
RB,5m,27819,40,0,True
RB,15m,9273,40,0,True
RB,1h,2827,40,0,True
SC,5m,44449,40,0,True
SC,15m,14815,39,0,True
SC,1h,4411,40,0,True
TA,5m,27819,40,0,True
TA,15m,9273,39,0,True
TA,1h,2827,40,0,True
