nearest_opposing_ob_distance_R_bin,oracle_direction,n
"(0.0, 0.25]",LONG_DOMINATES,6251
"(0.0, 0.25]",MIXED,15333
"(0.0, 0.25]",NO_CLEAR_ACTION,218
"(0.0, 0.25]",SHORT_DOMINATES,6446
"(0.25, 0.5]",LONG_DOMINATES,4283
"(0.25, 0.5]",MIXED,9478
"(0.25, 0.5]",NO_CLEAR_ACTION,63
"(0.25, 0.5]",SHORT_DOMINATES,4114
"(0.5, 1.0]",LONG_DOMINATES,3186
"(0.5, 1.0]",MIXED,6713
"(0.5, 1.0]",NO_CLEAR_ACTION,34
"(0.5, 1.0]",SHORT_DOMINATES,2945
"(1.0, 2.0]",LONG_DOMINATES,1891
"(1.0, 2.0]",MIXED,3873
"(1.0, 2.0]",NO_CLEAR_ACTION,39
"(1.0, 2.0]",SHORT_DOMINATES,1769
"(2.0, 4.0]",LONG_DOMINATES,1103
"(2.0, 4.0]",MIXED,1926
"(2.0, 4.0]",NO_CLEAR_ACTION,25
"(2.0, 4.0]",SHORT_DOMINATES,1050
"(4.0, inf]",LONG_DOMINATES,3373
"(4.0, inf]",MIXED,7048
"(4.0, inf]",NO_CLEAR_ACTION,188
"(4.0, inf]",SHORT_DOMINATES,3813
