liquidity_scope,oracle_direction,n
15m,LONG_DOMINATES,1075
15m,MIXED,2248
15m,NO_CLEAR_ACTION,58
15m,SHORT_DOMINATES,1032
1h,LONG_DOMINATES,294
1h,MIXED,565
1h,NO_CLEAR_ACTION,25
1h,SHORT_DOMINATES,273
5m,LONG_DOMINATES,3748
5m,MIXED,7834
5m,NO_CLEAR_ACTION,119
5m,SHORT_DOMINATES,3706
CONTIG_SESSION,LONG_DOMINATES,14224
CONTIG_SESSION,MIXED,31363
CONTIG_SESSION,NO_CLEAR_ACTION,292
CONTIG_SESSION,SHORT_DOMINATES,13638
TRADING_DAY,LONG_DOMINATES,3381
TRADING_DAY,MIXED,7096
TRADING_DAY,NO_CLEAR_ACTION,139
TRADING_DAY,SHORT_DOMINATES,3236
TRADING_WEEK,LONG_DOMINATES,660
TRADING_WEEK,MIXED,1242
TRADING_WEEK,NO_CLEAR_ACTION,61
TRADING_WEEK,SHORT_DOMINATES,650
