liquidity_scope,contact_type,n
15m,GAP_CROSS,600
15m,PENETRATE_CLOSE_AT,254
15m,PENETRATE_CLOSE_BEYOND,1629
15m,PENETRATE_RECLAIM,1170
15m,TOUCH_ONLY,760
1h,GAP_CROSS,184
1h,PENETRATE_CLOSE_AT,60
1h,PENETRATE_CLOSE_BEYOND,411
1h,PENETRATE_RECLAIM,318
1h,TOUCH_ONLY,184
5m,GAP_CROSS,1816
5m,PENETRATE_CLOSE_AT,984
5m,PENETRATE_CLOSE_BEYOND,5231
5m,PENETRATE_RECLAIM,3973
5m,TOUCH_ONLY,3403
CONTIG_SESSION,GAP_CROSS,10760
CONTIG_SESSION,PENETRATE_CLOSE_AT,3994
CONTIG_SESSION,PENETRATE_CLOSE_BEYOND,17455
CONTIG_SESSION,PENETRATE_RECLAIM,13392
CONTIG_SESSION,TOUCH_ONLY,13916
TRADING_DAY,GAP_CROSS,2380
TRADING_DAY,PENETRATE_CLOSE_AT,862
TRADING_DAY,PENETRATE_CLOSE_BEYOND,4619
TRADING_DAY,PENETRATE_RECLAIM,3306
TRADING_DAY,TOUCH_ONLY,2685
TRADING_WEEK,GAP_CROSS,446
TRADING_WEEK,PENETRATE_CLOSE_AT,170
TRADING_WEEK,PENETRATE_CLOSE_BEYOND,927
TRADING_WEEK,PENETRATE_RECLAIM,657
TRADING_WEEK,TOUCH_ONLY,413
