same_price_has_multi,oracle_direction,n
MULTI_IDENTITY,LONG_DOMINATES,19251
MULTI_IDENTITY,MIXED,41801
MULTI_IDENTITY,NO_CLEAR_ACTION,560
MULTI_IDENTITY,SHORT_DOMINATES,18418
SINGLE,LONG_DOMINATES,4131
SINGLE,MIXED,8547
SINGLE,NO_CLEAR_ACTION,134
SINGLE,SHORT_DOMINATES,4117
