symbol,PCT_Ridge,PCT_HGB,PCT_delta,ATR200_Ridge,ATR200_HGB,ATR200_delta
AG,0.059763477610159016,0.05743074585438661,-0.0023327317557724075,0.02658162833069221,0.02602601448739621,-0.0005556138432959989
AU,0.04760088208183005,0.05867574793160548,0.011074865849775434,-0.01192040157177318,0.052327677231541296,0.06424807880331447
CU,0.03587455236078362,0.011246528753684967,-0.024628023607098655,0.009593443557969449,0.02116270299998333,0.011569259442013882
AL,0.01903414194737247,0.051970290752921616,0.03293614880554915,0.0632212009725188,0.050808472599954836,-0.01241272837256397
SN,0.11934226381662012,0.09530382599034022,-0.0240384378262799,0.02045243442614445,0.0044908378039304146,-0.01596159662221404
NI,-0.02003188748023,0.02755819216090356,0.047590079641133556,0.002113441070480745,0.03611488548129363,0.03400144441081288
RB,0.06671148810704057,0.06009870704030961,-0.006612781066730959,0.05919710260821353,0.016770595329410894,-0.042426507278802636
I,0.041613309551295,0.11629995898201623,0.07468664943072123,0.041478243295528607,-0.00845404037962546,-0.049932283675154066
SC,0.024277883607498635,0.006088559130083912,-0.018189324477414722,0.05380504588109602,0.042943768482245126,-0.010861277398850892
RU,0.02908354519298959,0.005249661062141126,-0.023833884130848464,0.022199447690248758,-0.011630769328633356,-0.033830217018882114
MA,-0.005473628589664442,0.07019505460541665,0.07566868319508109,-0.0061441801443774145,0.05483229959368032,0.06097647973805773
TA,0.05509655891171473,0.05072887837787176,-0.004367680533842969,0.04546144159074681,0.003109198792247287,-0.04235224279849952
M,0.09414412538038201,0.11914283042977293,0.024998705049390918,0.08548175868532083,0.08708925365903554,0.001607494973714707
P,0.07334443731495317,0.04427454608934262,-0.02906989122561055,0.044946187719620716,0.017751707034899464,-0.027194480684721252
CF,-0.04258054478607389,0.010533787969050254,0.053114332755124144,0.00423646804615519,0.027546547820773034,0.023310079774617843
