selector,wf,clear_model,dir_model,clear_mode,dir_mode,n,n_selected,selection_rate,selected_clear_rate,direction_accuracy_given_clear,actionable_precision,predicted_LONG_actionable_precision,predicted_SHORT_actionable_precision,tradeoff_selected_rate,direction_auc_all_clear_test,direction_auc_inside_clear_gate,unconditional_clear_rate,clear_selected_rate,n_predicted_LONG,n_predicted_SHORT
J0_EXACT,WF1,C_MAP_CORE,M_MAP_CORE,logistic,logistic,24649,7065,0.2866,0.7967,0.4996,0.398,0.3846,0.4105,0.2033,0.5551,0.551,0.746,0.3061,3406,3659
J0_EXACT,WF2,C_MAP_CORE,M_MAP_CORE,logistic,logistic,22390,2351,0.105,0.7963,0.6886,0.5483,0.5234,0.5619,0.2037,0.6239,0.6268,0.7264,0.1151,833,1518
J0_EXACT,WF3,C_MAP_CORE,M_MAP_CORE,logistic,logistic,21882,2215,0.1012,0.8266,0.6559,0.5422,0.5435,0.5415,0.1734,0.6333,0.6352,0.7119,0.1175,793,1422
J1_SIMPLE_LINEAR,WF1,C_GLOBAL4,M_GLOBAL4,logistic,logistic,24649,3701,0.1501,0.7582,0.5955,0.4515,0.4472,0.4542,0.2418,0.5985,0.5936,0.746,0.1526,1431,2270
J1_SIMPLE_LINEAR,WF2,C_GLOBAL4,M_GLOBAL4,logistic,logistic,22390,3063,0.1368,0.7228,0.71,0.5132,0.5134,0.5131,0.2772,0.6326,0.6382,0.7264,0.1361,1190,1873
J1_SIMPLE_LINEAR,WF3,C_GLOBAL4,M_GLOBAL4,logistic,logistic,21882,3800,0.1737,0.7492,0.6804,0.5097,0.5046,0.5132,0.2508,0.6325,0.6381,0.7119,0.1828,1528,2272
J2_SIMPLE_NONLINEAR,WF1,C_GLOBAL4,N_GLOBAL4,logistic,hgb,24649,4864,0.1973,0.7917,0.6487,0.5136,0.5133,0.5138,0.2083,0.6338,0.634,0.746,0.2094,2143,2721
J2_SIMPLE_NONLINEAR,WF2,C_GLOBAL4,N_GLOBAL4,logistic,hgb,22390,3308,0.1477,0.7902,0.7483,0.5913,0.589,0.5928,0.2098,0.6589,0.6658,0.7264,0.1607,1287,2021
J2_SIMPLE_NONLINEAR,WF3,C_GLOBAL4,N_GLOBAL4,logistic,hgb,21882,3552,0.1623,0.7956,0.7718,0.614,0.6218,0.6095,0.2044,0.6593,0.6629,0.7119,0.1814,1309,2243
