wf,delta,point_estimate,ci_lower,ci_median,ci_upper
WF1,GLOBAL2-ID,0.0254,0.014,0.0255,0.0371
WF1,GLOBAL_SCOPE-GLOBAL4,-0.0053,-0.0146,-0.0052,0.0033
WF1,GLOBAL_TYPE-GLOBAL4,-0.0335,-0.051,-0.0342,-0.0121
WF1,IDENTITY_MAP-GLOBAL4,-0.0466,-0.0653,-0.0476,-0.0248
WF1,MAP_CORE-IDENTITY_MAP,0.0032,0.0004,0.0033,0.0061
WF1,N_IDENTITY_MAP-N_GLOBAL4,-0.0246,-0.0376,-0.0248,-0.01
WF1,N_MAP_CORE-N_IDENTITY_MAP,0.0117,0.006,0.0117,0.0168
WF2,GLOBAL2-ID,0.0585,0.0406,0.0584,0.0766
WF2,GLOBAL_SCOPE-GLOBAL4,-0.0075,-0.0178,-0.0072,0.0027
WF2,GLOBAL_TYPE-GLOBAL4,-0.002,-0.0188,-0.001,0.0141
WF2,IDENTITY_MAP-GLOBAL4,-0.0116,-0.0321,-0.0105,0.0058
WF2,MAP_CORE-IDENTITY_MAP,0.0029,-0.0014,0.0029,0.0074
WF2,N_IDENTITY_MAP-N_GLOBAL4,-0.0108,-0.0237,-0.0108,0.002
WF2,N_MAP_CORE-N_IDENTITY_MAP,-0.0027,-0.0104,-0.0023,0.0052
WF3,GLOBAL2-ID,0.0385,0.0181,0.0383,0.0587
WF3,GLOBAL_SCOPE-GLOBAL4,0.0031,-0.0044,0.0031,0.0098
WF3,GLOBAL_TYPE-GLOBAL4,0.0004,-0.0106,0.0001,0.0112
WF3,IDENTITY_MAP-GLOBAL4,-0.002,-0.0142,-0.0022,0.009
WF3,MAP_CORE-IDENTITY_MAP,0.0028,-0.0032,0.0029,0.0087
WF3,N_IDENTITY_MAP-N_GLOBAL4,-0.0076,-0.0178,-0.008,0.0021
WF3,N_MAP_CORE-N_IDENTITY_MAP,0.0068,0.0013,0.0068,0.0123
