roc_auc,pr_auc,log_loss,brier,accuracy,balanced_accuracy,abs_direction_accuracy,wf,model,n,n_pos,task,nonlinear
0.6020275051805815,0.5013183565455992,0.6595439579189731,0.23364928782307712,0.6062617546188738,0.5609630860188833,0.574510454696316,WF1,M_GLOBAL4,18078,7209,robust,
0.5812146165572034,0.4661504822239714,0.8106811520878512,0.2606364642879483,0.5820334107755283,0.557372985059809,0.5518309547516318,WF1,M_IDENTITY_MAP,18078,7209,robust,
0.5837304732799358,0.46771318879273005,0.8046098759034366,0.2599229305753524,0.5883947339307446,0.560444501416196,0.5575284876645646,WF1,M_MAP_CORE,18078,7209,robust,
0.6144567019218943,0.49608004250278714,0.6614788715577821,0.2340477199823005,0.6076999668104879,0.5642377748212195,0.5751742449385994,WF1,N_MAP_CORE,18078,7209,robust,HGB
0.6152426430702209,0.5047331959096273,0.6543670002071115,0.2312125912764726,0.6112693498452012,0.5505780394731171,0.5832198142414861,WF2,M_GLOBAL4,16150,6504,robust,
0.6011966766205088,0.49748680519829785,0.668502979060405,0.23677324045924195,0.6089783281733746,0.5622072249387225,0.578204334365325,WF2,M_IDENTITY_MAP,16150,6504,robust,
0.6050999190533062,0.5014543345577511,0.6675021214297829,0.2362347580429273,0.6099690402476781,0.5633621148050585,0.5770897832817338,WF2,M_MAP_CORE,16150,6504,robust,
0.6323196634412954,0.5360277406324976,0.6464451769676401,0.22748405043621284,0.6247678018575852,0.5674371203073424,0.5889164086687306,WF2,N_MAP_CORE,16150,6504,robust,HGB
0.6300632673325384,0.5125698923048516,0.6414682536011802,0.22545317127064415,0.6255565721256481,0.5609497854465694,0.6064653857883501,WF3,M_GLOBAL4,16395,6377,robust,
0.6428134078746073,0.5237795769676703,0.6401087507747344,0.2246751420303067,0.6303751143641354,0.5828455541824935,0.6109179627935346,WF3,M_IDENTITY_MAP,16395,6377,robust,
0.6481558066109825,0.5336856006132199,0.6369689121125236,0.22319921032821902,0.6347666971637694,0.5880348961331733,0.6139676730710583,WF3,M_MAP_CORE,16395,6377,robust,
0.6641141679648108,0.5457017074223269,0.6289846503244385,0.21952171331230347,0.6410491003354681,0.5812925553198222,0.6070753278438549,WF3,N_MAP_CORE,16395,6377,robust,HGB
