symbol,TB,risk_ATR,n,LONG_n,SHORT_n,TRADEOFF_n,CENSOR_n,NOCOMP_n,REVERSAL_n,CONTINUATION_n
AG,TB1,1.0,1525,419,379,485,98,144,373,425
AG,TB2,1.0,1367,298,388,422,111,148,218,468
AG,TB3,1.0,1262,326,325,401,51,159,241,410
AG,TB4,1.0,1445,394,345,578,128,0,240,499
AL,TB1,1.0,1812,575,644,401,38,154,526,693
AL,TB2,1.0,2098,798,702,374,172,52,600,900
AL,TB3,1.0,1431,443,450,360,75,103,372,521
AL,TB4,1.0,1649,489,624,394,142,0,439,674
AU,TB1,1.0,1317,261,341,384,140,191,233,369
AU,TB2,1.0,1408,337,369,488,113,101,242,464
AU,TB3,1.0,1406,299,389,583,28,107,278,410
AU,TB4,1.0,1444,413,360,542,129,0,238,535
CF,TB1,1.0,2065,693,922,333,13,104,760,855
CF,TB2,1.0,2286,870,972,369,46,29,781,1061
CF,TB3,1.0,1910,613,681,331,227,58,527,767
CF,TB4,1.0,1565,522,561,294,124,64,399,684
CU,TB1,1.0,1358,448,361,368,42,139,387,422
CU,TB2,1.0,1551,539,476,373,128,35,369,646
CU,TB3,1.0,1332,339,410,403,74,106,319,430
CU,TB4,1.0,1523,463,470,466,124,0,323,610
I,TB1,1.0,1817,751,605,308,19,134,626,730
I,TB2,1.0,2254,985,908,333,28,0,782,1111
I,TB3,1.0,2467,955,1145,360,7,0,982,1118
I,TB4,1.0,2194,813,900,274,207,0,701,1012
M,TB1,1.0,1434,477,484,321,15,137,402,559
M,TB2,1.0,1846,767,715,339,0,25,587,895
M,TB3,1.0,1903,652,832,311,99,9,615,869
M,TB4,1.0,1733,567,625,334,158,49,497,695
MA,TB1,1.0,1581,482,664,317,0,118,493,653
MA,TB2,1.0,1769,656,713,374,0,26,579,790
MA,TB3,1.0,1721,654,564,397,46,60,455,763
MA,TB4,1.0,1356,374,462,438,82,0,335,501
NI,TB1,1.0,1351,422,375,385,0,169,288,509
NI,TB2,1.0,1539,557,469,513,0,0,412,614
NI,TB3,1.0,1461,416,395,538,53,59,392,419
NI,TB4,1.0,1422,515,311,496,95,5,322,504
P,TB1,1.0,1321,400,457,343,6,115,293,564
P,TB2,1.0,1428,556,449,377,25,21,392,613
P,TB3,1.0,1446,508,463,383,37,55,360,611
P,TB4,1.0,1328,422,407,399,77,23,333,496
RB,TB1,1.0,1488,511,548,320,8,101,381,678
RB,TB2,1.0,1949,706,798,433,12,0,587,917
RB,TB3,1.0,2056,757,971,328,0,0,737,991
RB,TB4,1.0,2452,1015,965,308,164,0,720,1260
RU,TB1,1.0,1318,413,476,343,10,76,343,546
RU,TB2,1.0,1559,567,553,382,57,0,476,644
RU,TB3,1.0,1562,541,534,415,72,0,445,630
RU,TB4,1.0,1528,490,485,435,75,43,357,618
SC,TB1,1.0,1436,448,384,468,0,136,341,491
SC,TB2,1.0,1554,487,452,593,0,22,354,585
SC,TB3,1.0,1643,448,519,486,125,65,388,579
SC,TB4,1.0,1431,383,467,466,115,0,348,502
SN,TB1,1.0,1387,378,404,450,22,133,297,485
SN,TB2,1.0,1441,441,474,455,71,0,375,540
SN,TB3,1.0,1241,276,328,445,61,131,213,391
SN,TB4,1.0,1344,402,385,476,81,0,328,459
TA,TB1,1.0,1478,523,534,307,40,74,425,632
TA,TB2,1.0,1854,609,778,435,32,0,625,762
TA,TB3,1.0,1599,530,500,386,123,60,420,610
TA,TB4,1.0,1455,454,494,405,102,0,333,615
