roc_auc,pr_auc,log_loss,brier,accuracy,balanced_accuracy,wf,model,n,n_pos,task,nonlinear
0.78439456790827,0.9012737574761099,0.4683796954081493,0.1517708369068704,0.7785305691914479,0.6362573897751417,WF1,C_GLOBAL4,24649,18389,clear_gate,
0.7583519422380062,0.8864594492310752,0.5024253627913114,0.16075993685873008,0.768307030711185,0.616551050539486,WF1,C_IDENTITY_MAP,24649,18389,clear_gate,
0.7578957989366125,0.8871890589202803,0.5029803643192683,0.1611551263206528,0.7669682340054363,0.6190254253263298,WF1,C_MAP_CORE,24649,18389,clear_gate,
0.7779427189160348,0.9028241168776301,0.4724214617158373,0.15418615328313498,0.7705383585540996,0.6190474684737386,WF1,CN_MAP_CORE,24649,18389,clear_gate,HGB
0.7853123058294648,0.8956528847340547,0.48195242222747536,0.15830819092039444,0.766681554265297,0.6502874485386142,WF2,C_GLOBAL4,22390,16263,clear_gate,
0.7758516692941864,0.8945050028987874,0.49058068021378465,0.16161800403994003,0.7585529254131309,0.644335895359493,WF2,C_IDENTITY_MAP,22390,16263,clear_gate,
0.7748907827824946,0.8943198305833584,0.4912099400180374,0.16200204779755467,0.7560071460473425,0.6414136396247655,WF2,C_MAP_CORE,22390,16263,clear_gate,
0.7832510554311569,0.9010901570801808,0.48160488602975704,0.1590744140044308,0.7618579723090666,0.6374050901775221,WF2,CN_MAP_CORE,22390,16263,clear_gate,HGB
0.7827183645828502,0.8888908101529709,0.49390888356285256,0.1627520855101743,0.7582487889589618,0.6617761592318979,WF3,C_GLOBAL4,21882,15577,clear_gate,
0.7793296680678221,0.886986436927209,0.49709138116554624,0.16361231117739805,0.755461109587789,0.6553338084572015,WF3,C_IDENTITY_MAP,21882,15577,clear_gate,
0.7796460315303522,0.8870385872576882,0.49685609220401106,0.1635410430414906,0.7565579014715291,0.6573786704477009,WF3,C_MAP_CORE,21882,15577,clear_gate,
0.783362928028305,0.8934969027917757,0.4919098373703646,0.16269773821520098,0.7580659903116717,0.6557473230245471,WF3,CN_MAP_CORE,21882,15577,clear_gate,HGB
