roc_auc,pr_auc,log_loss,brier,accuracy,balanced_accuracy,abs_direction_accuracy,wf,model,risk,n,n_pos,task,nonlinear
0.5782970418854747,0.4457168335191555,1.1487347213276378,0.3033892833965466,0.5724497393894267,0.5566490014785124,0.5584512285927029,WF1,M_MAP_CORE_r05,r05,13430,5219,risk,
0.6497655053090657,0.5144530823634378,0.6470667629367344,0.22687565212393743,0.6348473566641847,0.599334649594153,0.6084884586746091,WF1,N_MAP_CORE_r05,r05,13430,5219,risk,HGB
0.555090427101285,0.4434074591206851,0.8774680109826059,0.2944402751357648,0.5513078470824949,0.53838926506586,0.5513078470824949,WF1,M_MAP_CORE_r10,r10,18389,7379,risk,
0.6208875273731983,0.496109133149515,0.6623228086503842,0.23435666242538458,0.60775463592365,0.5758744991401699,0.60775463592365,WF1,N_MAP_CORE_r10,r10,18389,7379,risk,HGB
0.5412390088033178,0.4653037943702986,0.8335538284258388,0.28882495728072644,0.5350517836593786,0.5299393959800787,0.5267663981588032,WF1,M_MAP_CORE_r20,r20,21725,9390,risk,
0.5734748261719231,0.4837605505854971,0.6878032087752693,0.24623125863996032,0.5704948216340622,0.5453617570892113,0.5715074798619102,WF1,N_MAP_CORE_r20,r20,21725,9390,risk,HGB
0.6357056100589549,0.5268250165678939,0.6551676363136055,0.22963844955376655,0.6380616285074884,0.5918404811403266,0.6148218281976243,WF2,M_MAP_CORE_r05,r05,11618,4606,risk,
0.6781169939058629,0.5609706921230084,0.6261777730185181,0.2178234987280534,0.6526080220347736,0.6025130853156886,0.6209330349457738,WF2,N_MAP_CORE_r05,r05,11618,4606,risk,HGB
0.6238959304341931,0.5182732835278958,0.6639001066398034,0.23476318584550232,0.6075139888089528,0.5628806070197122,0.6075139888089528,WF2,M_MAP_CORE_r10,r10,16263,6744,risk,
0.6453728149619472,0.5363748137281119,0.6494853313660509,0.22863562542075733,0.6215950316669742,0.5783889469609199,0.6215950316669742,WF2,N_MAP_CORE_r10,r10,16263,6744,risk,HGB
0.570724963262758,0.4972532082771517,0.6901710493388029,0.24724120311525594,0.5710192603597389,0.54143688045608,0.5874675014591182,WF2,M_MAP_CORE_r20,r20,18847,8258,risk,
0.5782237600350267,0.5038556803567256,0.6769860843379218,0.2420325233333143,0.5707009073062026,0.5369017645838142,0.6003077412850851,WF2,N_MAP_CORE_r20,r20,18847,8258,risk,HGB
0.6625248031866053,0.5250473357174862,0.6245507974643429,0.21687821288662584,0.6638418079096046,0.6105445567185751,0.6297669491525424,WF3,M_MAP_CORE_r05,r05,11328,4166,risk,
0.6940361616752844,0.5663664991262705,0.6036300572039992,0.2080086982737966,0.6781426553672316,0.6172854732992967,0.6403601694915254,WF3,N_MAP_CORE_r05,r05,11328,4166,risk,HGB
0.6332782156949051,0.5065574115249204,0.6427547971777801,0.22578074319241404,0.6302240482763048,0.5823212624725181,0.6302240482763048,WF3,M_MAP_CORE_r10,r10,15577,5913,risk,
0.6584832478498941,0.5349584876907081,0.6275537978122574,0.21889403799504717,0.6430634910444887,0.588992988705994,0.6430634910444887,WF3,N_MAP_CORE_r10,r10,15577,5913,risk,HGB
0.5985601788398156,0.51112266051072,0.6675452813899247,0.23760091070000278,0.5847062131009277,0.5548734750873054,0.5985943210570706,WF3,M_MAP_CORE_r20,r20,17785,7537,risk,
0.597962282766973,0.5083000684989408,0.6660889945986141,0.23690345999176882,0.5816699465842001,0.5430955853283572,0.6087152094461625,WF3,N_MAP_CORE_r20,r20,17785,7537,risk,HGB
