selector,wf,clear_model,dir_model,unconditional_clear_rate,clear_selected_rate,selected_clear_rate,selection_rate,direction_auc_all_clear_test,direction_auc_inside_clear_gate,direction_accuracy_given_clear,actionable_precision,tradeoff_selected_rate,n_predicted_LONG,n_predicted_SHORT,predicted_LONG_actionable_precision,predicted_SHORT_actionable_precision
J0_EXACT,WF1,C_MAP_CORE,M_MAP_CORE,0.746,0.3061,0.7967,0.2866,0.5551,0.551,0.4996,0.398,0.2033,3406,3659,0.3846,0.4105
J0_EXACT,WF2,C_MAP_CORE,M_MAP_CORE,0.7264,0.1151,0.7963,0.105,0.6239,0.6268,0.6886,0.5483,0.2037,833,1518,0.5234,0.5619
J0_EXACT,WF3,C_MAP_CORE,M_MAP_CORE,0.7119,0.1175,0.8266,0.1012,0.6333,0.6352,0.6559,0.5422,0.1734,793,1422,0.5435,0.5415
J1_SIMPLE_LINEAR,WF1,C_GLOBAL4,M_GLOBAL4,0.746,0.1526,0.7582,0.1501,0.5985,0.5936,0.5955,0.4515,0.2418,1431,2270,0.4472,0.4542
J1_SIMPLE_LINEAR,WF2,C_GLOBAL4,M_GLOBAL4,0.7264,0.1361,0.7228,0.1368,0.6326,0.6382,0.71,0.5132,0.2772,1190,1873,0.5134,0.5131
J1_SIMPLE_LINEAR,WF3,C_GLOBAL4,M_GLOBAL4,0.7119,0.1828,0.7492,0.1737,0.6325,0.6381,0.6804,0.5097,0.2508,1528,2272,0.5046,0.5132
J2_SIMPLE_NONLINEAR,WF1,C_GLOBAL4,N_GLOBAL4,0.746,0.2094,0.7917,0.1973,0.6338,0.634,0.6487,0.5136,0.2083,2143,2721,0.5133,0.5138
J2_SIMPLE_NONLINEAR,WF2,C_GLOBAL4,N_GLOBAL4,0.7264,0.1607,0.7902,0.1477,0.6589,0.6658,0.7483,0.5913,0.2098,1287,2021,0.589,0.5928
J2_SIMPLE_NONLINEAR,WF3,C_GLOBAL4,N_GLOBAL4,0.7119,0.1814,0.7956,0.1623,0.6593,0.6629,0.7718,0.614,0.2044,1309,2243,0.6218,0.6095
