wf,coverage_target,actual_test_coverage,n,n_pred_reversal,n_pred_continuation,reversal_tail_accuracy,continuation_tail_accuracy,macro_tail_accuracy,overall_selected_accuracy,selected_reversal_base_rate,selected_majority_baseline,accuracy_minus_majority,LONG_selected_accuracy
WF1,0.5,0.5905,10858,7041,3817,0.4487,0.6749,0.5618,0.5282,0.4052,0.5948,-0.0666,0.5282
WF1,0.3,0.4219,7759,5477,2282,0.4534,0.6801,0.5667,0.52,0.4141,0.5859,-0.0659,0.52
WF1,0.2,0.3345,6151,4691,1460,0.4543,0.6829,0.5686,0.5085,0.4217,0.5783,-0.0697,0.5085
WF1,0.1,0.2324,4273,3631,642,0.4431,0.729,0.5861,0.4861,0.4173,0.5827,-0.0967,0.4861
WF2,0.5,0.412,6700,3251,3449,0.5604,0.7367,0.6486,0.6512,0.4075,0.5925,0.0587,0.6512
WF2,0.3,0.2166,3522,1666,1856,0.5978,0.7381,0.668,0.6718,0.4208,0.5792,0.0926,0.6718
WF2,0.2,0.1257,2044,970,1074,0.6021,0.77,0.686,0.6903,0.4066,0.5934,0.0969,0.6903
WF2,0.1,0.0456,742,304,438,0.5461,0.8037,0.6749,0.6981,0.3396,0.6604,0.0377,0.6981
WF3,0.5,0.4326,6739,4298,2441,0.5179,0.7821,0.65,0.6136,0.4093,0.5907,0.0229,0.6136
WF3,0.3,0.2253,3509,2365,1144,0.5704,0.8007,0.6856,0.6455,0.4494,0.5506,0.0949,0.6455
WF3,0.2,0.129,2010,1466,544,0.59,0.8401,0.7151,0.6577,0.4736,0.5264,0.1313,0.6577
WF3,0.1,0.0525,818,574,244,0.662,0.8689,0.7654,0.7237,0.5037,0.5037,0.22,0.7237
