wf,model,symbol,n,auc,accuracy,balanced_accuracy
WF3,M_ID,TA,948,0.5092,0.6466,0.4984
WF3,M_GLOBAL2,AG,739,0.521,0.6671,0.4951
WF3,M_GLOBAL2,AL,1113,0.5972,0.6128,0.5143
WF3,M_GLOBAL2,AU,773,0.5205,0.6934,0.5068
WF3,M_GLOBAL2,CF,1083,0.5742,0.6297,0.5038
WF3,M_GLOBAL2,CU,933,0.582,0.6677,0.5361
WF3,M_GLOBAL2,I,1713,0.5669,0.5797,0.5057
WF3,M_GLOBAL2,M,1192,0.5698,0.5872,0.5076
WF3,M_GLOBAL2,MA,836,0.5458,0.6029,0.506
WF3,M_GLOBAL2,NI,826,0.6224,0.6005,0.4982
WF3,M_GLOBAL2,P,829,0.5556,0.5935,0.496
WF3,M_GLOBAL2,RB,1980,0.5077,0.6343,0.5008
WF3,M_GLOBAL2,RU,975,0.5748,0.639,0.51
WF3,M_GLOBAL2,SC,850,0.5256,0.6035,0.522
WF3,M_GLOBAL2,SN,787,0.5345,0.582,0.4998
WF3,M_GLOBAL2,TA,948,0.5278,0.6392,0.4961
WF3,M_GLOBAL4,AG,739,0.6256,0.6658,0.5622
WF3,M_GLOBAL4,AL,1113,0.614,0.6101,0.551
WF3,M_GLOBAL4,AU,773,0.6033,0.6507,0.5424
WF3,M_GLOBAL4,CF,1083,0.6156,0.614,0.5331
WF3,M_GLOBAL4,CU,933,0.6256,0.6088,0.5486
WF3,M_GLOBAL4,I,1713,0.623,0.6077,0.5729
WF3,M_GLOBAL4,M,1192,0.6348,0.6158,0.5676
WF3,M_GLOBAL4,MA,836,0.7369,0.689,0.6377
WF3,M_GLOBAL4,NI,826,0.6549,0.6186,0.5664
WF3,M_GLOBAL4,P,829,0.6788,0.6417,0.5817
WF3,M_GLOBAL4,RB,1980,0.5732,0.6348,0.5351
WF3,M_GLOBAL4,RU,975,0.659,0.6174,0.5438
WF3,M_GLOBAL4,SC,850,0.6922,0.6765,0.6401
WF3,M_GLOBAL4,SN,787,0.6654,0.5896,0.5342
WF3,M_GLOBAL4,TA,948,0.5854,0.6435,0.5717
WF3,M_SCOPE12,AG,739,0.5133,0.6644,0.5082
WF3,M_SCOPE12,AL,1113,0.6451,0.6271,0.5496
WF3,M_SCOPE12,AU,773,0.5593,0.6882,0.5019
WF3,M_SCOPE12,CF,1083,0.5492,0.6445,0.5343
WF3,M_SCOPE12,CU,933,0.6207,0.6356,0.5225
WF3,M_SCOPE12,I,1713,0.5416,0.5598,0.5102
WF3,M_SCOPE12,M,1192,0.5852,0.5839,0.5053
WF3,M_SCOPE12,MA,836,0.5599,0.6029,0.5159
WF3,M_SCOPE12,NI,826,0.6057,0.6162,0.5257
WF3,M_SCOPE12,P,829,0.6091,0.5935,0.4974
WF3,M_SCOPE12,RB,1980,0.4949,0.6328,0.5088
WF3,M_SCOPE12,RU,975,0.6046,0.6421,0.5207
WF3,M_SCOPE12,SC,850,0.5874,0.5988,0.5184
WF3,M_SCOPE12,SN,787,0.5442,0.5832,0.5
WF3,M_SCOPE12,TA,948,0.5686,0.6361,0.4999
WF3,M_GLOBAL_SCOPE,AG,739,0.6145,0.6631,0.5786
WF3,M_GLOBAL_SCOPE,AL,1113,0.6451,0.6352,0.5904
WF3,M_GLOBAL_SCOPE,AU,773,0.604,0.6662,0.5688
WF3,M_GLOBAL_SCOPE,CF,1083,0.6184,0.6307,0.5551
WF3,M_GLOBAL_SCOPE,CU,933,0.6361,0.6109,0.551
WF3,M_GLOBAL_SCOPE,I,1713,0.611,0.5902,0.5675
WF3,M_GLOBAL_SCOPE,M,1192,0.6407,0.6225,0.5754
WF3,M_GLOBAL_SCOPE,MA,836,0.7426,0.6711,0.6281
WF3,M_GLOBAL_SCOPE,NI,826,0.6425,0.6138,0.5669
WF3,M_GLOBAL_SCOPE,P,829,0.7028,0.6671,0.6122
WF3,M_GLOBAL_SCOPE,RB,1980,0.546,0.6091,0.5241
WF3,M_GLOBAL_SCOPE,RU,975,0.6732,0.6544,0.5812
WF3,M_GLOBAL_SCOPE,SC,850,0.6899,0.6529,0.6198
WF3,M_GLOBAL_SCOPE,SN,787,0.6713,0.6023,0.5485
WF3,M_GLOBAL_SCOPE,TA,948,0.6076,0.6319,0.5703
WF3,M_CORE,AG,739,0.6315,0.6766,0.5962
WF3,M_CORE,AL,1113,0.6374,0.6433,0.6003
WF3,M_CORE,AU,773,0.6083,0.6598,0.5559
WF3,M_CORE,CF,1083,0.6271,0.639,0.5706
WF3,M_CORE,CU,933,0.6756,0.6442,0.5793
WF3,M_CORE,I,1713,0.6217,0.5989,0.574
WF3,M_CORE,M,1192,0.6342,0.6267,0.5798
WF3,M_CORE,MA,836,0.7616,0.701,0.6625
WF3,M_CORE,NI,826,0.6255,0.609,0.55
WF3,M_CORE,P,829,0.6966,0.6647,0.6142
WF3,M_CORE,RB,1980,0.5589,0.6232,0.5453
WF3,M_CORE,RU,975,0.6739,0.6687,0.5979
WF3,M_CORE,SC,850,0.6818,0.6518,0.6161
WF3,M_CORE,SN,787,0.6721,0.6125,0.5525
WF3,M_CORE,TA,948,0.6244,0.6392,0.576
WF3,M_TYPE20,AG,739,0.5578,0.6617,0.53
WF3,M_TYPE20,AL,1113,0.6547,0.6325,0.5906
WF3,M_TYPE20,AU,773,0.595,0.6688,0.5158
WF3,M_TYPE20,CF,1083,0.5022,0.5642,0.5093
WF3,M_TYPE20,CU,933,0.6775,0.6688,0.5945
WF3,M_TYPE20,I,1713,0.5429,0.568,0.5461
WF3,M_TYPE20,M,1192,0.5979,0.6082,0.558
WF3,M_TYPE20,MA,836,0.6719,0.616,0.5377
WF3,M_TYPE20,NI,826,0.6482,0.6295,0.5512
WF3,M_TYPE20,P,829,0.6273,0.6164,0.5719
WF3,M_TYPE20,RB,1980,0.5196,0.5707,0.5062
WF3,M_TYPE20,RU,975,0.5947,0.6062,0.5231
WF3,M_TYPE20,SC,850,0.6655,0.6506,0.594
WF3,M_TYPE20,SN,787,0.6182,0.5807,0.5061
WF3,M_TYPE20,TA,948,0.5495,0.5907,0.5338
WF3,M_GLOBAL_TYPE,AG,739,0.6222,0.6712,0.5694
WF3,M_GLOBAL_TYPE,AL,1113,0.6427,0.6047,0.5775
WF3,M_GLOBAL_TYPE,AU,773,0.6203,0.6688,0.5706
WF3,M_GLOBAL_TYPE,CF,1083,0.5813,0.6094,0.543
WF3,M_GLOBAL_TYPE,CU,933,0.6687,0.6442,0.6026
WF3,M_GLOBAL_TYPE,I,1713,0.5964,0.5832,0.5626
WF3,M_GLOBAL_TYPE,M,1192,0.6373,0.6174,0.5751
WF3,M_GLOBAL_TYPE,MA,836,0.7606,0.677,0.6237
WF3,M_GLOBAL_TYPE,NI,826,0.6664,0.5981,0.5523
WF3,M_GLOBAL_TYPE,P,829,0.6634,0.6381,0.6132
WF3,M_GLOBAL_TYPE,RB,1980,0.5557,0.5955,0.5396
WF3,M_GLOBAL_TYPE,RU,975,0.6581,0.6554,0.588
WF3,M_GLOBAL_TYPE,SC,850,0.7122,0.6765,0.6406
WF3,M_GLOBAL_TYPE,SN,787,0.6628,0.6175,0.5629
WF3,M_GLOBAL_TYPE,TA,948,0.5884,0.6055,0.5658
WF3,M_IDENTITY_MAP,AG,739,0.6172,0.6631,0.5688
WF3,M_IDENTITY_MAP,AL,1113,0.6476,0.6155,0.5876
WF3,M_IDENTITY_MAP,AU,773,0.6187,0.6818,0.5823
WF3,M_IDENTITY_MAP,CF,1083,0.5903,0.6159,0.5575
WF3,M_IDENTITY_MAP,CU,933,0.6585,0.6302,0.5868
WF3,M_IDENTITY_MAP,I,1713,0.602,0.5966,0.574
WF3,M_IDENTITY_MAP,M,1192,0.6348,0.62,0.5769
WF3,M_IDENTITY_MAP,MA,836,0.7644,0.6711,0.6212
WF3,M_IDENTITY_MAP,NI,826,0.655,0.5981,0.5596
WF3,M_IDENTITY_MAP,P,829,0.6658,0.6478,0.6277
WF3,M_IDENTITY_MAP,RB,1980,0.5354,0.5843,0.5228
WF3,M_IDENTITY_MAP,RU,975,0.6563,0.6503,0.5869
WF3,M_IDENTITY_MAP,SC,850,0.7097,0.6859,0.6441
WF3,M_IDENTITY_MAP,SN,787,0.6665,0.6239,0.5675
WF3,M_IDENTITY_MAP,TA,948,0.5887,0.6224,0.5891
WF3,M_MAP_CORE,AG,739,0.6223,0.6752,0.5779
WF3,M_MAP_CORE,AL,1113,0.6387,0.6289,0.6031
WF3,M_MAP_CORE,AU,773,0.6158,0.6753,0.5707
WF3,M_MAP_CORE,CF,1083,0.5997,0.6085,0.5522
WF3,M_MAP_CORE,CU,933,0.6886,0.6635,0.6166
WF3,M_MAP_CORE,I,1713,0.6141,0.596,0.5777
WF3,M_MAP_CORE,M,1192,0.6306,0.6091,0.567
WF3,M_MAP_CORE,MA,836,0.7772,0.6902,0.6416
WF3,M_MAP_CORE,NI,826,0.6396,0.6174,0.571
WF3,M_MAP_CORE,P,829,0.6497,0.6297,0.6101
WF3,M_MAP_CORE,RB,1980,0.5488,0.5955,0.5354
WF3,M_MAP_CORE,RU,975,0.6501,0.6472,0.5845
WF3,M_MAP_CORE,SC,850,0.7005,0.6682,0.623
WF3,M_MAP_CORE,SN,787,0.6608,0.6213,0.561
WF3,M_MAP_CORE,TA,948,0.6104,0.6276,0.6022
WF3,N_GLOBAL4,AG,739,0.6355,0.6536,0.5543
WF3,N_GLOBAL4,AL,1113,0.646,0.628,0.5892
WF3,N_GLOBAL4,AU,773,0.6319,0.6662,0.5956
WF3,N_GLOBAL4,CF,1083,0.6429,0.6343,0.5612
WF3,N_GLOBAL4,CU,933,0.6591,0.6292,0.554
WF3,N_GLOBAL4,I,1713,0.6338,0.6089,0.5727
WF3,N_GLOBAL4,M,1192,0.6537,0.6443,0.6107
WF3,N_GLOBAL4,MA,836,0.7814,0.7213,0.6819
WF3,N_GLOBAL4,NI,826,0.6913,0.6138,0.554
WF3,N_GLOBAL4,P,829,0.7138,0.69,0.6487
WF3,N_GLOBAL4,RB,1980,0.6024,0.6242,0.5685
WF3,N_GLOBAL4,RU,975,0.7031,0.6636,0.595
WF3,N_GLOBAL4,SC,850,0.6994,0.6612,0.6347
WF3,N_GLOBAL4,SN,787,0.7153,0.6518,0.6049
WF3,N_GLOBAL4,TA,948,0.5841,0.6487,0.5702
WF3,N_IDENTITY_MAP,AG,739,0.6561,0.6982,0.6165
WF3,N_IDENTITY_MAP,AL,1113,0.6639,0.6244,0.5843
WF3,N_IDENTITY_MAP,AU,773,0.6316,0.6934,0.6059
WF3,N_IDENTITY_MAP,CF,1083,0.6192,0.6057,0.5276
WF3,N_IDENTITY_MAP,CU,933,0.6858,0.6602,0.5828
WF3,N_IDENTITY_MAP,I,1713,0.6374,0.6305,0.5921
WF3,N_IDENTITY_MAP,M,1192,0.6409,0.6233,0.5841
WF3,N_IDENTITY_MAP,MA,836,0.7756,0.6854,0.6396
WF3,N_IDENTITY_MAP,NI,826,0.6815,0.6017,0.5553
WF3,N_IDENTITY_MAP,P,829,0.726,0.6815,0.6529
WF3,N_IDENTITY_MAP,RB,1980,0.5585,0.5848,0.5435
WF3,N_IDENTITY_MAP,RU,975,0.669,0.6451,0.5692
WF3,N_IDENTITY_MAP,SC,850,0.6829,0.6376,0.606
WF3,N_IDENTITY_MAP,SN,787,0.7065,0.6379,0.5812
WF3,N_IDENTITY_MAP,TA,948,0.594,0.634,0.5575
WF3,N_MAP_CORE,AG,739,0.671,0.6982,0.6057
WF3,N_MAP_CORE,AL,1113,0.6621,0.6451,0.6053
WF3,N_MAP_CORE,AU,773,0.6275,0.6895,0.5949
WF3,N_MAP_CORE,CF,1083,0.631,0.6057,0.5364
WF3,N_MAP_CORE,CU,933,0.7037,0.6924,0.6176
WF3,N_MAP_CORE,I,1713,0.6299,0.6124,0.5772
WF3,N_MAP_CORE,M,1192,0.6365,0.6141,0.5779
WF3,N_MAP_CORE,MA,836,0.7755,0.689,0.6416
WF3,N_MAP_CORE,NI,826,0.7017,0.6199,0.5657
WF3,N_MAP_CORE,P,829,0.7147,0.6828,0.6446
WF3,N_MAP_CORE,RB,1980,0.5824,0.6086,0.5707
WF3,N_MAP_CORE,RU,975,0.6911,0.6646,0.5887
WF3,N_MAP_CORE,SC,850,0.6729,0.6341,0.6003
WF3,N_MAP_CORE,SN,787,0.7061,0.6379,0.579
WF3,N_MAP_CORE,TA,948,0.6083,0.653,0.5742
