wf,model,symbol,n,auc,accuracy,balanced_accuracy
WF1,M_GLOBAL_SCOPE,RB,1504,0.6016,0.607,0.5469
WF1,M_GLOBAL_SCOPE,RU,1120,0.5989,0.592,0.5572
WF1,M_GLOBAL_SCOPE,SC,939,0.5366,0.5335,0.4946
WF1,M_GLOBAL_SCOPE,SN,915,0.6192,0.6175,0.5737
WF1,M_GLOBAL_SCOPE,TA,1387,0.5861,0.5523,0.5282
WF1,M_CORE,AG,686,0.6846,0.6633,0.6429
WF1,M_CORE,AL,1500,0.6116,0.5867,0.5689
WF1,M_CORE,AU,706,0.6509,0.6473,0.5844
WF1,M_CORE,CF,1842,0.6287,0.6124,0.5986
WF1,M_CORE,CU,1015,0.5864,0.5586,0.5597
WF1,M_CORE,I,1893,0.6244,0.5917,0.5894
WF1,M_CORE,M,1482,0.6087,0.6255,0.5956
WF1,M_CORE,MA,1369,0.5828,0.5734,0.5591
WF1,M_CORE,NI,1026,0.6,0.6023,0.5316
WF1,M_CORE,P,1005,0.6073,0.607,0.5504
WF1,M_CORE,RB,1504,0.6117,0.633,0.5657
WF1,M_CORE,RU,1120,0.6115,0.6,0.5637
WF1,M_CORE,SC,939,0.5606,0.5698,0.5326
WF1,M_CORE,SN,915,0.6324,0.6448,0.598
WF1,M_CORE,TA,1387,0.6003,0.5616,0.5366
WF1,M_TYPE20,AG,686,0.6223,0.5831,0.5964
WF1,M_TYPE20,AL,1500,0.5161,0.534,0.5292
WF1,M_TYPE20,AU,706,0.6759,0.67,0.6204
WF1,M_TYPE20,CF,1842,0.534,0.4978,0.5244
WF1,M_TYPE20,CU,1015,0.5406,0.5695,0.513
WF1,M_TYPE20,I,1893,0.5247,0.4459,0.4967
WF1,M_TYPE20,M,1482,0.5731,0.5911,0.5509
WF1,M_TYPE20,MA,1369,0.5927,0.5917,0.5692
WF1,M_TYPE20,NI,1026,0.5287,0.5887,0.5058
WF1,M_TYPE20,P,1005,0.6034,0.4945,0.5438
WF1,M_TYPE20,RB,1504,0.5719,0.5898,0.525
WF1,M_TYPE20,RU,1120,0.5638,0.5696,0.5195
WF1,M_TYPE20,SC,939,0.5443,0.5527,0.4955
WF1,M_TYPE20,SN,915,0.637,0.6284,0.5483
WF1,M_TYPE20,TA,1387,0.5185,0.5371,0.51
WF1,M_GLOBAL_TYPE,AG,686,0.6458,0.6122,0.63
WF1,M_GLOBAL_TYPE,AL,1500,0.5353,0.5333,0.5244
WF1,M_GLOBAL_TYPE,AU,706,0.67,0.6048,0.5985
WF1,M_GLOBAL_TYPE,CF,1842,0.5543,0.5027,0.5323
WF1,M_GLOBAL_TYPE,CU,1015,0.5719,0.5695,0.5467
WF1,M_GLOBAL_TYPE,I,1893,0.525,0.4379,0.4958
WF1,M_GLOBAL_TYPE,M,1482,0.6046,0.6039,0.5639
WF1,M_GLOBAL_TYPE,MA,1369,0.6067,0.5661,0.5592
WF1,M_GLOBAL_TYPE,NI,1026,0.5808,0.6043,0.5328
WF1,M_GLOBAL_TYPE,P,1005,0.6249,0.4756,0.5444
WF1,M_GLOBAL_TYPE,RB,1504,0.594,0.5944,0.5316
WF1,M_GLOBAL_TYPE,RU,1120,0.6008,0.5741,0.5329
WF1,M_GLOBAL_TYPE,SC,939,0.5859,0.5804,0.5506
WF1,M_GLOBAL_TYPE,SN,915,0.6358,0.6295,0.5513
WF1,M_GLOBAL_TYPE,TA,1387,0.566,0.5624,0.5344
