roc_auc,pr_auc,log_loss,brier,accuracy,balanced_accuracy,wf,model,n,n_pos,task,nonlinear
0.56256911821241,0.42563396845558066,0.6887322651947361,0.24659998485084317,0.5776907293415408,0.5391273921088973,WF1,M_GLOBAL4,5361,2019,robust,
0.5398701859563352,0.40220254389774607,1.3486803974719601,0.3319188726033257,0.5245290057825033,0.5308009724493434,WF1,M_IDENTITY_MAP,5361,2019,robust,
0.5578553709834371,0.4150015720002832,1.2832462309083312,0.3223148814204273,0.540384256668532,0.5503804521320348,WF1,M_MAP_CORE,5361,2019,robust,
0.6246128564988089,0.5046242635413563,0.653015125403971,0.22926792217002825,0.6347696325312442,0.5941237774357251,WF1,N_MAP_CORE,5361,2019,robust,HGB
0.6050590081696325,0.5061630442006351,0.6636248595304054,0.23542940165369847,0.6138507718696398,0.5605372137902258,WF2,M_GLOBAL4,4664,1925,robust,
0.5904636728733115,0.5029257168002523,0.69108231995205,0.24583843860575533,0.5969125214408233,0.5591613206071038,WF2,M_IDENTITY_MAP,4664,1925,robust,
0.5910114128295947,0.5131888952247688,0.6981021747701421,0.24791944597099164,0.5913379073756432,0.5569623950346843,WF2,M_MAP_CORE,4664,1925,robust,
0.6127546786911519,0.5190714973902264,0.6646837385149533,0.23523445827902928,0.6198542024013722,0.571283575861889,WF2,N_MAP_CORE,4664,1925,robust,HGB
0.5962071405967261,0.48045171298843353,0.6516382304950554,0.23002989814437116,0.6098674201260595,0.5413272207395043,WF3,M_GLOBAL4,4601,1759,robust,
0.5900334021593582,0.46377435065966965,0.6767096241314838,0.2405387220090893,0.5866116061725711,0.5447080441633437,WF3,M_IDENTITY_MAP,4601,1759,robust,
0.6101393096887066,0.49374399020826887,0.6681428242602323,0.23569527722869427,0.6144316452945012,0.572426755493713,WF3,M_MAP_CORE,4601,1759,robust,
0.6430381762396986,0.5218815302662536,0.6396914182289198,0.2236660293569746,0.6400782438600304,0.5875541449843351,WF3,N_MAP_CORE,4601,1759,robust,HGB
