模型,decile,n,pred_mean,actual_success_rate
Logistic,1,3282,0.2147,0.2773
Logistic,2,3281,0.2507,0.2871
Logistic,3,3281,0.2649,0.2746
Logistic,4,3281,0.2755,0.2758
Logistic,5,3281,0.285,0.2798
Logistic,6,3281,0.2942,0.2868
Logistic,7,3281,0.3045,0.2926
Logistic,8,3281,0.316,0.2975
Logistic,9,3281,0.3313,0.2959
Logistic,10,3282,0.3843,0.2782
LightGBM,1,3282,0.1744,0.2559
LightGBM,2,3281,0.2262,0.285
LightGBM,3,3281,0.2491,0.2908
LightGBM,4,3281,0.2657,0.2917
LightGBM,5,3281,0.28,0.2892
LightGBM,6,3281,0.2934,0.2905
LightGBM,7,3281,0.3078,0.2886
LightGBM,8,3281,0.3268,0.2749
LightGBM,9,3281,0.3573,0.2856
LightGBM,10,3282,0.4517,0.2934
