dataset,模型,n,base_rate,AUC,PR_AUC,Brier,D1,D10,D10_minus_D1,decile_spearman,Top10_rate,Lift@10,Top10_uplift,Top20_rate,Lift@20,Top20_uplift,Top30_rate,Lift@30,Top30_uplift
ALL_EVENTS,Logistic,32812,0.2846,0.5061,0.2862,0.206004,0.2773,0.2782,0.0009,0.0095,0.2782,0.9776,-0.0064,0.2871,1.0088,0.0025,0.2905,1.021,0.006
ALL_EVENTS,LightGBM,32812,0.2846,0.5067,0.2903,0.208317,0.2559,0.2934,0.0375,0.0105,0.2934,1.0311,0.0089,0.2895,1.0174,0.0049,0.2846,1.0003,0.0001
DEDUP_EVENTS,Logistic,22709,0.288,0.5047,0.2884,0.207486,0.2809,0.2818,0.0009,0.0074,0.2818,0.9786,-0.0062,0.2882,1.0007,0.0002,0.2906,1.0091,0.0026
DEDUP_EVENTS,LightGBM,22709,0.288,0.507,0.2936,0.208994,0.2682,0.2999,0.0317,0.011,0.2999,1.0412,0.0119,0.2963,1.029,0.0084,0.2911,1.0107,0.0031
