折,comparison,M1_AUC,M3_AUC,delta_AUC,M1_Lift20,M3_Lift20,M1_uplift,M3_uplift,delta_uplift
F1,ALL15,0.4937,0.5055,0.0118,1.0055,1.0619,0.0015,0.0166,0.0151
F1,NEW11_ZS,0.5281,0.4973,-0.0308,1.0939,0.9535,0.0245,-0.0122,-0.0367
F2,ALL15,0.5122,0.5028,-0.0094,1.0315,1.0583,0.0095,0.0175,0.008
F2,NEW11_ZS,0.511,0.5025,-0.0085,1.0301,1.0883,0.0091,0.0266,0.0175
F3,ALL15,0.485,0.4946,0.0096,1.0278,1.0036,0.0077,0.001,-0.0067
F3,NEW11_ZS,0.4733,0.4831,0.0098,0.9361,0.9128,-0.0176,-0.024,-0.0064
F4,ALL15,0.5306,0.5103,-0.0203,1.1451,1.0209,0.0424,0.0061,-0.0363
F4,NEW11_ZS,0.5268,0.5108,-0.016,1.0953,1.0854,0.0281,0.0252,-0.0029
