metric_col,n_rep,Top20_uplift_ci,D10_minus_D1_ci
pred_log,500,"[-0.0126, 0.0169]","[-0.0321, 0.0321]"
pred_lgb,500,"[-0.01, 0.0197]","[-0.0025, 0.0767]"
