stratum,n,base_rate,top20_rate,uplift,lift
AG|15m|-1,325,0.2523,0.3231,0.0708,1.2805
AG|15m|1,397,0.262,0.3,0.038,1.1452
AG|1h|-1,110,0.1636,0.0909,-0.0727,0.5556
AG|1h|1,201,0.2886,0.3659,0.0773,1.2679
AG|5m|-1,725,0.28,0.3241,0.0441,1.1576
AG|5m|1,877,0.2737,0.3125,0.0388,1.1419
AL|15m|-1,381,0.2782,0.2468,-0.0315,0.8869
AL|15m|1,335,0.3164,0.4478,0.1313,1.4151
AL|1h|-1,139,0.3381,0.3571,0.019,1.0562
AL|1h|1,155,0.2839,0.3871,0.1032,1.3636
AL|5m|-1,680,0.2985,0.3529,0.0544,1.1823
AL|5m|1,726,0.3113,0.3425,0.0312,1.1001
AU|15m|-1,308,0.3117,0.3387,0.027,1.0867
AU|15m|1,418,0.2512,0.25,-0.0012,0.9952
AU|1h|-1,124,0.25,0.32,0.07,1.28
AU|1h|1,177,0.226,0.1944,-0.0315,0.8604
AU|5m|-1,683,0.2928,0.365,0.0721,1.2464
AU|5m|1,850,0.2753,0.2647,-0.0106,0.9615
CF|15m|-1,186,0.2903,0.2632,-0.0272,0.9064
CF|15m|1,269,0.2937,0.2778,-0.0159,0.9459
CF|1h|-1,112,0.3839,0.3043,-0.0796,0.7927
CF|1h|1,114,0.386,0.1739,-0.2121,0.4506
CF|5m|-1,512,0.2734,0.301,0.0275,1.1007
CF|5m|1,564,0.3032,0.2478,-0.0554,0.8173
CU|15m|-1,348,0.2471,0.2286,-0.0186,0.9249
CU|15m|1,386,0.3031,0.3333,0.0302,1.0997
CU|1h|-1,100,0.21,0.2,-0.01,0.9524
CU|1h|1,151,0.3179,0.3871,0.0692,1.2177
CU|5m|-1,670,0.3104,0.3731,0.0627,1.2019
CU|5m|1,737,0.3094,0.3446,0.0352,1.1139
I|15m|-1,286,0.2692,0.2069,-0.0623,0.7685
I|15m|1,336,0.2798,0.3235,0.0438,1.1564
I|1h|-1,97,0.1753,,LOW_SAMPLE,LOW_SAMPLE
I|1h|1,200,0.3,0.175,-0.125,0.5833
I|5m|-1,554,0.2653,0.2072,-0.0581,0.7809
I|5m|1,664,0.2997,0.2256,-0.0741,0.7526
M|15m|-1,246,0.2602,0.16,-0.1002,0.615
M|15m|1,260,0.3269,0.3846,0.0577,1.1765
M|1h|-1,156,0.3013,0.4688,0.1675,1.5559
M|1h|1,84,0.3452,,LOW_SAMPLE,LOW_SAMPLE
M|5m|-1,559,0.3041,0.2143,-0.0898,0.7046
M|5m|1,516,0.3256,0.3942,0.0686,1.2109
MA|15m|-1,256,0.2383,0.2308,-0.0075,0.9685
MA|15m|1,229,0.3057,0.4783,0.1726,1.5646
MA|1h|-1,134,0.194,0.1481,-0.0459,0.7635
MA|1h|1,85,0.2588,,LOW_SAMPLE,LOW_SAMPLE
MA|5m|-1,518,0.249,0.2212,-0.0279,0.888
MA|5m|1,528,0.3049,0.3491,0.0441,1.1447
NI|15m|-1,360,0.3083,0.3333,0.025,1.0811
NI|15m|1,386,0.2798,0.1667,-0.1131,0.5957
NI|1h|-1,121,0.2893,0.32,0.0307,1.1063
NI|1h|1,155,0.3226,0.3226,0.0,1.0
NI|5m|-1,722,0.3061,0.3241,0.018,1.0589
NI|5m|1,791,0.3059,0.2579,-0.0481,0.8428
P|15m|-1,245,0.2204,0.2449,0.0245,1.1111
P|15m|1,220,0.2636,0.2727,0.0091,1.0345
P|1h|-1,184,0.2935,0.3243,0.0308,1.1051
P|1h|1,116,0.2672,0.4583,0.1911,1.7151
P|5m|-1,654,0.3104,0.3435,0.0331,1.1067
P|5m|1,579,0.3074,0.25,-0.0574,0.8132
RB|15m|-1,311,0.283,0.1429,-0.1401,0.5049
RB|15m|1,298,0.2685,0.2833,0.0149,1.0554
RB|1h|-1,131,0.2061,0.1852,-0.0209,0.8985
RB|1h|1,114,0.2895,0.1739,-0.1156,0.6008
RB|5m|-1,580,0.3017,0.2414,-0.0603,0.8
RB|5m|1,623,0.2873,0.328,0.0407,1.1416
RU|15m|-1,306,0.2124,0.1452,-0.0673,0.6834
RU|15m|1,276,0.3261,0.375,0.0489,1.15
RU|1h|-1,130,0.2385,0.2308,-0.0077,0.9677
RU|1h|1,160,0.25,0.1562,-0.0938,0.625
RU|5m|-1,627,0.2536,0.1984,-0.0552,0.7824
RU|5m|1,614,0.3225,0.3415,0.019,1.0589
SC|15m|-1,374,0.2807,0.4,0.1193,1.4248
SC|15m|1,376,0.25,0.1842,-0.0658,0.7368
SC|1h|-1,191,0.2618,0.2308,-0.031,0.8815
SC|1h|1,140,0.1857,0.2857,0.1,1.5385
SC|5m|-1,797,0.261,0.3187,0.0578,1.2214
SC|5m|1,763,0.2765,0.3203,0.0437,1.1581
SN|15m|-1,345,0.2986,0.3188,0.0203,1.068
SN|15m|1,355,0.2563,0.2817,0.0254,1.0989
SN|1h|-1,130,0.3462,0.5769,0.2308,1.6667
SN|1h|1,164,0.2988,0.3636,0.0649,1.2171
SN|5m|-1,670,0.2791,0.2836,0.0045,1.016
SN|5m|1,719,0.2893,0.2917,0.0024,1.0082
TA|15m|-1,213,0.1972,0.1163,-0.0809,0.5897
TA|15m|1,217,0.3134,0.2273,-0.0861,0.7253
TA|1h|-1,69,0.3188,,LOW_SAMPLE,LOW_SAMPLE
TA|1h|1,112,0.3839,0.3043,-0.0796,0.7927
TA|5m|-1,489,0.2679,0.1531,-0.1148,0.5714
TA|5m|1,517,0.2631,0.2308,-0.0323,0.8773
