维度,取值,n,p25,median,p75,p90,p95,p99,max,mean
ALL,ALL,72309,3.0,10.0,29.0,72.0,124.0,345.0,2458.0,31.424871039566305
direction,-1,35479,3.0,9.0,28.0,70.0,117.0,306.22000000000116,1432.0,29.745934214605825
direction,1,36830,3.0,10.0,30.0,74.0,132.0,378.0,2458.0,33.042221015476514
source_tf,15m,20762,5.0,15.0,39.0,81.0,122.0,259.0,1530.0,33.38676428089779
source_tf,1h,9137,16.0,48.0,124.0,260.0,408.1999999999989,847.3999999999942,2458.0,106.79479041260808
source_tf,5m,42410,2.0,6.0,16.0,35.0,52.0,112.0,1530.0,14.226385286489036
