维度,n,n_days,diff,ci_low,ci_high
ALL,79541,407,-0.0051,-0.0167,0.0069
LONG,40421,407,0.0071,-0.0139,0.0274
SHORT,39120,407,-0.0177,-0.0374,0.0023
