feature,raw_source,group,causal_status,direction_semantics,transform,included,exclusion_reason
source_tf,state_parquet,DSA,EVENT_LEVEL,categorical/positional,categorical_align,True,
source_ob_internal,state_parquet,OB属性,EVENT_LEVEL,invariant,invariant,True,
source_ob_structure,state_parquet,OB属性,EVENT_LEVEL,categorical/positional,categorical_align,True,
source_ob_bias,state_parquet,OB属性,EVENT_LEVEL,方向本身,exclude,False,native_direction 本身，主模型不得直接使用
source_ob_zone_low,state_parquet,OB属性,EVENT_LEVEL,invariant,invariant,True,
source_ob_zone_high,state_parquet,OB属性,EVENT_LEVEL,invariant,invariant,True,
source_ob_width_atr5,state_parquet,OB属性,EVENT_LEVEL,invariant,invariant,True,
touch_ordinal,state_parquet,OB属性,EVENT_LEVEL,invariant,invariant,True,
is_first_touch,state_parquet,OB属性,EVENT_LEVEL,invariant,invariant,True,
touch_intrabar_far_edge_breach,state_parquet,OB属性,EVENT_LEVEL,invariant,invariant,True,
touch_close_beyond_far_edge,state_parquet,OB属性,EVENT_LEVEL,invariant,invariant,True,
touch_reclaimed_by_close,state_parquet,OB属性,EVENT_LEVEL,invariant,invariant,True,
group_candidate_count,state_parquet,OB属性,EVENT_LEVEL,invariant,invariant,True,
group_has_5m,state_parquet,OB属性,EVENT_LEVEL,invariant,invariant,True,
group_has_15m,state_parquet,OB属性,EVENT_LEVEL,invariant,invariant,True,
group_has_1h,state_parquet,OB属性,EVENT_LEVEL,invariant,invariant,True,
touch_behavior,state_parquet,OB属性,EVENT_LEVEL,categorical/positional,categorical_align,True,
quant_width,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
quant_width_percentile_train,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
quant_top30_train,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
quant_crossed,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
quant_state,state_parquet,DSA,EVENT_LEVEL,categorical/positional,categorical_align,True,
swing_bias_15m,state_parquet,趋势,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
swing_bias_1h,state_parquet,趋势,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
swing_bias_5m,state_parquet,趋势,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
internal_bias_15m,state_parquet,趋势,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
internal_bias_1h,state_parquet,趋势,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
internal_bias_5m,state_parquet,趋势,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
last_swing_structure_type_15m,state_parquet,结构,EVENT_LEVEL,categorical/positional,categorical_align,True,
last_swing_structure_type_1h,state_parquet,结构,EVENT_LEVEL,categorical/positional,categorical_align,True,
last_swing_structure_type_5m,state_parquet,结构,EVENT_LEVEL,categorical/positional,categorical_align,True,
last_swing_structure_bias_15m,state_parquet,趋势,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
last_swing_structure_bias_1h,state_parquet,趋势,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
last_swing_structure_bias_5m,state_parquet,趋势,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
last_swing_structure_age_15m,state_parquet,结构,EVENT_LEVEL,invariant,invariant,True,
last_swing_structure_age_1h,state_parquet,结构,EVENT_LEVEL,invariant,invariant,True,
last_swing_structure_age_5m,state_parquet,结构,EVENT_LEVEL,invariant,invariant,True,
last_internal_structure_type_15m,state_parquet,结构,EVENT_LEVEL,categorical/positional,categorical_align,True,
last_internal_structure_type_1h,state_parquet,结构,EVENT_LEVEL,categorical/positional,categorical_align,True,
last_internal_structure_type_5m,state_parquet,结构,EVENT_LEVEL,categorical/positional,categorical_align,True,
last_internal_structure_bias_15m,state_parquet,趋势,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
last_internal_structure_bias_1h,state_parquet,趋势,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
last_internal_structure_bias_5m,state_parquet,趋势,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
last_internal_structure_age_15m,state_parquet,结构,EVENT_LEVEL,invariant,invariant,True,
last_internal_structure_age_1h,state_parquet,结构,EVENT_LEVEL,invariant,invariant,True,
last_internal_structure_age_5m,state_parquet,结构,EVENT_LEVEL,invariant,invariant,True,
dsa_direction_15m,state_parquet,DSA,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
dsa_direction_1h,state_parquet,DSA,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
dsa_direction_5m,state_parquet,DSA,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
dsa_raw_dsa_vwap_dev_pct_15m,state_parquet,DSA,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
dsa_raw_dsa_vwap_dev_pct_1h,state_parquet,DSA,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
dsa_raw_dsa_vwap_dev_pct_5m,state_parquet,DSA,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
momentum_direction_15m,state_parquet,动量,EVENT_LEVEL,categorical/positional,categorical_align,True,
momentum_direction_1h,state_parquet,动量,EVENT_LEVEL,categorical/positional,categorical_align,True,
momentum_direction_5m,state_parquet,动量,EVENT_LEVEL,categorical/positional,categorical_align,True,
sqzmom_val_15m,state_parquet,动量,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
sqzmom_val_1h,state_parquet,动量,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
sqzmom_val_5m,state_parquet,动量,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
sqzmom_delta_15m,state_parquet,动量,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
sqzmom_delta_1h,state_parquet,动量,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
sqzmom_delta_5m,state_parquet,动量,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
above_ob_bias_15m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
above_ob_bias_1h,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
above_ob_bias_5m,state_parquet,结构,EVENT_LEVEL,零方差,exclude,False,零方差常量(unique=1)，无信息
above_ob_structure_class_15m,state_parquet,结构,EVENT_LEVEL,categorical/positional,categorical_align,True,
above_ob_structure_class_1h,state_parquet,结构,EVENT_LEVEL,categorical/positional,categorical_align,True,
above_ob_structure_class_5m,state_parquet,结构,EVENT_LEVEL,categorical/positional,categorical_align,True,
above_ob_zone_low_15m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
above_ob_zone_low_1h,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
above_ob_zone_low_5m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
above_ob_zone_high_15m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
above_ob_zone_high_1h,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
above_ob_zone_high_5m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
below_ob_bias_15m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
below_ob_bias_1h,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
below_ob_bias_5m,state_parquet,结构,EVENT_LEVEL,零方差,exclude,False,零方差常量(unique=1)，无信息
below_ob_structure_class_15m,state_parquet,结构,EVENT_LEVEL,categorical/positional,categorical_align,True,
below_ob_structure_class_1h,state_parquet,结构,EVENT_LEVEL,categorical/positional,categorical_align,True,
below_ob_structure_class_5m,state_parquet,结构,EVENT_LEVEL,categorical/positional,categorical_align,True,
below_ob_zone_low_15m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
below_ob_zone_low_1h,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
below_ob_zone_low_5m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
below_ob_zone_high_15m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
below_ob_zone_high_1h,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
below_ob_zone_high_5m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
ob_above_atr_15m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
ob_above_atr_1h,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
ob_above_atr_5m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
ob_below_atr_15m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
ob_below_atr_1h,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
ob_below_atr_5m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
internal_high_atr_5m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
internal_high_level_5m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
internal_high_relation_5m,state_parquet,DSA,EVENT_LEVEL,categorical/positional,categorical_align,True,
internal_low_atr_5m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
internal_low_level_5m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
internal_low_relation_5m,state_parquet,DSA,EVENT_LEVEL,categorical/positional,categorical_align,True,
swing_high_atr_5m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
swing_high_level_5m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
swing_high_relation_5m,state_parquet,DSA,EVENT_LEVEL,categorical/positional,categorical_align,True,
swing_low_atr_5m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
swing_low_level_5m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
swing_low_relation_5m,state_parquet,DSA,EVENT_LEVEL,categorical/positional,categorical_align,True,
dsa_vwap_dev_pct_5m,state_parquet,DSA,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
internal_high_atr_15m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
internal_high_level_15m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
internal_high_relation_15m,state_parquet,DSA,EVENT_LEVEL,categorical/positional,categorical_align,True,
internal_low_atr_15m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
internal_low_level_15m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
internal_low_relation_15m,state_parquet,DSA,EVENT_LEVEL,categorical/positional,categorical_align,True,
swing_high_atr_15m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
swing_high_level_15m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
swing_high_relation_15m,state_parquet,DSA,EVENT_LEVEL,categorical/positional,categorical_align,True,
swing_low_atr_15m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
swing_low_level_15m,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
swing_low_relation_15m,state_parquet,DSA,EVENT_LEVEL,categorical/positional,categorical_align,True,
dsa_vwap_dev_pct_15m,state_parquet,DSA,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
internal_high_atr_1h,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
internal_high_level_1h,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
internal_high_relation_1h,state_parquet,DSA,EVENT_LEVEL,categorical/positional,categorical_align,True,
internal_low_atr_1h,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
internal_low_level_1h,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
internal_low_relation_1h,state_parquet,DSA,EVENT_LEVEL,categorical/positional,categorical_align,True,
swing_high_atr_1h,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
swing_high_level_1h,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
swing_high_relation_1h,state_parquet,DSA,EVENT_LEVEL,categorical/positional,categorical_align,True,
swing_low_atr_1h,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
swing_low_level_1h,state_parquet,DSA,EVENT_LEVEL,invariant,invariant,True,
swing_low_relation_1h,state_parquet,DSA,EVENT_LEVEL,categorical/positional,categorical_align,True,
dsa_vwap_dev_pct_1h,state_parquet,DSA,EVENT_LEVEL,signed(bull+/bear-),signed_align,True,
native_direction,state_parquet,OB属性,EVENT_LEVEL,方向本身,exclude,False,native_direction 本身，主模型不得直接使用
