symbol,source_tf,native_direction,candidate_count,first_time,last_time
AG,15m,-1,809,2025-01-03 10:35:00,2026-09-03 23:05:00
AG,15m,1,895,2025-01-03 01:35:00,2026-09-04 14:35:00
AG,1h,-1,289,2025-01-15 21:50:00,2026-09-03 23:50:00
AG,1h,1,406,2025-01-09 01:30:00,2026-08-29 00:00:00
AG,5m,-1,1869,2025-01-03 10:35:00,2026-09-03 23:10:00
AG,5m,1,2097,2025-01-02 11:15:00,2026-09-04 14:40:00
AL,15m,-1,906,2025-01-08 10:45:00,2026-09-03 21:05:00
AL,15m,1,802,2025-01-08 21:05:00,2026-09-01 21:05:00
AL,1h,-1,330,2025-01-03 10:35:00,2026-09-03 21:35:00
AL,1h,1,311,2025-01-08 15:00:00,2026-08-26 22:05:00
AL,5m,-1,1619,2025-01-06 14:05:00,2026-09-04 00:20:00
AL,5m,1,1657,2025-01-03 09:10:00,2026-09-04 11:00:00
AU,15m,-1,763,2025-01-06 09:15:00,2026-09-03 13:55:00
AU,15m,1,911,2025-01-10 21:35:00,2026-09-04 11:10:00
AU,1h,-1,301,2025-01-07 21:05:00,2026-09-03 13:50:00
AU,1h,1,367,2025-01-07 23:05:00,2026-09-02 09:15:00
AU,5m,-1,1674,2025-01-03 14:40:00,2026-09-03 23:05:00
AU,5m,1,2002,2025-01-02 13:50:00,2026-09-04 09:15:00
CF,15m,-1,631,2025-01-06 21:05:00,2026-09-04 10:10:00
CF,15m,1,583,2025-01-03 09:05:00,2026-09-04 14:20:00
CF,1h,-1,287,2025-01-10 09:05:00,2026-08-27 21:05:00
CF,1h,1,257,2025-01-13 09:05:00,2026-09-03 13:45:00
CF,5m,-1,1350,2025-01-02 21:05:00,2026-09-04 13:50:00
CF,5m,1,1399,2025-01-02 11:10:00,2026-09-04 14:35:00
CU,15m,-1,798,2025-01-03 10:35:00,2026-09-02 21:40:00
CU,15m,1,840,2025-01-06 13:50:00,2026-09-04 11:30:00
CU,1h,-1,267,2025-01-24 10:50:00,2026-09-04 10:05:00
CU,1h,1,366,2025-01-15 09:20:00,2026-09-02 09:35:00
CU,5m,-1,1591,2025-01-03 21:05:00,2026-09-04 09:20:00
CU,5m,1,1770,2025-01-03 11:15:00,2026-09-04 13:35:00
I,15m,-1,718,2025-01-07 13:45:00,2026-09-03 13:35:00
I,15m,1,776,2025-01-15 11:30:00,2026-09-02 10:40:00
I,1h,-1,258,2025-01-09 10:40:00,2026-09-03 13:45:00
I,1h,1,446,2025-01-10 11:10:00,2026-09-02 10:40:00
I,5m,-1,1438,2025-01-03 21:50:00,2026-09-04 09:10:00
I,5m,1,1451,2025-01-02 10:45:00,2026-09-04 14:40:00
M,15m,-1,619,2025-01-02 21:05:00,2026-09-03 10:40:00
M,15m,1,679,2025-01-08 10:05:00,2026-09-03 21:55:00
M,1h,-1,316,2025-01-10 09:30:00,2026-08-14 13:35:00
M,1h,1,260,2025-01-16 09:05:00,2026-09-03 21:55:00
M,5m,-1,1415,2025-01-02 10:10:00,2026-09-03 22:30:00
M,5m,1,1344,2025-01-06 14:40:00,2026-09-03 21:55:00
MA,15m,-1,628,2025-01-02 22:55:00,2026-09-02 22:15:00
MA,15m,1,549,2025-01-08 09:10:00,2026-09-04 13:35:00
MA,1h,-1,323,2025-01-09 14:55:00,2026-09-02 21:15:00
MA,1h,1,260,2025-01-20 09:55:00,2026-09-03 13:45:00
MA,5m,-1,1350,2025-01-03 09:05:00,2026-09-04 09:35:00
MA,5m,1,1312,2025-01-02 11:10:00,2026-09-04 14:40:00
