维度,取值,n,native,flipped,diff
direction,-1,35162,0.2638,0.3136,-0.0499
direction,1,36449,0.2964,0.2743,0.0222
source_tf,15m,20629,0.2816,0.2949,-0.0132
source_tf,1h,9097,0.2633,0.3089,-0.0456
source_tf,5m,41885,0.2835,0.2896,-0.0061
symbol,AG,5539,0.2742,0.3242,-0.05
symbol,AL,5040,0.2881,0.2873,0.0008
symbol,AU,5241,0.3043,0.3255,-0.0212
symbol,CF,4132,0.2655,0.2841,-0.0186
symbol,CU,5031,0.2924,0.2824,0.0099
symbol,I,4738,0.2767,0.2461,0.0306
symbol,M,4251,0.2776,0.2821,-0.0045
symbol,MA,4011,0.262,0.3149,-0.0529
symbol,NI,5627,0.297,0.2794,0.0176
symbol,P,4397,0.2777,0.312,-0.0343
symbol,RB,4475,0.2675,0.2836,-0.0161
symbol,RU,4435,0.2561,0.2904,-0.0343
symbol,SC,5653,0.288,0.3074,-0.0195
symbol,SN,5005,0.2903,0.3003,-0.01
symbol,TA,4036,0.2718,0.2748,-0.003
