symbol,n,close_inside_zone_pct,close_beyond_near_pct,close_beyond_far_pct,touch_to_close_p10,touch_to_close_p25,touch_to_close_median,touch_to_close_p75,touch_to_close_p90,touch_to_close_p95,MFE_ge_0_5R_pct,MFE_ge_1_0R_pct,MFE_ge_1_5R_pct,MFE_ge_2_5R_pct,MAE_ge_0_5R_pct,MAE_ge_1_0R_pct,bar_order_ambiguous_pct,room_to_far_edge_median_R,native_base_rate
AG,6365,0.4086,0.4991,0.0922,-0.8503,-0.3333,0.0,0.3488,0.6958,0.9363,0.8063,0.3744,0.1126,0.0091,0.3811,0.1654,0.2306,1.3043,0.2768
AL,5625,0.4235,0.5111,0.0654,-0.7307,-0.25,0.102,0.4348,0.8333,1.0638,0.8779,0.4804,0.1591,0.0258,0.312,0.1513,0.221,1.4286,0.3025
AU,6018,0.4184,0.487,0.0945,-0.7982,-0.3417,0.0,0.3123,0.6707,0.9071,0.7672,0.3225,0.0803,0.0075,0.3885,0.1517,0.2137,1.2064,0.2825
CF,4507,0.4369,0.5132,0.0499,-0.6,-0.1724,0.1562,0.4762,0.8333,1.0714,0.9288,0.5618,0.1813,0.0178,0.2483,0.1087,0.1953,1.5385,0.286
CU,5632,0.4379,0.4899,0.0723,-0.7766,-0.3201,0.0,0.3488,0.7143,0.942,0.8173,0.3825,0.1044,0.0064,0.3441,0.1474,0.201,1.3462,0.3051
I,5087,0.4789,0.4875,0.0336,-0.5882,-0.1852,0.0,0.4545,0.8333,1.0526,0.9375,0.5439,0.1466,0.0071,0.2471,0.0926,0.1976,1.5789,0.2908
M,4633,0.4183,0.5267,0.055,-0.6061,-0.2,0.1667,0.4545,0.7692,1.0,0.8953,0.4774,0.1239,0.0078,0.2702,0.1148,0.1893,1.5385,0.2966
MA,4422,0.4362,0.5034,0.0604,-0.6818,-0.2326,0.0531,0.4167,0.7692,1.0017,0.8747,0.4604,0.145,0.0185,0.3302,0.14,0.2386,1.4583,0.2885
NI,6413,0.3894,0.5202,0.0904,-0.8032,-0.2985,0.0512,0.3636,0.7143,0.9375,0.8434,0.4204,0.1414,0.0172,0.3705,0.1654,0.2556,1.3136,0.2951
P,4801,0.4362,0.5036,0.0602,-0.6944,-0.2857,0.0424,0.3571,0.7143,0.9615,0.8255,0.3803,0.1025,0.0035,0.3276,0.125,0.1975,1.4103,0.2899
RB,4851,0.4552,0.4997,0.0451,-0.6452,-0.2,0.0,0.4167,0.7895,1.0417,0.9241,0.5318,0.155,0.0115,0.2632,0.1074,0.2053,1.5385,0.2839
RU,4885,0.4346,0.5079,0.0575,-0.7143,-0.2564,0.0862,0.3846,0.7143,0.9516,0.8964,0.4725,0.1556,0.0106,0.3249,0.1333,0.251,1.4583,0.2838
SC,6472,0.4289,0.4816,0.0895,-0.8696,-0.3523,0.0,0.3448,0.6818,0.9091,0.8033,0.3883,0.1207,0.0088,0.3721,0.1635,0.2194,1.3014,0.2859
SN,5771,0.3921,0.51,0.0979,-0.917,-0.3667,0.0215,0.3566,0.7143,0.9527,0.8205,0.3901,0.1478,0.0192,0.4024,0.1903,0.2679,1.3295,0.299
TA,4414,0.437,0.5088,0.0541,-0.6944,-0.25,0.0855,0.4054,0.7576,1.0312,0.8577,0.4388,0.1135,0.007,0.3117,0.1303,0.2005,1.4286,0.2833
