bucket,n,share,native_base_rate,median_MFE_R,median_MAE_R
<=0R,39730,0.4973,0.2916,0.7895,-0.5607
0~0.25R,12262,0.1535,0.2855,0.9211,-0.1562
0.25~0.5R,13041,0.1632,0.2889,0.9524,-0.0751
0.5~1R,11193,0.1401,0.2889,1.0432,-0.0549
>1R,3670,0.0459,0.2961,1.5517,-0.0847
