dataset,n_strata,usable_strata,low_sample_strata,event_weighted_uplift,macro_mean_uplift,macro_median_uplift,event_weighted_lift,macro_median_lift,positive_strata
ALL15_M3,90,85,5,-0.0025,0.0019,-0.0017,0.9929,0.9909,42
NEW11_ZS_M3,66,63,3,-0.0097,-0.015,-0.0174,0.9767,0.9311,23
