source_tf,模型,n,base_rate,AUC,PR_AUC,Brier,D1,D10,D10_minus_D1,decile_spearman,Top10_rate,Lift@10,Top10_uplift,Top20_rate,Lift@20,Top20_uplift,Top30_rate,Lift@30,Top30_uplift
15m,Logistic,9248,0.275,0.5158,0.2792,0.201936,0.267,0.2649,-0.0021,0.0244,0.2649,0.9632,-0.0101,0.2849,1.036,0.0099,0.2915,1.0602,0.0166
15m,LightGBM,9248,0.275,0.5161,0.2866,0.204112,0.2422,0.2941,0.0519,0.0249,0.2941,1.0694,0.0191,0.2951,1.0733,0.0202,0.2829,1.0287,0.0079
1h,Logistic,4056,0.2788,0.5064,0.2856,0.20325,0.2586,0.2857,0.0271,0.01,0.2857,1.0246,0.0069,0.2869,1.029,0.0081,0.2884,1.0343,0.0096
1h,LightGBM,4056,0.2788,0.5101,0.2866,0.206613,0.2438,0.2882,0.0444,0.0157,0.2882,1.0335,0.0093,0.2882,1.0335,0.0093,0.2835,1.0166,0.0046
5m,Logistic,19508,0.2903,0.5017,0.2901,0.208506,0.2855,0.2824,-0.0031,0.0027,0.2824,0.9729,-0.0079,0.2878,0.9914,-0.0025,0.2903,1.0,-0.0
5m,LightGBM,19508,0.2903,0.5015,0.2933,0.210664,0.2676,0.2973,0.0297,0.0023,0.2973,1.0241,0.007,0.2904,1.0003,0.0001,0.2862,0.9858,-0.0041
