dataset,n_rep,delta_AUC_ci,delta_Top20_uplift_ci
ALL15,500,"[-0.0192, 0.0127]","[-0.0229, 0.0179]"
NEW11_zero_shot,500,"[-0.0301, 0.0146]","[-0.0321, 0.0276]"
