stratum,n,base_rate,top20_rate,uplift,lift
AL|15m|-1,381,0.2782,0.3636,0.0854,1.307
AL|15m|1,335,0.3164,0.2836,-0.0328,0.8962
AL|1h|-1,139,0.3381,0.3571,0.019,1.0562
AL|1h|1,155,0.2839,0.3226,0.0387,1.1364
AL|5m|-1,680,0.2985,0.2794,-0.0191,0.936
AL|5m|1,726,0.3113,0.3425,0.0312,1.1001
AU|15m|-1,308,0.3117,0.2742,-0.0375,0.8797
AU|15m|1,418,0.2512,0.2738,0.0226,1.09
AU|1h|-1,124,0.25,0.12,-0.13,0.48
AU|1h|1,177,0.226,0.3333,0.1073,1.475
AU|5m|-1,683,0.2928,0.3139,0.021,1.0719
AU|5m|1,850,0.2753,0.3176,0.0424,1.1538
CF|15m|-1,186,0.2903,0.2368,-0.0535,0.8158
CF|15m|1,269,0.2937,0.3519,0.0582,1.1981
CF|1h|-1,112,0.3839,0.2174,-0.1665,0.5662
CF|1h|1,114,0.386,0.3478,-0.0381,0.9012
CF|5m|-1,512,0.2734,0.2427,-0.0307,0.8877
CF|5m|1,564,0.3032,0.3009,-0.0023,0.9924
I|15m|-1,286,0.2692,0.3276,0.0584,1.2167
I|15m|1,336,0.2798,0.3676,0.0879,1.3141
I|1h|-1,97,0.1753,,LOW_SAMPLE,LOW_SAMPLE
I|1h|1,200,0.3,0.2,-0.1,0.6667
I|5m|-1,554,0.2653,0.2432,-0.0221,0.9167
I|5m|1,664,0.2997,0.2932,-0.0065,0.9784
MA|15m|-1,256,0.2383,0.2308,-0.0075,0.9685
MA|15m|1,229,0.3057,0.1739,-0.1318,0.5689
MA|1h|-1,134,0.194,0.1481,-0.0459,0.7635
MA|1h|1,85,0.2588,,LOW_SAMPLE,LOW_SAMPLE
MA|5m|-1,518,0.249,0.2788,0.0298,1.1197
MA|5m|1,528,0.3049,0.1509,-0.154,0.495
NI|15m|-1,360,0.3083,0.2083,-0.1,0.6757
NI|15m|1,386,0.2798,0.2564,-0.0234,0.9164
NI|1h|-1,121,0.2893,0.2,-0.0893,0.6914
NI|1h|1,155,0.3226,0.2903,-0.0323,0.9
NI|5m|-1,722,0.3061,0.2276,-0.0785,0.7435
NI|5m|1,791,0.3059,0.3082,0.0022,1.0073
P|15m|-1,245,0.2204,0.1429,-0.0776,0.6481
P|15m|1,220,0.2636,0.3636,0.1,1.3793
P|1h|-1,184,0.2935,0.2703,-0.0232,0.9209
P|1h|1,116,0.2672,0.375,0.1078,1.4032
P|5m|-1,654,0.3104,0.2672,-0.0432,0.8608
P|5m|1,579,0.3074,0.319,0.0115,1.0375
RU|15m|-1,306,0.2124,0.1935,-0.0189,0.9112
RU|15m|1,276,0.3261,0.3214,-0.0047,0.9857
RU|1h|-1,130,0.2385,0.2692,0.0308,1.129
RU|1h|1,160,0.25,0.3125,0.0625,1.25
RU|5m|-1,627,0.2536,0.2698,0.0163,1.0641
RU|5m|1,614,0.3225,0.2276,-0.0948,0.7059
SC|15m|-1,374,0.2807,0.28,-0.0007,0.9973
SC|15m|1,376,0.25,0.2105,-0.0395,0.8421
SC|1h|-1,191,0.2618,0.2051,-0.0567,0.7836
SC|1h|1,140,0.1857,0.25,0.0643,1.3462
SC|5m|-1,797,0.261,0.2687,0.0078,1.0298
SC|5m|1,763,0.2765,0.3268,0.0503,1.1817
SN|15m|-1,345,0.2986,0.3043,0.0058,1.0194
SN|15m|1,355,0.2563,0.2676,0.0113,1.044
SN|1h|-1,130,0.3462,0.3077,-0.0385,0.8889
SN|1h|1,164,0.2988,0.3636,0.0649,1.2171
SN|5m|-1,670,0.2791,0.3507,0.0716,1.2567
SN|5m|1,719,0.2893,0.375,0.0857,1.2963
TA|15m|-1,213,0.1972,0.186,-0.0111,0.9435
TA|15m|1,217,0.3134,0.2727,-0.0406,0.8703
TA|1h|-1,69,0.3188,,LOW_SAMPLE,LOW_SAMPLE
TA|1h|1,112,0.3839,0.3043,-0.0796,0.7927
TA|5m|-1,489,0.2679,0.2959,0.028,1.1046
TA|5m|1,517,0.2631,0.2115,-0.0515,0.8042
