universe,模型,n,base_rate,AUC,PR_AUC,Brier,Top20_rate,Lift@20,Top20_uplift
ALL15,M0_constant,32812,0.2846,0.5,0.2846,0.203586,0.2846,1.0,0.0
ALL15,M1_metadata,32812,0.2846,0.5072,0.289,0.203636,0.2948,1.0361,0.0103
ALL15,M2_state,32812,0.2846,0.5061,0.2862,0.206004,0.2871,1.0088,0.0025
ALL15,M3_metadata_state,32812,0.2846,0.5039,0.2862,0.206071,0.2947,1.0356,0.0101
ALL15,ZS_M1_tf_dir,32812,0.2846,0.5073,0.2892,0.203664,0.2939,1.0329,0.0094
ALL15,ZS_M3_tf_dir_state,32812,0.2846,0.5053,0.2873,0.220956,0.2918,1.0254,0.0072
DEV4,M0_constant,8905,0.2873,0.5,0.2873,0.204739,0.2873,1.0,0.0
DEV4,M1_metadata,8905,0.2873,0.5146,0.2946,0.204652,0.3065,1.0671,0.0193
DEV4,M2_state,8905,0.2873,0.5193,0.3012,0.205439,0.3116,1.0848,0.0244
DEV4,M3_metadata_state,8905,0.2873,0.5188,0.3013,0.205492,0.3223,1.122,0.035
DEV4,ZS_M1_tf_dir,8905,0.2873,0.5051,0.2925,0.204783,0.3039,1.058,0.0167
DEV4,ZS_M3_tf_dir_state,8905,0.2873,0.5222,0.3009,0.212307,0.3049,1.0614,0.0176
NEW11,M0_constant,23907,0.2836,0.5,0.2836,0.203152,0.2836,1.0,0.0
NEW11,M1_metadata,23907,0.2836,0.5044,0.2864,0.203257,0.2934,1.0346,0.0098
NEW11,M2_state,23907,0.2836,0.5013,0.2818,0.206215,0.2788,0.9831,-0.0048
NEW11,M3_metadata_state,23907,0.2836,0.4985,0.2816,0.206287,0.2844,1.003,0.0008
NEW11,ZS_M1_tf_dir,23907,0.2836,0.508,0.288,0.203248,0.2902,1.0233,0.0066
NEW11,ZS_M3_tf_dir_state,23907,0.2836,0.4995,0.2836,0.224177,0.2857,1.0074,0.0021
